COMPANY NAME,HOME FIRST FINANCE COMPANY INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,849.15,,,,,,,,,
Market Capitalization,7510.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,38.83,59.66,94.29,144.61,263.67,410.83,489.12,595.67,790.99,1137.45
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,0.1,0.17,0.31,0.51,0.34,0.45,0.66,
Other Mfr. Exp,,,0.06,0.06,0.19,0.12,0.17,0.23,0.26,
Employee Cost,6.33,8.58,14.39,22.15,43.17,61.08,66.13,81.57,107.74,148.34
Selling and admin,4.55,3.66,8.69,14.26,20.29,28.56,23.68,30.59,45.11,
Other Expenses,0.98,3.6,2.8,3.88,10.66,21.01,37.01,30.03,29.48,96.66
Other Income,,2.45,,1.67,7.35,8.85,0.04,0.03,4.61,19.1
Depreciation,0.3,0.38,0.52,0.9,4.58,7.24,7.62,7.52,9.07,11.73
Interest,21.94,36.87,54.06,66.54,126.54,193.83,220.16,219.01,308.06,499.86
Profit before tax,4.73,9.02,13.67,38.32,65.28,107.33,134.05,226.3,295.22,399.96
Tax,1.37,3.02,4.9,13.12,19.56,27.78,33.9,40.2,66.93,94.24
Net profit,3.36,6.01,8.77,25.2,45.72,79.55,100.14,186.1,228.29,305.72
Dividend Amount,0.06,0.08,,,,,,,22.88,30.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,151.7,156.08,169.34,189.4,205.4,226.84,255.05,273.33,296.3,312.76
Expenses,36.01,37.22,40.32,46.83,47.93,51.94,60.36,61.68,65.04,57.9
Other Income,0.02,0.01,,0.01,0.15,4.46,4.76,4.65,4.7,4.99
Depreciation,1.88,1.85,2.02,2.24,2.33,2.48,2.65,2.85,3.01,3.23
Interest,54.68,53.81,60.7,71.16,79.55,92.88,106.77,117.01,130.21,145.87
Profit before tax,59.15,63.21,66.3,69.18,75.74,84,90.03,96.44,102.74,110.75
Tax,13.21,3.03,15.05,14.9,17.01,19.98,20.91,22.14,23.93,27.28
Net profit,45.94,60.19,51.25,54.27,58.74,64.03,69.12,74.31,78.82,83.47
Operating Profit,115.69,118.86,129.02,142.57,157.47,174.9,194.69,211.65,231.26,254.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,2.86,3.75,10.32,10.32,12.67,15.66,17.48,17.53,17.6,17.7
Reserves,95.84,145.94,297.52,322.78,509.99,917.77,1363.06,1556.16,1799.74,2103.78
Borrowings,251.54,365.09,664.83,1021.95,1925.64,2493.81,3053.69,3466.77,4813.47,7302.1
Other Liabilities,9.21,82.03,17.61,17.29,33.22,52.97,75.92,76.4,106.21,110.38
Total,359.45,596.81,990.28,1372.34,2481.52,3480.21,4510.15,5116.86,6737.02,9533.96
Net Block,0.89,1.41,2.62,5.09,17.43,21,16.67,20.23,25.73,30.03
Capital Work in Progress,,0.06,,1.05,,,,,,
Investments,,,,,102.92,145.56,375.02,,280.8,378.81
Other Assets,358.56,595.34,987.66,1366.2,2361.17,3313.65,4118.46,5096.63,6430.49,9125.12
Total,359.45,596.81,990.28,1372.34,2481.52,3480.21,4510.15,5116.86,6737.02,9533.96
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,26.77,75.03,176.98,23.01,191.98,222.06,679.87,667.85,298.41,821.51
No. of Equity Shares,2863639,3752907,10320531,10323331,12667898,78297715,87399727,87633703,88016767,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,,-823.19,-222.93,-807.03,-1451.08,
Cash from Investing Activity,,,,,,-108.07,-614.97,803.96,-284.04,
Cash from Financing Activity,,,,,,893.26,899.6,411.41,1352.92,
Net Cash Flow,,,,,,-38,61.69,408.34,-382.2,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,448.4,769.45,742.55,897.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.29,0.38,1.03,1.03,1.27,7.83,8.74,8.76,8.8,8.85
