COMPANY NAME,VEDANTA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,394.65,,,,,,,,,
Market Capitalization,146609.01,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,73709.5,64261.76,72225,91866,92048,84447,88021,132732,147308,143727
Raw Material Cost,24613.76,21793.05,23109,31802,26078,21486,22890,37530,44527,44231
Change in Inventory,-55.45,-318.9,1229,-450,-72,-1017,-792,2049,377,-176
Power and Fuel,8273.69,9301.54,10402,14026,18144,16606,13674,20939,30950,23547
Other Mfr. Exp,4835.56,4963.16,5928,6038,8482,9244,8730,12218,13581,
Employee Cost,2922.04,2613.78,2345,2501,3023,2672,2861,2811,3098,3300
Selling and admin,5583.66,5583.55,6341,7156,6229,5316,5175,7823,9519,
Other Expenses,5310.98,38167.2,3953,5016,6849,7363,6581,8636,11579,37275
Other Income,-19221.54,4289.82,4423,6087,4270,-14932,2743,1832,2625,5353
Depreciation,7159.16,8572.44,6292,6283,8192,9093,7638,8895,10555,10723
Interest,5658.78,5778.13,5855,5112,5689,4977,5210,4797,6225,9465
Profit before tax,-9925.12,-28540.17,13652,19569,13560,-8259,17213,32964,20276,20363
Tax,1448.36,-10677.55,2333,5877,3862,-3516,2180,9255,5770,12826
Net profit,-15645.77,-12270.47,6958,10342,7065,-6664,11602,18802,10574,4239
Dividend Amount,1215.65,1037.75,5776.65,7886.4,7012.2,1450.8,3534,16740,37758,10974
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,34097,39822,38622,36654,34102,37930,33733,38945,35541,35509
Expenses,23287,26189,28425,28955,27035,28471,27313,27466,27010,26741
Other Income,472,275,733,931,1619,-631,2326,1863,779,383
Depreciation,2274,2379,2464,2624,2720,2765,2550,2642,2788,2743
Interest,1216,1333,1206,1642,1572,1805,2110,2523,2417,2415
Profit before tax,7792,10196,7260,4364,4394,4258,4086,8177,4105,3993
Tax,2438,2935,1668,1674,1302,1126,778,9092,1237,1720
Net profit,4164,5799,4421,1808,2464,1881,2640,-1783,2013,1369
Operating Profit,10810,13633,10197,7699,7067,9459,6420,11479,8531,8768
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,296.5,296.5,297,372,372,372,372,372,372,372
Reserves,53578.77,43742.67,60128,62940,61925,54263,61906,65011,39051,30350
Borrowings,77752.3,67777.81,71569,58159,66226,59185,57667,53583,66628,72771
Other Liabilities,58653.61,80163.37,64952,58896,70045,66917,63551,74981,84383,87314
Total,190281.18,191980.35,196946,180367,198568,180737,183496,193947,190434,190807
Net Block,70107.83,61590.85,75631,78455,86327,86127,88002,89498,90322,101521
Capital Work in Progress,38747.95,38461.33,27557,32055,24959,18585,16314,15879,19690,20331
Investments,39606.04,53385.98,46962,28700,33065,24753,16660,17291,13150,11869
Other Assets,41819.36,38542.19,46796,41157,54217,51272,62520,71279,67272,57086
Total,190281.18,191980.35,196946,180367,198568,180737,183496,193947,190434,190807
Receivables,3605.13,2493.75,2240,3969,3982,2697,3491,4946,4014,3607
Inventory,8725.02,8011.65,9628,11967,13198,11335,9923,14313,15012,13001
Cash & Bank,5696.28,3708.79,14123,5216,8369,12502,16629,15355,9254,4327
No. of Equity Shares,2965004871,2965004871,2970000000,3720000000,3720000000,3720000000,3720000000,3720000000,3720000000,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,17805.13,20376.92,18083,17366,23754,19300,23980,34963,33065,35654
Cash from Investing Activity,-4133.09,-7867.89,2681,15480,-10594,-5925,-6678,-2243,-668,-13686
Cash from Financing Activity,-13955.77,-11302.95,-12425,-39255,-10242,-15547,-17565,-28903,-34142,-26092
Net Cash Flow,-283.73,1206.08,8339,-6409,2918,-2172,-263,3817,-1745,-4124
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,189.5,89.85,274.95,277.85,184.45,64.7,228.75,403.35,274.45,271.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,296.47,296.47,296.47,371.72,371.72,371.72,371.72,371.72,371.72,371.72
