COMPANY NAME,GUJARAT GAS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,531.95,,,,,,,,,
Market Capitalization,36692.8,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,9006.26,6105.58,5092.61,6174.33,7754.41,10300.34,9866.44,16456.22,16759.4,15690.19
Raw Material Cost,7477.52,4914.12,3838.04,4678.61,6084,7881.62,6998.01,,,12555.4
Change in Inventory,-0.48,-0.31,0.13,0.62,1.05,-0.16,1.48,7.24,2.76,-0.25
Power and Fuel,52.09,60.36,59.31,71.7,78.03,88.1,75.6,119.28,163.32,
Other Mfr. Exp,172,184.43,218.72,270.01,300.78,336.77,351.26,13851.21,13761.91,
Employee Cost,115.19,132.68,133.06,144.08,165.08,181.83,183.26,196.51,200.95,198.88
Selling and admin,65.36,73.68,77.96,89.9,120.57,148.62,129.18,161.6,174.09,
Other Expenses,11.44,1.22,3.55,7.66,10.4,14.55,25.45,32.21,40.23,1059.28
Other Income,101.3,9.97,16.56,27.87,92.99,82.02,68.03,77.35,98.01,163.44
Depreciation,237.68,245.42,257.33,271.82,288.01,317.98,343.57,384.91,428.26,474.3
Interest,334.36,249.62,218,206.2,207.73,204.95,134.32,81.68,66.76,29.31
Profit before tax,641.44,253.71,303.33,462.84,593.85,1207.78,1695.3,1713.41,2024.65,1536.21
Tax,197.86,65.38,83.83,171.48,176.82,14.46,427.15,427.77,499.18,393.44
Net profit,443.58,188.33,219.5,291.36,417.03,1193.32,1268.15,1285.64,1525.47,1142.77
Dividend Amount,68.84,34.42,41.3,55.07,68.84,86.05,137.68,137.68,457.79,389.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,5144.43,4669.39,5170.08,3976.46,3684.29,3928.57,3781.51,3845.4,3929.1,4134.18
Expenses,4906.94,3971.96,4563.47,3333.72,3101.97,3368.25,3393.51,3348.78,3528.42,3543.1
Other Income,35.28,5.74,18.97,18.52,31.99,31.79,23.85,29.8,23.02,86.77
Depreciation,96.89,102.06,103.16,106.41,109.27,109.42,115.11,117.92,120.07,121.2
Interest,14,14.45,13.57,13.09,7.64,6.05,7.38,7.79,7.2,6.94
Profit before tax,161.88,586.66,508.85,541.76,497.4,476.64,289.36,400.71,296.43,549.71
Tax,39.95,142.37,127.75,137.87,126.14,107.42,74.27,102.91,76.09,140.17
Net profit,121.93,444.29,381.1,403.89,371.26,369.22,215.09,297.8,220.34,409.54
Operating Profit,237.49,697.43,606.61,642.74,582.32,560.32,388,496.62,400.68,591.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68
Reserves,1853.23,1371.79,1507.2,1708.73,2046.31,3152.94,4310.96,5461.62,6857.93,7551.58
Borrowings,3225.72,2356.61,2358.88,2328.22,2213.11,2055.36,982.58,628.85,152.32,150.26
Other Liabilities,1678.97,2183.98,2344.6,2458.68,2730.37,2551.29,3077.45,3327.13,3747.16,3818.83
Total,6895.6,6050.06,6348.36,6633.31,7127.47,7897.27,8508.67,9555.28,10895.09,11658.35
Net Block,4486.66,4672.88,4902.98,5094.01,5289.99,5585.08,6040.32,6631.2,7337.67,7781.22
Capital Work in Progress,357.39,468.16,505.72,478.33,488.86,569.49,731.48,992.3,983.11,899.56
Investments,1099.02,121.77,68.28,16.09,16.05,17.25,19.77,22.39,30.41,135.07
Other Assets,952.53,787.25,871.38,1044.88,1332.57,1725.45,1717.1,1909.39,2543.9,2842.5
Total,6895.6,6050.06,6348.36,6633.31,7127.47,7897.27,8508.67,9555.28,10895.09,11658.35
Receivables,360.6,300.49,347.51,391.71,510.31,510.14,774.74,930.05,1021.15,1029.84
Inventory,41.09,41.34,41.65,56.78,69.41,46.26,52.48,53.39,61.18,58.67
Cash & Bank,237.41,67.84,60.82,136.3,309.16,691.72,318.89,21.13,680.98,926.12
No. of Equity Shares,137678025,137678025,137678025,137678025,688390125,688390125,688390125,688390125,688390125,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1094.37,637.05,700.98,784.71,964.36,1421.9,1658.81,1661.76,2377.96,1634.04
Cash from Investing Activity,-365.01,375.2,-458.2,-429.75,-612.42,-466.7,-612.4,-1293.54,-1041.33,-878.65
Cash from Financing Activity,-563.24,-1224.11,-255.31,-273.32,-349.42,-502.37,-1317.91,-628.44,-678.37,-514.11
Net Cash Flow,166.12,-211.86,-12.53,81.64,2.52,452.83,-271.5,-260.22,658.26,241.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
