COMPANY NAME,INDIA CEMENTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,202.85,,,,,,,,,
Market Capitalization,6287.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5082.07,5057.49,4879.25,5158.01,5267.09,5770.37,5186.44,4510.55,4858.35,5608.14
Raw Material Cost,807.56,835.88,864.69,939.6,952.58,1099.69,1009.93,732.15,865.19,1160.13
Change in Inventory,24.97,-25.29,9.13,18.12,-28.36,21.58,24.65,-76.69,28.26,49.84
Power and Fuel,1371.05,1235.6,1043.47,1046.99,1225.97,1688.24,1361.73,1061.36,1547.27,2422.18
Other Mfr. Exp,210.05,180.25,189.31,199.46,199.12,164.22,158.24,122.45,119.9,168.53
Employee Cost,384.98,355.88,371.87,382.26,406.36,365.52,359.23,338.14,340.43,366.09
Selling and admin,1704.09,1648.22,1530.27,1703.12,1715.3,1828.65,1706.27,1342.14,1516.48,1660.91
Other Expenses,5.11,13.13,15.62,13.99,19.89,6.65,17.16,41.64,11.81,21.3
Other Income,-135.05,22.01,20.7,16.82,13.99,25.94,24.17,32.29,23.12,224.34
Depreciation,319.66,302.85,290.53,276.01,279,264.74,255.9,246.6,225.53,219.27
Interest,410.73,478.05,439.59,379.97,364.76,350.42,343.19,271.01,197.66,241.68
Profit before tax,-241.24,4.35,163.73,251.55,89.74,49.76,23.61,310.66,85.46,-377.77
Tax,1.21,5.54,47.42,94,19.24,24.49,-29.86,102.21,19.49,-207.95
Net profit,-243.38,-3.31,116.69,166.08,65.06,21.06,50.16,206.76,78.46,-126.89
Dividend Amount,,,30.82,30.82,24.65,24.79,18.59,30.99,30.99,30.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1234.85,1160.63,1417.62,1514.35,1327.06,1281,1485.73,1436.74,1264.39,1144.46
Expenses,1092.77,1046.04,1354.69,1474.53,1403.28,1340.62,1532.81,1428.46,1259.98,1095.69
Other Income,6.59,7.49,7.18,10.28,10.64,311.26,-105.9,7.13,8.02,55.59
Depreciation,57.86,55.98,55.83,53.76,55.22,55.38,54.91,54.45,54.99,58.07
Interest,50.98,51.25,48.76,60.61,69.51,61.63,49.93,58.18,60.39,60.39
Profit before tax,39.83,14.85,-34.48,-64.27,-190.31,134.63,-257.82,-97.22,-102.95,-14.1
Tax,7.3,1.87,-8.32,-148.1,-69.21,23.41,-14.05,-23.64,-17.41,-7.52
Net profit,29.75,16.24,-10.58,79.98,-113.26,133.29,-226.9,-87.4,-80.07,0.67
Operating Profit,142.08,114.59,62.93,39.82,-76.22,-59.62,-47.08,8.28,4.41,48.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,307.18,307.18,308.15,308.15,308.15,309.9,309.9,309.9,309.9,309.9
Reserves,3363.76,3073.37,4742.08,4866.75,4960.93,4936.08,5188.14,5387.84,5637.14,5466.41
Borrowings,3498.44,3501.97,3295.98,3100.35,3197.38,3344.34,3582.28,3041.24,3090.57,2945.29
Other Liabilities,1962.35,1804.79,2345.32,2674.46,2479.14,2707.1,2589.29,2350.96,3005.36,2745.62
Total,9131.73,8687.31,10691.53,10949.71,10945.6,11297.42,11669.61,11089.94,12042.97,11467.22
Net Block,5209.7,4598.78,7487.78,7259.86,7146.47,7071.58,7205.57,7064.85,7101.48,6803.05
Capital Work in Progress,112.37,98.5,98.78,134.25,175.73,195.74,234.91,300.39,385.98,313.37
Investments,442.15,439.55,357.4,357.86,358.4,371.11,382.14,380.95,408.33,334.47
Other Assets,3367.51,3550.48,2747.57,3197.74,3265,3658.99,3846.99,3343.75,4147.18,4016.33
Total,9131.73,8687.31,10691.53,10949.71,10945.6,11297.42,11669.61,11089.94,12042.97,11467.22
Receivables,461.73,515.99,560.47,523.02,645.34,745.55,736.15,563.95,931.13,824.53
Inventory,602.15,676.07,626.41,773.63,694.65,846.76,841.54,597.49,844.42,784.66
Cash & Bank,7.19,7.18,35.72,37.98,53.54,48.72,43.16,40.14,46.3,64.87
No. of Equity Shares,307178657,307178657,307178657,307178657,308150984,309897201,309897201,309897201,309897201,309897201
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,516.09,645.09,963.65,765.18,556.05,377.04,386.65,1046.34,438.99,-19.46
Cash from Investing Activity,-184.43,-123.53,-220.04,-157.9,-305.96,-202.29,-281.89,-189.43,-250.14,434.85
Cash from Financing Activity,-334.91,-520.34,-757.11,-605.02,-234.53,-179.57,-110.32,-859.93,-182.7,-396.82
Net Cash Flow,-3.25,1.22,-13.5,2.26,15.56,-4.82,-5.56,-3.02,6.16,18.57
