COMPANY NAME,GMM PFAUDLER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1345.35,,,,,,,,,
Market Capitalization,6055.96,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,278.79,307.63,292.07,353.03,405.7,502.64,591.07,1001.12,2540.57,3177.55
Raw Material Cost,130.33,125.46,116.1,151.92,179.06,238.05,262.03,386.24,1044.53,1317.14
Change in Inventory,15.18,-8.46,-4.57,2.58,10.53,5.14,7.61,-61.33,30.63,35.59
Power and Fuel,15.83,16.81,16.1,14.78,20.08,22.36,25.7,32.93,92.82,106.57
Other Mfr. Exp,37.26,37.72,36.58,50.1,56.21,54.2,67.22,90.7,194.46,251.72
Employee Cost,51.89,55.55,56.17,66.33,63.52,72.61,87.98,207.47,713.4,791.55
Selling and admin,17.02,19.94,19.21,16.66,26.58,32.39,33.06,63.2,187.97,238.48
Other Expenses,8.42,7.75,8.37,8.32,8.7,11.21,10.51,20.37,54.01,76.46
Other Income,3.82,2.59,3.64,5.69,9.39,8.45,4.71,-10.16,6.59,30.04
Depreciation,8.9,9.83,8.12,8.23,9.79,10.97,21.12,50.48,132.62,119.45
Interest,1.06,0.52,0.69,0.9,1.03,1.17,3.49,10.18,24.6,66.57
Profit before tax,27.08,28.18,29.8,44.06,60.65,73.27,92.28,68.06,133.38,275.24
Tax,8.02,9.31,9.69,12.94,17.97,22.69,21.16,4.51,58.02,61.74
Net profit,19.06,18.87,20.12,31.12,42.68,50.58,71.13,73.44,85.05,166.63
Dividend Amount,4.38,4.38,4.38,5.84,5.84,6.57,7.3,7.3,8.76,8.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,647.24,642.28,699.37,739.24,780.05,792.31,865.95,912.27,937.48,856
Expenses,553.49,559.93,627.54,641.43,661.27,673.95,769.75,780.15,795.46,742.13
Other Income,2.95,1.19,1.39,28.49,19.47,-32.48,14.63,8.7,8.51,-7.72
Depreciation,39.2,27.5,27.26,27.23,28.23,30.14,33.85,34.7,32.24,32.67
Interest,1.86,6.37,2.24,15.64,8.62,20.89,21.42,20.31,21.51,22.99
Profit before tax,55.64,49.67,43.72,83.43,101.4,34.85,55.56,85.81,96.78,50.49
Tax,16.84,11.98,26.45,21.96,4.51,16.18,19.09,31.54,26.47,19.73
Net profit,34.6,31.82,16.04,44.51,64.98,18.67,38.47,54.93,71.14,31.72
Operating Profit,93.75,82.35,71.83,97.81,118.78,118.36,96.2,132.12,142.02,113.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,8.99
Reserves,136.04,147.51,163.91,190.9,224.83,266.01,326.13,403.32,524.19,795.04
Borrowings,,,,,,,34.43,632.62,635.8,972.64
Other Liabilities,95.68,83.93,88.81,124.6,160.9,164.63,166.14,1341.88,1554.48,1566.13
Total,234.64,234.36,255.64,318.42,388.65,433.56,529.62,2380.74,2717.39,3342.8
Net Block,52.55,46.5,53.41,61.15,70.84,77.6,133.55,1043.22,1001.76,1213.27
Capital Work in Progress,1.64,4.82,4.32,2,6.78,4.99,1.64,4.35,12.98,13.33
Investments,11.65,11.72,13.72,45.96,50.57,47.67,36.13,0.67,0.09,0.01
Other Assets,168.8,171.32,184.19,209.31,260.46,303.3,358.3,1332.5,1702.56,2116.19
Total,234.64,234.36,255.64,318.42,388.65,433.56,529.62,2380.74,2717.39,3342.8
Receivables,43.2,38.02,48.68,69.9,50.53,67.21,74.33,309.61,356.23,435.53
Inventory,85.1,74.26,70.86,82.25,95.64,115.46,125.82,576.44,669.53,770.94
Cash & Bank,29.94,47.02,53.63,31.65,66.79,75.8,76.39,292.28,327.74,371.61
No. of Equity Shares,14617500,14617500,14617500,14617500,14617500,14617500,14617500,14617500,14617500,44957224
New Bonus Shares,,,,,,,,,,29235000
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,6.43,30.14,24.66,22.46,67.74,27.04,26.7,156.72,236.39,184.75
Cash from Investing Activity,2.41,-16.58,-16.97,-21.45,-24.2,-8.36,-49.7,-65.96,-133.96,-293.74
Cash from Financing Activity,-6.82,-5.79,-6,-6.25,-8.07,-9.83,-4.64,104.93,-55.32,129.89
Net Cash Flow,2.02,7.77,1.68,-5.25,35.46,8.85,-27.64,195.69,47.11,20.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,34.97,95.23,83.97,173.6,228.4,403.18,837.6,1435.4,1518.52,1466
,,,,,,,,,,
DERIVED:,,,,,,,,,,
