COMPANY NAME,POLYPLEX CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,850.15,,,,,,,,,
Market Capitalization,2672.62,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3172.23,3204.16,3202.03,3200.99,3572.34,4569.89,4487.1,4918.27,6624.4,7652.28
Raw Material Cost,2256.92,1918.71,1893.23,1801.44,2084.52,2716.67,2355.72,2283.21,3750.93,4525.03
Change in Inventory,50.31,-20.52,-13.71,-9.3,69.28,70.12,7.45,42.95,360.56,-0.01
Power and Fuel,198.07,217.36,200.49,191.96,205.7,244.64,265.05,290.33,345.27,522.3
Other Mfr. Exp,86.58,196.57,107.03,232.24,243.07,280.3,307.83,343.99,410.84,506.87
Employee Cost,247.01,268.71,295.65,294.22,304.26,347.68,390.64,424.95,482.8,490.79
Selling and admin,271.07,296.22,279.4,202.33,229.28,269.31,280.35,350.22,626.48,586.59
Other Expenses,71.01,1.35,59.14,26.57,80.62,49.84,114.23,51.3,60.73,73.51
Other Income,37.07,69.61,-32.18,176.83,44.17,163.34,130.81,58.68,127.98,95.19
Depreciation,191.52,215.76,208.96,196.63,185.01,209.1,253.33,279.8,272.52,296.28
Interest,53.99,55.88,48.08,47.02,39.43,29.08,18.02,17.58,16.5,35.27
Profit before tax,-116.56,82.69,64.16,376.11,313.9,656.73,640.19,978.52,1146.87,710.82
Tax,-64.53,4.94,47.91,14.73,29.78,73.07,146.36,116.55,182.04,95.28
Net profit,-6.83,37.95,29.04,231.71,159.45,330.03,282.04,511.81,568.79,348.35
Dividend Amount,6.51,8.14,9.77,22.79,130.24,166.06,55.35,524.31,332.49,281.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1547.58,1751.01,1885.87,2032.58,2089.29,1863.34,1667.07,1560.52,1572.09,1495.57
Expenses,1290.56,1401.86,1506.84,1672.57,1847.71,1759.75,1611.7,1499.29,1451.46,1446.05
Other Income,19.59,88.52,61.17,74.72,85.74,57.21,64.15,12.42,23.59,44.67
Depreciation,64.51,69.09,72.35,71.2,72.25,75.18,77.65,74.66,75.14,75.43
Interest,3.74,4.13,4.81,6.61,7.35,9.97,11.34,11.81,9.95,10.29
Profit before tax,208.36,364.45,363.04,356.92,247.72,75.65,30.53,-12.82,59.13,8.47
Tax,38.96,59.17,58.6,45.91,47.56,-8.45,10.26,-2.51,10.88,-8.6
Net profit,96.04,175.46,185.78,187.05,115.02,38.67,7.61,-3.12,27.93,4.6
Operating Profit,257.02,349.15,379.03,360.01,241.58,103.59,55.37,61.23,120.63,49.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,32.56,32.56,32.56,32.56,32.56,32.56,32.56,31.97,31.97,31.97
Reserves,2227.99,2088.33,2288.65,2269.8,2515.66,2738.68,2996.69,3021.23,3284.43,3450.97
Borrowings,2078.91,1654.71,1294.33,810.41,862.65,785.74,758,695.18,945.57,799.01
Other Liabilities,969.72,968.38,950.76,1243.22,1457.1,1647.56,1951.84,2419.74,2954.05,3091.14
Total,5309.18,4743.98,4566.3,4355.99,4867.97,5204.54,5739.09,6168.12,7216.02,7373.09
Net Block,2498.29,2568.66,2405.93,2184.33,2217.77,2241.74,2824.07,2758.99,3151.88,3251.8
Capital Work in Progress,652.61,8,2.93,10.26,8.09,181.43,29.79,325.3,125.96,195.61
Investments,66.11,16.26,0.83,99.75,133.49,123.16,232.83,287.8,275.52,275.45
Other Assets,2092.17,2151.06,2156.61,2061.65,2508.62,2658.21,2652.4,2796.03,3662.66,3650.23
Total,5309.18,4743.98,4566.3,4355.99,4867.97,5204.54,5739.09,6168.12,7216.02,7373.09
Receivables,409.36,402.29,429.55,468.46,549.67,601.17,678.95,670.42,1103.59,921.47
Inventory,521.95,434.34,409.52,435.72,566.53,664.09,677.81,814.28,1308.51,1362.94
Cash & Bank,932.7,1074.37,1135,385.06,781.02,783.65,961.14,951.8,906.37,980.03
No. of Equity Shares,32563200,32563200,32563200,31984600,31984600,31984600,31984600,31392462,31392462,31392462
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,113.53,376.01,447.91,441.2,307.05,551.19,731.1,1102.43,560.02,801.5
Cash from Investing Activity,-390.99,-0.02,85.7,-245.54,-106.12,-265.3,-323.24,-450.85,40.76,15.62
Cash from Financing Activity,310.6,-234.31,-472.99,-435.78,-41.76,-311.53,-297.67,-659.64,-232.23,-656.96
Net Cash Flow,33.14,141.67,60.63,-240.12,159.18,-25.65,110.19,-8.06,368.55,160.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
