COMPANY NAME,TIMKEN INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3448.8,,,,,,,,,
Market Capitalization,26011.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,925.89,1042.26,1055.58,1233.47,1664.07,1616.87,1410.52,2203.24,2806.61,2909.54
Raw Material Cost,573.95,652.07,617.1,781.47,979.5,835.74,851.11,1319.94,1665.37,1802.36
Change in Inventory,19.38,21.71,-3.39,40.4,50.88,-23.74,65.29,125.89,5.59,85.74
Power and Fuel,10.65,17.09,18.52,27.01,34.68,30.18,29.03,36.9,41.08,
Other Mfr. Exp,61,65.63,72.34,104.8,146.29,102.67,101.14,160.95,180.42,
Employee Cost,66.83,68.18,73.72,90.5,122.69,123.79,119.33,140.56,159.09,163.95
Selling and admin,84.79,85.48,86.99,84.28,113.56,112.73,103.17,142.22,184,
Other Expenses,14.2,13.3,25.53,22.54,29.59,25.45,20.15,17.71,21.89,456.57
Other Income,5.79,2.81,9.92,20.84,16.27,23.4,19.5,14.12,53.18,40.77
Depreciation,16.76,22.47,28.89,43.14,79.33,76.86,74.88,84.34,87.2,85.17
Interest,0.57,0.92,0.84,1.22,1.76,2.75,1.44,2.45,2.81,3.79
Profit before tax,122.31,141.64,138.18,139.75,223.82,306.36,195.06,438.18,523.52,524.21
Tax,41.62,49.83,40.98,47.76,75.18,60.26,51.88,111.08,132.78,132.08
Net profit,80.69,91.81,97.2,91.99,148.64,246.1,143.18,327.11,390.75,392.14
Dividend Amount,20.4,6.8,6.8,6.8,7.52,376.05,11.28,11.28,11.28,18.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,510,667.43,699.24,695.41,609.44,802.52,717.58,681.98,612.21,897.77
Expenses,395.9,487.55,527.59,563.32,505.74,649.62,581.85,546.47,509.73,699.08
Other Income,2.8,4.88,10.58,21.54,14.37,6.68,9.35,10.09,10.58,10.75
Depreciation,21.6,22.44,21.84,21.68,22.37,21.31,21.33,21.08,20.98,21.78
Interest,0.3,1.31,0.41,0.5,0.53,1.37,0.93,0.9,0.85,1.11
Profit before tax,95,161.01,159.98,131.45,95.17,136.9,122.82,123.62,91.23,186.55
Tax,25.2,39.7,41.93,33.85,24.6,32.39,32.68,30.58,23.7,45.12
Net profit,69.8,121.3,118.05,97.6,70.56,104.51,90.14,93.05,67.53,141.43
Operating Profit,114.1,179.88,171.65,132.09,103.7,152.9,135.73,135.51,102.48,198.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,67.99,67.99,67.99,67.99,75.21,75.21,75.22,75.22,75.22,75.22
Reserves,370.46,462.04,549.88,634.34,1265.54,1501.47,1268.29,1581.72,1961.95,2342.05
Borrowings,2.52,4.31,8.4,15.94,23.08,23.65,35.35,31.73,30.55,25.36
Other Liabilities,144.42,167.97,250.96,260.61,410.71,380.11,509.63,505.12,488.81,544.95
Total,585.39,702.31,877.23,978.88,1774.54,1980.44,1888.49,2193.79,2556.53,2987.58
Net Block,106.86,137.17,230.62,251.1,794.6,747.99,818.32,860.16,843.31,852.9
Capital Work in Progress,26.81,21.06,58.13,53.83,63.51,156.52,97.47,49.54,53.45,104.13
Investments,16.68,38.39,90.58,55.2,175.75,13.2,0.03,98.99,235.92,160.52
Other Assets,435.04,505.69,497.9,618.75,740.68,1062.73,972.67,1185.1,1423.85,1870.03
Total,585.39,702.31,877.23,978.88,1774.54,1980.44,1888.49,2193.79,2556.53,2987.58
Receivables,174.22,192.95,192.07,223.18,301.89,291.47,371.33,538.76,575.74,651.95
Inventory,167.46,185.94,188.03,245.45,317.08,291.42,368.71,558.49,569.49,666.69
Cash & Bank,23.72,33.38,18.35,26.78,24,416.72,174.21,18.19,161.71,331.36
No. of Equity Shares,67999984,67999984,67999984,67999984,75218734,75218234,75218734,75218734,75218734,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,42.5,101.45,164.07,38.99,248.78,348.17,188.71,32.89,341.16,
Cash from Investing Activity,-23.44,-66.89,-125.54,-64.13,-106.02,-104.49,-67.37,-74.84,-45.32,
Cash from Financing Activity,-25.7,1.33,-4.71,-1.9,-23.3,-13.49,-378.75,-14.71,-15.29,
Net Cash Flow,-6.65,35.89,33.82,-27.04,119.46,230.19,-257.41,-56.66,280.55,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,611.1,436.95,645.05,705.45,587.25,767.2,1296.5,2141.1,2755.45,2859.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
