COMPANY NAME,ABBOTT INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,25562.4,,,,,,,,,
Market Capitalization,54301.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2275.91,2289.33,2614.5,2902.56,3298.5,3678.6,4093.14,4310.02,4913.32,5348.73
Raw Material Cost,1378.02,1353.3,1477.16,1813.51,2006.94,2090.78,2254.39,2494.92,2679.49,2908.97
Change in Inventory,80.62,41.33,-14.87,101.44,102.2,2.18,-61.24,104,22.28,-66.09
Power and Fuel,9.08,5.96,6.98,7.74,10.26,12.61,13.73,12.74,14.98,17.15
Other Mfr. Exp,20.04,14.08,14.37,16.04,37.8,39.89,49.84,49.66,59.82,59.21
Employee Cost,299.74,305.4,341.09,345.27,393.69,435.58,476.11,492.65,579.46,563.59
Selling and admin,322.89,288.5,343.35,353.66,365.41,432.83,400.27,366.98,459.18,467.74
Other Expenses,59.48,51.17,52.06,70.27,61.82,64.21,80.55,75.36,60.9,60.09
Other Income,49.29,47.55,50.35,57.45,116.71,113.15,113.83,80.65,83.16,153.89
Depreciation,21.93,14.94,14.44,16.43,16.19,16.92,59.61,58.13,66.1,69.97
Interest,0.08,0.5,2.52,2.04,3.82,2.25,8.53,18.28,19.1,15.99
Profit before tax,294.56,344.36,398.01,436.49,621.48,698.86,802.7,925.95,1079.73,1273.82
Tax,96.1,115.4,142.76,159.84,220.26,248.52,209.77,235.26,281.03,324.41
Net profit,198.45,228.96,255.25,276.65,401.22,450.33,592.93,690.69,798.7,949.41
Dividend Amount,48.88,65.88,74.38,85,116.88,138.12,531.25,584.38,584.38,690.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1222.06,1224.36,1254.75,1304.12,1379.48,1322.19,1343.08,1479,1494.14,1437.14
Expenses,962.37,955.3,961.2,1033.97,1036.18,1009.99,1062.96,1124,1113.26,1049.45
Other Income,18.21,18.74,21.32,26.61,33.53,44.23,49.64,56,55.51,55.61
Depreciation,16.2,16.74,17.43,17.35,17.47,17.81,17.34,17.17,17.84,17.97
Interest,4.51,4.41,5.14,4.22,3.97,3.79,4.01,3.34,3.13,3.17
Profit before tax,257.19,266.65,292.3,275.19,355.39,334.83,308.41,390.49,415.42,422.16
Tax,64.86,67.45,80.89,69.55,89.87,88,76.99,100.25,102.48,111.18
Net profit,192.33,199.2,211.41,205.64,265.52,246.83,231.42,290.24,312.94,310.98
Operating Profit,259.69,269.06,293.55,270.15,343.3,312.2,280.12,355,380.88,387.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25
Reserves,766.6,916.28,1174.35,1365.69,1671.51,1987.34,2410.45,2580.91,2798.54,3167.29
Borrowings,,,,,,,174.88,152.58,151.69,113.17
Other Liabilities,351.34,436.1,420.9,678.86,723.43,932.33,940.27,1085.71,1252.64,1253.8
Total,1139.19,1373.63,1616.5,2065.8,2416.19,2940.92,3546.85,3840.45,4224.12,4555.51
Net Block,98.25,96.04,108.46,109.6,81.38,104.96,269.83,250.78,271,236.91
Capital Work in Progress,1.27,3.91,2.83,6.28,2.17,0.73,1.64,0.66,0.66,3.66
Investments,,,,,,,,,,
Other Assets,1039.67,1273.68,1505.21,1949.92,2332.64,2835.23,3275.38,3589.01,3952.46,4314.94
Total,1139.19,1373.63,1616.5,2065.8,2416.19,2940.92,3546.85,3840.45,4224.12,4555.51
Receivables,109.18,129.15,145.02,176.22,263.44,276.11,317.91,250.21,288.16,316.95
Inventory,359.05,384.13,370.1,500.63,585.33,606.79,527.17,717.59,687.82,648.85
Cash & Bank,462.84,643.89,839.42,1090.92,1031.35,1684.28,2197.38,2409.04,2749.22,1937.06
No. of Equity Shares,21249302,21249302,21249302,21249302,21249302,21249302,21249302,21249302,21249302,21249302
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,155.31,214.78,248.68,307.22,152.7,499.13,626.11,726.74,947.66,893.39
Cash from Investing Activity,-143.9,-186.72,-77.19,-155.41,-214.84,-257,-401.19,-71.82,-395.84,-147.71
Cash from Financing Activity,-42.35,-57.58,-80.29,-89.76,-102.43,-142.8,-216.79,-581.79,-637.38,-638.72
Net Cash Flow,-30.94,-29.52,91.19,62.05,-164.56,99.33,8.13,73.13,-85.56,106.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1755.25,3952.6,4705.2,4642.6,5452.95,7304.8,15451.1,14983.3,17702.85,22064.85
,,,,,,,,,,
