COMPANY NAME,GODREJ CONSUMER PRODUCTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1330.9,,,,,,,,,
Market Capitalization,136117.08,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,8273.15,8423.88,9267.91,9847.43,10314.34,9910.8,11028.62,12276.5,13315.97,14096.11
Raw Material Cost,3806.48,3959.14,4265.85,4218.36,4399.79,4434.83,4971.77,6136.63,6489.85,6333.43
Change in Inventory,-35.04,91.9,133.33,-56,-154.54,173.15,42.35,61.54,-212.94,13.13
Power and Fuel,109.92,109.99,89.02,101.11,119.29,118.29,106.23,133.49,154.63,
Other Mfr. Exp,223.97,236.23,302.85,318.75,329.8,378.69,397.25,430.3,438.91,
Employee Cost,776.95,944.13,988.46,1057.41,1068.41,1018.82,1123.34,1104.14,1111.48,1249.34
Selling and admin,1818.85,1464.98,1649.39,1775.76,1888.86,1770.13,1808.73,1836.49,2144.44,1335.89
Other Expenses,122.99,143.93,198.96,235.64,222.08,209.44,264.39,287.81,320.52,2247.11
Other Income,73.01,-262.04,76.18,283.28,361.95,32.06,22.6,78.27,114.3,-2207.91
Depreciation,90.78,100.63,141.57,155.68,169.98,197.28,203.85,209.93,236.29,240.96
Interest,112.46,128.04,154.19,173.12,238.21,228.13,137.65,122.26,188.48,296.37
Profit before tax,1248.72,1166.67,1687.13,2038.88,2085.33,1760.4,2080.36,2155.26,2132.73,198.23
Tax,272.29,336.05,379.16,404.7,-256.2,263.82,359.54,371.87,430.27,758.78
Net profit,907.12,827.61,1304.08,1634.18,2341.53,1496.58,1720.82,1783.39,1702.46,-560.55
Dividend Amount,187.22,195.79,510.9,681.3,1022.2,817.84,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3302.58,2915.82,3124.97,3391.92,3598.92,3200.16,3448.91,3601.95,3659.64,3385.61
Expenses,2634.6,2452.75,2604.17,2849.81,2872.28,2559.29,2806.07,2897.78,2818.92,2629.89
Other Income,36.49,3.24,25.69,17.2,35.71,35.74,-12.67,53.39,63.19,-2311.81
Depreciation,54.17,49.5,57.06,53.32,57.32,68.59,76.29,60.88,53.88,49.91
Interest,25.55,32.81,35.06,48.25,39.92,52.51,74,77.31,66.59,78.47
Profit before tax,624.75,384,454.37,457.74,665.11,555.51,479.88,619.37,783.44,-1684.47
Tax,97.15,20.76,109.25,98.88,118.77,103.37,161.06,186.6,202.38,208.74
Net profit,527.6,363.24,345.12,358.86,546.34,452.14,318.82,432.77,581.06,-1893.21
Operating Profit,667.98,463.07,520.8,542.11,726.64,640.87,642.84,704.17,840.72,755.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,34.04,34.05,34.06,68.13,102.22,102.23,102.25,102.26,102.27,102.28
Reserves,4276.65,4232.91,5267.89,6190.18,7164.7,7796.13,9336.65,11453.67,13691.96,12496.29
Borrowings,2717.15,2891.12,4000.93,3507.57,3382.05,3574.97,1863.97,1704.34,1129.58,3222.2
Other Liabilities,2097.18,2520.66,3637.37,4097.89,3444.58,3406.95,2940.92,2821.85,2513.45,2675.12
Total,9125.02,9678.74,12940.25,13863.77,14093.55,14880.28,14243.79,16082.12,17437.26,18495.89
Net Block,5550.95,5931.41,8082.89,8315,8670.26,9231.4,8904.77,9219.3,9933.66,10445.45
Capital Work in Progress,224.61,43.66,97.43,83.88,52.06,57.04,57.43,116.44,45.42,78.15
Investments,185.69,189.5,933.54,997.28,515.98,671.98,679.1,1015.43,3028.98,3503.67
Other Assets,3163.77,3514.17,3826.39,4467.61,4855.25,4919.86,4602.49,5730.95,4429.2,4468.62
Total,9125.02,9678.74,12940.25,13863.77,14093.55,14880.28,14243.79,16082.12,17437.26,18495.89
Receivables,804.58,1118.01,1028.74,1245.5,1292.9,1157.25,1004.5,1116.32,1245.28,1535.37
Inventory,1071.71,1306.98,1412.5,1577.72,1558.59,1703.12,1716.25,2129.85,1537.15,1270.92
Cash & Bank,894.22,753.79,912.66,960.21,894.72,770.16,672.21,1107.77,390.72,546.94
No. of Equity Shares,340446901,340533823,340600816,681329518,1022166096,1022316352,1022486273,1022581079,1022695318,
New Bonus Shares,,,,340600816,340722032,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1026.73,847.37,1860.22,1723.35,1728.85,1588.11,2029.63,1450.57,2150.65,2069.95
Cash from Investing Activity,-1235.86,-621.59,-2243.25,-336.37,274.07,-552.12,-292.15,-844.32,-1754.46,-3363.03
Cash from Financing Activity,-12.04,-202.47,664.65,-1384.01,-2038.73,-1295.33,-1816.22,-379.52,-794.31,1406.35
