COMPANY NAME,INDIAN ENERGY EXCHANGE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,142.8,,,,,,,,,
Market Capitalization,12729.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,173.99,176.19,169.69,198.65,230.45,254.08,257.03,317.11,425.55,400.85
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.11,0.15,0.26,0.23,0.35,0.46,0.5,0.29,0.19,
Other Mfr. Exp,20.2,20,20.83,1.16,1.2,1.86,1.25,1.06,1.41,
Employee Cost,8.34,11.81,14.5,15.96,24.66,25.21,33.06,39.89,37.67,34.65
Selling and admin,8.81,8.26,13.7,35.42,15.4,18.84,12.98,11.65,15.63,
Other Expenses,1,0.45,-4.78,2.42,3.96,4.89,4.76,4.79,5.08,29.7
Other Income,0.01,0.17,25.11,34.23,25.62,40.08,40.12,40.27,52.33,73.21
Depreciation,2.65,2.95,3.39,3.42,10.27,10.42,15.24,15.86,16.32,18.59
Interest,0.02,0.24,0.27,0.42,0.23,0.73,1.57,2.05,1.97,2.46
Profit before tax,132.87,132.5,146.63,173.85,200,231.75,227.79,281.79,399.61,388.66
Tax,40.92,42.49,46.49,60.27,68.31,66.71,49.87,68.31,97.09,95.96
Net profit,91.95,90.02,100.13,113.58,131.69,165.04,177.92,213.49,302.51,292.7
Dividend Amount,8.19,79.17,72.02,128.74,66.35,,74.58,119.4,179.56,89.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,109.16,114.2,111.73,98.35,95.2,100.28,107.03,104.04,108.53,115.3
Expenses,13.39,16.05,16.66,17.33,16.26,17,13.76,22.49,16.34,15.42
Other Income,11.91,12.48,16.02,15.04,18.57,17.07,22.52,23.24,24.36,25.84
Depreciation,4.11,4.13,4.1,4.19,4.57,4.92,4.91,5,5.06,5.17
Interest,0.47,0.5,0.46,0.55,0.52,0.66,0.73,0.7,0.7,0.71
Profit before tax,103.1,106,106.53,91.32,92.42,94.77,110.15,99.09,110.79,119.84
Tax,24.99,26.09,25.65,22.73,22.36,23.59,27.28,24.95,27.92,30.5
Net profit,78.11,79.91,80.88,68.59,70.06,71.18,82.87,74.14,82.87,89.33
Operating Profit,95.77,98.15,95.07,81.02,78.94,83.28,93.27,81.55,92.19,99.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,27.3,27.3,28.81,28.61,30.16,30.19,29.83,29.85,89.78,89.09
Reserves,222.56,209.62,167.85,248.08,253.57,340.08,360.32,501.55,612.19,695.38
Borrowings,2.84,,,,,,13.91,11.73,10.01,14.09
Other Liabilities,116.17,168.82,227.1,277.27,290.54,335.3,264.05,384.06,982.77,640.19
Total,368.87,405.74,423.76,553.96,574.27,705.57,668.11,927.19,1694.75,1438.75
Net Block,10.16,14.03,11.38,8.35,118.99,111.37,118.96,114.92,109.87,111.52
Capital Work in Progress,0.08,,0.4,0.96,0.53,1.25,0.99,6.48,4.88,2.47
Investments,247.29,254.39,280.71,383.1,268.47,474.65,513.53,710.04,1246.67,1204.36
Other Assets,111.34,137.32,131.27,161.55,186.28,118.3,34.63,95.75,333.33,120.4
Total,368.87,405.74,423.76,553.96,574.27,705.57,668.11,927.19,1694.75,1438.75
Receivables,0.27,0.36,0.77,0.21,0.22,45.89,0.19,3.2,87.37,7.03
Inventory,,,,,,,,,,
Cash & Bank,42.2,83.5,91.48,128.45,114.36,67.62,27.26,77.37,232.64,64.49
No. of Equity Shares,27295762,27295762,28812193,28611061,30159992,301919020,298324941,298505341,897788000,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,76.32,91.97,88.62,205.9,131.16,138.27,127.87,304.36,787.72,-22.49
Cash from Investing Activity,-90.13,23.89,-22.97,-21.2,-33.42,-62.12,-4.76,-194.49,-473,70.01
Cash from Financing Activity,-7.83,-105.98,-69.62,-109.04,-126.27,-78.44,-161.45,-77.12,-135.77,-214.79
Net Cash Flow,-21.64,9.87,-3.97,75.67,-28.54,-2.29,-38.34,32.75,178.95,-167.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,53.43,55,42.65,110.93,224.7,127.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,81.9,81.9,86.4,86.4,91,90.99,89.87,89.87,89.87,89.17
