COMPANY NAME,BLS INTERNATIONAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,320.5,,,,,,,,,
Market Capitalization,13196.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,450.02,504.96,634.89,789.05,803.83,786.14,478.37,849.89,1516.19
Raw Material Cost,,,,,,0.71,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,0.14,0.45,0.66,0.57,0.88,0.27,0.12,0.31,1.6
Other Mfr. Exp,,370.15,414.69,469.22,497.07,542.6,554.03,339.55,579.99,1038.1
Employee Cost,,35.14,33.09,41.73,52.72,66.84,67.56,43.75,75.87,139.82
Selling and admin,,13.05,14.34,30.63,61.66,61.68,67.05,41.46,58.52,93.49
Other Expenses,,1.12,4.73,8.51,17.14,20.02,11.44,12.6,26.99,20.25
Other Income,,0.35,0.5,2.51,3.96,42.56,-15.22,18.64,14.82,18.62
Depreciation,,5.11,5.53,25.97,39.6,19.03,12.15,9.46,7.25,18.49
Interest,,1.74,1.27,7.34,13.44,12.94,3.6,1.71,1.82,2.57
Profit before tax,,23.92,31.36,53.34,110.81,121.69,54.82,48.36,113.96,220.49
Tax,,0.34,0.46,3.22,14.27,16.53,2.44,-1.96,2.75,16.22
Net profit,,23.59,30.89,50.08,96.54,105.22,52.43,50.15,111.27,200.76
Dividend Amount,,,,3.59,5.12,10.25,10.25,5.12,12.81,30.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,190.46,227.06,253.84,272.82,356.84,437.9,448.63,383.49,407.74,437.88
Expenses,162.89,201.53,218.8,241.46,300.05,371.6,382.1,303.43,321.01,349.29
Other Income,2.6,3.49,5.06,3.76,3.47,-17.57,29,7.02,8.7,9.16
Depreciation,1.53,1.57,2.39,2.61,4,3.9,7.99,6.36,7.27,6.25
Interest,0.19,0.01,0.45,0.1,0.05,0.14,0.38,0.28,0.99,0.5
Profit before tax,28.45,27.44,37.26,32.41,56.21,44.69,87.16,80.44,87.17,91
Tax,0.99,-0.85,2.06,1.72,5.23,-1.15,10.44,9.45,5.18,3.81
Net profit,27.47,28.22,35.35,30.47,50.37,50.7,69.21,68.91,78.75,84.55
Operating Profit,27.57,25.53,35.04,31.36,56.79,66.3,66.53,80.06,86.73,88.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,41.08
Reserves,,73.25,108.5,155.43,250.3,361.8,418.21,449.57,559.54,761.77
Borrowings,,7.04,5.68,95.41,107.84,37.51,0.88,0.73,11.16,6.53
Other Liabilities,,12.91,12.71,36,101.39,65.8,39.9,37.55,52.38,136
Total,,103.45,137.14,297.09,469.78,475.36,469.24,498.1,633.33,945.38
Net Block,,24.25,24.21,78.43,49.46,51.02,41.17,37.63,112.25,233.71
Capital Work in Progress,,,,,,2.63,,,,
Investments,,1.69,1.66,32.03,27.81,28.44,28.53,24.15,70.1,88.35
Other Assets,,77.51,111.27,186.63,392.51,393.27,399.54,436.32,450.98,623.32
Total,,103.45,137.14,297.09,469.78,475.36,469.24,498.1,633.33,945.38
Receivables,,5.86,2.21,59.7,212.33,176.19,112.75,100.2,22.26,32.65
Inventory,,,,,,,,,,0.56
Cash & Bank,,15.85,47.32,69.73,118.87,174.12,239.3,277.37,324.23,475.93
No. of Equity Shares,,10245000,10245000,10245000,102450000,102450000,102450000,102450000,102450000,410820000
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,13.27,35.51,47.88,55.7,133.39,115.86,45.01,185.33,260.53
Cash from Investing Activity,,-10.9,-6.88,-114.91,-27.14,-65.74,-107.42,-22.38,-171.51,-237.75
Cash from Financing Activity,,5.54,-1.9,84.26,-1.88,-87.37,-53.76,-9.48,-12.05,7.23
Net Cash Flow,,7.91,26.73,17.23,26.68,-19.72,-45.32,13.15,1.77,30.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,42.76,29.02,28.74,7.29,23.05,58.84,165.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,41,41,41,40.98,40.98,40.98,40.98,40.98,41.08
