COMPANY NAME,SBI CARDS & PAYMENT SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,710.4,,,,,,,,,
Market Capitalization,67604.47,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1822.03,2392.04,3346.64,5195.15,7017.3,9280.93,9300.57,10678.89,13670.39,16968.42
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,2.82,2.39,2.52,4.79,6.32,5.42,4.43,5.26,4.41,
Other Mfr. Exp,317.85,412.23,482.24,472.05,61.37,65.15,732.62,1094.62,1443.17,
Employee Cost,62.12,79.17,95.31,193.09,378.93,468.38,492.61,473.88,563.07,569.69
Selling and admin,636.44,849.37,1245.27,2230.77,3277.41,4115.64,3319.45,4084.09,5234.62,
Other Expenses,236.04,274.19,540.85,814.08,1163.16,1963.09,2673.9,2295,2198.39,10890.04
Other Income,82.45,100.14,124.4,174.98,269.55,471.12,412.83,622,615.28,515.08
Depreciation,0.78,0.84,4.79,24.49,55.22,103.8,123.26,148.56,163.81,196.75
Interest,377.77,435.81,528.43,711.51,1009.36,1300.93,1043.4,1027.32,1647.63,2595.22
Profit before tax,270.66,438.18,571.63,919.35,1335.08,1729.64,1323.73,2172.16,3030.57,3231.8
Tax,3.97,154.28,198.76,318.21,470.12,484.82,339.21,556.02,772.1,823.92
Net profit,266.69,283.9,372.86,601.14,864.97,1244.82,984.52,1616.14,2258.47,2407.88
Dividend Amount,39.25,78.5,78.5,,83.72,93.9,,235.8,236.52,237.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2889.46,2850.31,3100.29,3297.08,3507.12,3762.16,3911.88,4087.33,4621.7,4347.72
Expenses,2307.4,1930.33,2074.39,2341.37,2466.51,2564.58,2630.92,2760.33,3257.74,2810.96
Other Income,250.2,165.79,162.56,156.24,149.03,154.41,134.23,134.05,119.9,126.85
Depreciation,36.94,39.18,39.16,38.58,41.03,45.06,47.56,46.8,50.78,51.63
Interest,276.81,267.37,308.38,367.71,464.28,507.26,571.07,604.86,695.49,723.82
Profit before tax,518.51,779.22,840.92,705.66,684.33,799.67,796.56,809.39,737.59,888.16
Tax,132.73,198.36,214.01,180.02,174.87,203.2,203.25,206.41,188.51,225.79
Net profit,385.78,580.86,626.91,525.64,509.46,596.47,593.31,602.98,549.08,662.37
Operating Profit,582.06,919.98,1025.9,955.71,1040.61,1197.58,1280.96,1327,1363.96,1536.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,785,785,785,785,837.22,938.96,940.53,943.18,946.07,950.97
Reserves,180.63,370.04,663.82,1568.06,2750.56,4402.26,5361.5,6809.52,8883.99,11133.06
Borrowings,4698.8,5928.13,8268.42,11412.82,13549.38,17572.75,17894.78,22982.46,31109.61,39891.08
Other Liabilities,592.9,797.17,1047.74,1920.13,3009.01,2392.74,2816.05,3913.27,4605.89,6196.12
Total,6257.33,7880.34,10764.98,15686.01,20146.17,25306.71,27012.86,34648.43,45545.56,58171.23
Net Block,1.62,2.06,23.85,241.76,196.22,310.91,308.1,439.46,550.96,564.31
Capital Work in Progress,,,,35.06,20.17,23.66,10.07,14.24,22.69,0.1
Investments,,,,,1.46,1.46,957.56,1297.19,2139.69,3519.13
Other Assets,6255.71,7878.28,10741.13,15409.19,19928.32,24970.68,25737.13,32897.54,42832.22,54087.69
Total,6257.33,7880.34,10764.98,15686.01,20146.17,25306.71,27012.86,34648.43,45545.56,58171.23
Receivables,,,25.28,23,148.82,54.45,81.52,168.47,142.16,243.08
Inventory,,,,,,,,,,
Cash & Bank,291.46,274.46,282.95,472.68,776.78,677.36,720.1,1106.39,1354.47,2729.62
No. of Equity Shares,785000002,785000002,785000002,785000002,837222200,938956794,940525456,943172489,946074389,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-878.88,-1158.21,-2234.88,-2891.2,-2326.74,-4062.93,692.32,-4391.46,-6670.51,-5451.54
Cash from Investing Activity,0.63,0.65,-0.84,127.63,-75.79,-77.17,-996.78,-538.12,-921.44,-1457.37
Cash from Financing Activity,1007.75,1140.56,2244.23,2953.3,2824.13,3922.51,431.75,5044.54,7823.58,8401.17
Net Cash Flow,129.51,-17,8.51,189.73,421.6,-217.59,127.29,114.96,231.63,1492.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,618.65,928.25,851.7,740.2,682.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
