COMPANY NAME,PAISALO DIGITAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,61.65,,,,,,,,,
Market Capitalization,5540.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,190.02,204.34,264.29,302.11,360.58,374.64,345.84,391.87,471.29,658.75
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.21,0.3,0.31,0.53,0.57,0.6,0.5,0.56,0.82,
Other Mfr. Exp,0.4,0.59,0.73,2.08,0.63,0.49,0.19,0.38,1.54,
Employee Cost,12.72,14.86,14.44,17.83,27.86,25.61,23.47,25.91,34.8,49.03
Selling and admin,26.41,31.15,38.91,35.66,39.85,27.83,21.43,14.56,37.76,
Other Expenses,20.69,14.29,30.98,36.49,52.95,85.37,57.21,55.96,53.77,95.55
Other Income,1.43,-1.43,,,,,0.42,-0.03,-4.4,0.48
Depreciation,6.37,5.4,5.77,5.57,4.7,4.03,3.74,3.23,3.29,3.4
Interest,58.09,66.66,94.29,117.52,149.11,156.55,161.95,184.11,208.67,270.07
Profit before tax,66.56,69.66,78.86,86.43,84.91,74.16,77.77,107.13,126.24,241.18
Tax,22.4,24.35,26.99,28.68,28.52,20.03,19.79,27.87,32.62,62.21
Net profit,44.17,45.31,51.88,57.75,56.38,54.13,57.98,79.25,93.62,178.97
Dividend Amount,4.06,4.06,4.06,4.06,4.06,4.23,4.23,4.39,4.49,8.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,101.5,99.6,112.64,120.29,122.27,117.99,136.18,144.68,182.59,195.29
Expenses,18.33,27.77,35.92,37.12,32.03,25.39,23.68,20.05,41.55,59.28
Other Income,,-0.03,,,,-4.53,,,,0.48
Depreciation,0.81,0.81,0.71,0.77,0.82,0.99,0.75,0.86,0.86,0.92
Interest,47.94,50.27,47.28,49.8,52.37,59.22,59.7,60.23,64.18,85.96
Profit before tax,34.42,20.72,28.73,32.6,37.05,27.86,52.05,63.54,76,49.61
Tax,8.39,5.8,7.86,8.4,9.16,7.2,13.63,16.04,19.53,13
Net profit,26.03,14.92,20.87,24.19,27.89,20.66,38.41,47.49,56.46,36.61
Operating Profit,83.17,71.83,76.72,83.17,90.24,92.6,112.5,124.63,141.04,136.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,40.57,40.57,40.57,40.57,40.57,42.3,42.3,43.92,44.91,89.81
Reserves,488.75,479,522.97,573.13,623.56,723.68,776.73,962.1,1117.63,1239.61
Borrowings,410.4,569,753.73,1078.52,1156.69,1237.09,1321.57,1675.96,2117.19,2655.4
Other Liabilities,182.66,277.26,289.03,350.26,354.29,246.15,129.59,75.78,74.15,138.36
Total,1122.38,1365.83,1606.3,2042.48,2175.11,2249.22,2270.19,2757.76,3353.88,4123.18
Net Block,3.19,3.07,3.14,6.72,9.44,66.27,64.27,63.62,66.28,66.44
Capital Work in Progress,,,,,,,,,,
Investments,31.97,26.64,24.72,23.9,23.9,23.9,23.9,25.68,25.19,20.04
Other Assets,1087.22,1336.12,1578.44,2011.86,2141.77,2159.05,2182.02,2668.46,3262.41,4036.7
Total,1122.38,1365.83,1606.3,2042.48,2175.11,2249.22,2270.19,2757.76,3353.88,4123.18
Receivables,,,,15.3,12.6,11.89,31.69,28.07,9.75,12.25
Inventory,1011.29,1106.73,1374.89,,,,,,,
Cash & Bank,14.86,27.93,8.65,11.47,14.05,34.99,47.78,10.34,29.11,14.58
No. of Equity Shares,40572500,40572500,40572500,40572500,40572500,42304699,42304699,43924699,449034490,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,21.29,-74.23,-202.82,-381.91,-2.86,35.17,-97.89,-396.38,-452.17,-569.75
Cash from Investing Activity,20.27,3.57,1.43,4.29,-3.57,-0.3,-0.07,-3.08,-5.07,2.6
Cash from Financing Activity,-35.66,83.73,182.11,379.62,9.01,-13.93,110.74,362.03,476.01,552.61
Net Cash Flow,5.9,13.07,-19.28,2,2.58,20.94,12.78,-37.44,18.77,-14.53
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,17.66,9.88,8.63,15.13,14.96,8.16,39.5,39.59,26.35,60.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,81.1,81.1,81.1,81.1,81.1,84.6,84.6,87.8,89.8,89.8
