COMPANY NAME,JUBILANT PHARMOVA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,679.2,,,,,,,,,
Market Capitalization,10820.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5762.38,5750.63,5749.13,5861.43,7517.84,9110.82,5975.79,6098.54,6130.16,6281.73
Raw Material Cost,2541.01,2530.06,2157.87,2114.72,2920.96,3523.71,1592.64,1516.38,1550.33,1918.64
Change in Inventory,98.95,-131.64,40.39,115.22,52.2,1.87,137.46,-19.63,62.32,40.7
Power and Fuel,389.74,393.04,366.71,333.66,424.92,466.38,112.21,105.79,134.3,166.71
Other Mfr. Exp,397.81,429.42,430.88,427.17,473.9,546.2,353.5,440.58,552.66,568.93
Employee Cost,1105.45,1090.76,1125.09,1230.93,1555.88,1925.96,1843.22,1922.88,2043.39,2166.02
Selling and admin,437.43,510.07,396.06,471.69,619.21,826.54,631.5,583.3,666.14,653.89
Other Expenses,-9.09,55.96,56.99,46.85,52.68,80.26,32.23,106.82,95.94,69.34
Other Income,-173.42,86.21,4.4,18.52,35.92,-249.12,224.95,262.72,7.92,-8.89
Depreciation,281.17,287.95,346.74,291.4,415.05,370.9,339.84,348.95,381.7,554.03
Interest,337.11,367.61,371.35,341.11,284.28,219.81,199.71,184.1,145.49,188.2
Profit before tax,207.28,40.33,542.23,737.64,859.08,903.81,1233.35,1132.83,630.45,27.78
Tax,69.64,80.48,155.41,163.02,224.67,326.8,335.11,297.22,217.43,92.67
Net profit,109.04,-57.76,391.83,575.65,642.81,574.46,898.25,835.87,413.94,-60.98
Dividend Amount,46.35,47.79,46.62,46.74,46.74,71.68,79.65,79.6,79.6,79.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1657.45,1310.53,1527.53,1451.7,1599.5,1552.5,1678,1586.9,1680.3,1677.1
Expenses,1319.34,1116.29,1280.18,1259.4,1383.5,1408.3,1458.8,1418.7,1438.5,1459.1
Other Income,4.45,5.94,-1.62,11.3,-43.7,9.5,21.2,8.6,18.9,48.9
Depreciation,99.78,93.33,100.55,94.6,93.9,94.3,271.2,89.7,96.6,94.6
Interest,34.74,36.62,39.51,39.9,42,50.7,55.6,61.9,66.1,71.3
Profit before tax,208.04,70.23,105.67,69.1,36.4,8.7,-86.4,25.2,98,101
Tax,65.4,19.43,46.58,22.3,31.5,24.8,14.1,19.2,35.9,34.6
Net profit,142.84,50.99,59.55,47.1,5.4,-15.6,-97.9,6.4,62.5,66.8
Operating Profit,338.11,194.24,247.35,192.3,216,144.2,219.2,168.2,241.8,218
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,15.45,15.93,15.54,15.58,15.58,15.93,15.93,15.92,15.92,15.91
Reserves,2611.07,2437.59,2950.72,3420.47,4070.95,4792.99,5587.95,4725.57,5302.64,5383.37
Borrowings,4395.28,4793.11,4493.25,4045.29,3468.89,4840.43,4808.39,2829.56,3192,3676.76
Other Liabilities,1842.01,1372.2,1280.19,1417.41,1901.75,1669.61,1898.15,1192.35,1319.04,1853.17
Total,8863.81,8618.83,8739.7,8898.75,9457.17,11318.96,12310.42,8763.4,9829.6,10929.21
Net Block,5098.78,4911.33,5104.42,5106.73,5400.55,5648.38,6339.97,4608.75,4870.61,5183.26
Capital Work in Progress,472.39,596.6,611.32,683.78,670.97,901.43,768.39,896.99,1089.57,1561.48
Investments,33.99,39.5,85.43,102.71,123.52,115.11,69.36,240.96,238.6,256.42
Other Assets,3258.65,3071.4,2938.53,3005.53,3262.13,4654.04,5132.7,3016.7,3630.82,3928.05
Total,8863.81,8618.83,8739.7,8898.75,9457.17,11318.96,12310.42,8763.4,9829.6,10929.21
Receivables,805.87,819.28,950.5,1005.31,1130.76,1271.55,1293.22,819.9,927.99,961.24
Inventory,1341.42,1235.33,1203.1,1220.4,1391.39,1417.39,1845.38,1129.38,1254.87,1380.53
Cash & Bank,479.53,394.34,344.58,459.63,248.79,1370.41,1399.87,671.32,984.24,1014.3
No. of Equity Shares,159301140,159301140,159301139,159301139,159301139,159301139,159301139,159301139,159301139,159301139
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,772.27,783.26,1098.89,1268.49,1303.2,1121.51,1542.94,1784.27,837.54,660.67
Cash from Investing Activity,-164.02,-362.43,-308.51,-465.44,-614.33,-1017.72,-267.15,-726.76,-323.08,-473.88
Cash from Financing Activity,-414.41,-502.69,-842.75,-685.87,-901.14,657.43,-1050.37,-1709.39,-32.6,-156.68
Net Cash Flow,193.84,-81.86,-52.37,117.18,-212.27,761.22,225.42,-651.88,481.86,30.1
