COMPANY NAME,GILLETTE INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,6911.85,,,,,,,,,
Market Capitalization,22517.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Sales,1661.9,1874.54,1754.71,1732.79,1676.85,1861.65,1679.06,1981.89,2256.16,2477.05
Raw Material Cost,811.31,815.98,890.85,806.44,672.28,842.05,786.84,899.22,1030.92,1178.36
Change in Inventory,4.03,-29.63,36.66,20.4,-20.86,22.71,25.03,18.49,-18.54,-9.77
Power and Fuel,11.28,11.82,12.12,14.06,14.73,16.96,13.22,14.32,16.52,17.38
Other Mfr. Exp,40.43,47.62,55.72,61.44,58.68,56.36,63.86,65.08,59.98,69.56
Employee Cost,95.93,114.15,106.8,110.27,118.46,109.05,120.16,144.03,150.86,170.56
Selling and admin,611.64,612.32,372.67,337.5,358.53,434.19,315.56,362.65,435.48,439.82
Other Expenses,22.24,52.31,46.99,38.23,46.48,41.75,44.59,55.35,61,51.9
Other Income,37.75,67.87,50.07,34.16,7.52,10.6,10.6,32.5,7.36,21.66
Depreciation,32.98,38.88,30.27,38.35,42.29,47.7,51.05,57.52,68.36,80.69
Interest,0.36,4.65,5.55,6.74,7.46,7.85,5.44,5.25,10.53,7.77
Profit before tax,77.51,215.05,320.47,374.32,344.6,339.05,313.97,429.46,411.33,472.9
Tax,26.09,56.92,106.29,121.24,115.55,86.13,83.79,119.08,122,117.22
Net profit,51.42,158.13,214.18,253.08,229.05,252.92,230.18,310.38,289.33,355.68
Dividend Amount,48.88,48.88,128.8,534.48,74.96,143.4,159.69,387.82,224.87,277.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,563.44,566.52,552.89,619.92,618.62,619.07,619.44,667.55,639.46,680.74
Expenses,449.29,434.86,441.2,484.15,492.58,485.36,475.78,530.81,483.65,520.4
Other Income,1.71,1.3,1.52,2.7,2.93,11.77,4.78,8.64,7.19,5.69
Depreciation,16.34,17.63,18.58,18.02,19.19,21.84,21.64,20.09,20.71,20.64
Interest,2.49,5.3,2.41,0.49,3.35,0.77,3.16,0.13,3.25,2.57
Profit before tax,97.03,110.03,92.22,119.96,106.43,122.87,123.64,125.16,139.04,142.82
Tax,26.53,40.72,24.63,33.18,31.98,20.17,31.89,32.47,35.09,43.73
Net profit,70.5,69.31,67.59,86.78,74.45,102.7,91.75,92.69,103.95,99.09
Operating Profit,114.15,131.66,111.69,135.77,126.04,133.71,143.66,136.74,155.81,160.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Equity Share Capital,32.59,32.59,32.59,32.59,32.59,32.59,32.59,32.59,32.59,32.59
Reserves,610.87,709.75,904.03,468.02,661.59,745.77,878.69,756.42,828.61,956.27
Borrowings,,,,,,,,0.16,0.12,0.05
Other Liabilities,410.6,467.59,487.84,497.85,514.82,432.05,440.54,606.07,757.61,927.24
Total,1054.06,1209.93,1424.46,998.46,1209,1210.41,1351.82,1395.24,1618.93,1916.15
Net Block,172.63,156.17,178.1,214.09,264.41,300.18,296.46,309.77,363.04,389.47
Capital Work in Progress,60.84,63.14,88.21,63.34,40.37,24.55,21.19,72.04,64.95,32.43
Investments,,,,,,,,,,
Other Assets,820.59,990.62,1158.15,721.03,904.22,885.68,1034.17,1013.43,1190.94,1494.25
Total,1054.06,1209.93,1424.46,998.46,1209,1210.41,1351.82,1395.24,1618.93,1916.15
Receivables,92.26,116.76,109.76,130.27,176.04,182.49,190.67,197.94,267.01,320.16
Inventory,230.55,201.57,244.55,222.38,200.15,234.01,284.27,366.58,373.44,412.35
Cash & Bank,169.61,181.25,537.17,115.65,236.63,141.72,232.48,166.32,291.07,455.56
No. of Equity Shares,32585217,32585217,32585217,32585217,32585217,32585217,32585217,32585217,32585217,32585217
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Cash from Operating Activity,96.3,171.93,279.42,247.97,237.12,134.18,225.22,443.16,461.53,462.6
Cash from Investing Activity,-36.12,-102.56,155.04,13.69,-76.76,-64.68,-29.03,-79.35,-112.04,-66.67
Cash from Financing Activity,-57.21,-57.73,-78.56,-684.1,-39.23,-164.72,-105.42,-430.16,-224.89,-231.44
Net Cash Flow,2.97,11.64,355.9,-422.44,121.13,-95.22,90.77,-66.35,124.6,164.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,2128.55,4595,4582.8,5110.8,6420.05,7476.5,4982.6,5673.15,4997.95,5074.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
