COMPANY NAME,FUSION MICRO FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,470.1,,,,,,,,,
Market Capitalization,4733.58,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,266.25,494.31,720.26,855.81,1151.27,1741.92,2316.73
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,0.8,1.36,1.76,1.96,2.98,4.23,
Other Mfr. Exp,,,,5.35,,12.39,12.81,11.47,16.13,
Employee Cost,,,,66.1,103.33,148.33,168.64,233.07,325.52,431.22
Selling and admin,,,,20.66,41.95,30.18,29.82,55.81,85.61,
Other Expenses,,,,89.36,25.63,97.41,224.07,372.26,206.31,518.1
Other Income,,,,1.06,2.74,10.05,17.28,50.08,58.05,95.69
Depreciation,,,,2.04,2.39,2.58,3.89,5.37,7.41,9.01
Interest,,,,136.6,253.99,337.67,375.1,495.96,642.78,790.83
Profit before tax,,,,-53.6,68.4,99.99,56.8,24.43,511.98,663.26
Tax,,,,-14.19,17.73,30.39,12.85,2.67,124.84,157.97
Net profit,,,,-39.41,50.67,69.61,43.94,21.76,387.15,505.29
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,281.86,350.47,342.72,439.69,458.63,500.89,531.07,546.64,593.03,645.99
Expenses,176.92,218.66,115.65,167.25,162.69,192.23,208.08,212.57,242.9,285.77
Other Income,14.86,22.08,17.73,12.64,7.88,19.8,21.71,24.62,20.21,29.15
Depreciation,1.46,1.71,1.48,1.67,1.95,2.3,1.76,2.09,2.38,2.78
Interest,118.29,136.55,143.19,157.33,168.02,174.24,183.48,191.01,201.46,214.88
Profit before tax,0.05,15.63,100.13,126.08,133.85,151.92,159.46,165.59,166.5,171.71
Tax,-0.88,2.44,25.03,31.02,31.39,37.4,39,39.9,40.05,39.02
Net profit,0.94,13.2,75.1,95.06,102.46,114.52,120.46,125.69,126.45,132.69
Operating Profit,104.94,131.81,227.07,272.44,295.94,308.66,322.99,334.07,350.13,360.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,41.18,61.58,78.95,79.04,82.76,100.35,100.62
Reserves,,,,213.51,564.28,1119.94,1167.32,1255.19,2221.57,2747.53
Borrowings,,,,1604.8,2928.59,2973.69,4432.25,5775.81,6778.4,8615.91
Other Liabilities,,,,108.97,56.07,67.41,159.33,176.73,263.22,310.26
Total,,,,1968.46,3610.52,4239.99,5837.94,7290.49,9363.54,11774.32
Net Block,,,,4.96,5.52,6.05,18.28,19.19,20.96,33.62
Capital Work in Progress,,,,,,,,,0.25,
Investments,,,,0.5,0.5,0.5,,,,2.06
Other Assets,,,,1963,3604.5,4233.44,5819.66,7271.3,9342.33,11738.64
Total,,,,1968.46,3610.52,4239.99,5837.94,7290.49,9363.54,11774.32
Receivables,,,,0.48,0.61,3.14,2.79,4.25,14.38,13.85
Inventory,,,,,,,,,,
Cash & Bank,,,,505.83,990.49,817.75,1335.26,1153.6,1065.03,1553.19
No. of Equity Shares,,,,43070274,64366588,84326388,84326388,84326388,100630735,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,-596.88,-1417.6,-749.43,-793.03,-1640.73,-1663.04,-1350.34
Cash from Investing Activity,,,,184.18,15.34,20.05,9.56,18.48,17.86,31.48
Cash from Financing Activity,,,,741.24,1631.13,545.08,1459.22,1418.2,1584.18,1843.19
Net Cash Flow,,,,328.54,228.87,-184.3,675.75,-204.05,-61.01,524.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,400.75,463.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,4.31,6.57,8.43,8.43,8.43,10.06,10.06
