COMPANY NAME,GUJARAT AMBUJA EXPORTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,149.3,,,,,,,,,
Market Capitalization,6839.25,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3091.81,2531.3,2736.48,3333.62,3364.43,4021.44,3816.59,4705.3,4670.31,4908.99
Raw Material Cost,2499.12,1837.88,2155.88,2655.86,2490.46,2922.49,2961.38,3544.35,3099.31,3590.69
Change in Inventory,83.02,-85.13,-0.57,93.59,7.21,-45.42,6.64,101,-87.6,84.49
Power and Fuel,135.67,130.95,127.41,128.32,169.63,217.17,188.06,206.06,278.61,372.82
Other Mfr. Exp,128.92,129.61,70.11,142.13,146.36,160.98,142.49,141.66,137.23,159.04
Employee Cost,72.26,76.42,79.39,91.58,98.58,108.18,102.11,127.98,147.97,121.4
Selling and admin,99.13,80.38,87.43,97.18,128.07,164,102.32,207.53,207.07,228.42
Other Expenses,44.79,26.33,30.45,41.26,21.26,29.05,37.48,43.99,25.31,45.02
Other Income,10.09,9.13,10.25,22.7,9.11,9.87,2.1,26.76,53.97,73.03
Depreciation,47.41,60.97,66.17,71.42,76.29,95.65,100.78,103.25,97.33,94.66
Interest,20.65,15,9.91,22.79,17.94,18.82,9.36,5.77,5.68,13.26
Profit before tax,136.97,97.76,119.41,199.37,232.16,269.55,181.35,452.47,638.17,441.2
Tax,25.31,13.59,18.98,40.82,52.28,71.4,35.51,114.33,162.73,111.03
Net profit,111.66,84.17,100.43,158.55,179.88,198.15,145.84,338.14,475.44,330.17
Dividend Amount,9.68,11.62,11.07,9.17,10.32,11.46,11.46,13.76,14.9,16.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1151.82,1238,1255.49,1272.86,1077.77,1129.86,1428.5,1162.99,1115.72,1301.78
Expenses,1005.67,1078.82,1041.38,1105.83,984.15,1022.34,1321.43,1060.8,1012.21,1176.41
Other Income,14.69,10.44,19.73,15.94,16.25,27.87,13.82,26.49,42.17,38.62
Depreciation,23.58,24.88,23.09,23.84,23.7,23.8,23.32,30.3,30.49,30.05
Interest,1.32,2.03,1.75,3.75,2.58,2.48,4.45,6.17,5.87,2.98
Profit before tax,135.94,142.71,209,155.38,83.59,109.11,93.12,92.21,109.32,130.96
Tax,32.77,37.58,55.7,40.78,19.49,27.2,23.56,21.34,26.33,30.3
Net profit,103.17,105.13,153.3,114.6,64.1,81.91,69.56,70.87,82.99,100.66
Operating Profit,146.15,159.18,214.11,167.03,93.62,107.52,107.07,102.19,103.51,125.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,27.67,27.67,27.67,22.93,22.93,22.93,22.93,22.93,22.93,22.93
Reserves,727.37,798.23,892.95,830.17,999.42,1185.31,1303.53,1642.61,2104.29,2420
Borrowings,401.47,309.3,328.51,635.62,646.87,217.26,160.08,163.47,278.07,226.65
Other Liabilities,153.68,147.7,167.86,220.11,225.56,289.66,249.82,345.25,358.73,290.98
Total,1310.19,1282.9,1416.99,1708.83,1894.78,1715.16,1736.36,2174.26,2764.02,2960.56
Net Block,479.34,542.79,568.09,607.13,771.75,753.02,787.2,730.74,770.99,1042.13
Capital Work in Progress,63.58,62.94,102.71,158.65,54.3,60.73,12.19,106.31,245.97,86.99
Investments,41.72,52.44,77.17,47.13,42.62,52.44,22.13,191.6,725.69,676.73
Other Assets,725.55,624.73,669.02,895.92,1026.11,848.97,914.84,1145.61,1021.37,1154.71
Total,1310.19,1282.9,1416.99,1708.83,1894.78,1715.16,1736.36,2174.26,2764.02,2960.56
Receivables,149.6,108.07,173.7,207.78,229.31,217.96,154.24,225.38,224.41,277.96
Inventory,497.29,443.69,430.75,624.35,723.73,501.64,598.71,723.41,666.16,665.1
Cash & Bank,5.78,5.59,8.32,5.79,6.94,16.43,101.36,97.85,17.97,100.18
No. of Equity Shares,138351900,138351875,138351875,114667665,114667665,114667665,114667665,229335330,229335330,229335330
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-120.48,253.52,137.35,56.72,138.47,572.79,240.93,299.79,595.84,239.07
Cash from Investing Activity,-73.23,-129.49,-132.44,-117.34,-125.45,-110.31,-59.5,-304.19,-776.99,-79.62
Cash from Financing Activity,187.26,-124.24,-2.63,59.19,-12.91,-454.57,-97.24,1.75,99.79,-75.62
Net Cash Flow,-6.45,-0.21,2.28,-1.43,0.11,7.91,84.19,-2.65,-81.36,83.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
