COMPANY NAME,SHARE INDIA SECURITIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1697,,,,,,,,,
Market Capitalization,6594.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,73.99,109.94,138.31,205.83,228.25,452.92,861.63,1088.38
Raw Material Cost,,,,,,,4.4,27.16,9.5,8.14
Change in Inventory,,,,,,,4.4,14.14,-18.54,1.03
Power and Fuel,,,,0.19,0.29,0.89,1.07,0.92,1.36,1.98
Other Mfr. Exp,,,46.04,0.26,2.33,1.11,1.02,1.42,18.88,28.12
Employee Cost,,,9.21,18.13,23.48,39.17,54.1,80.06,112.99,149.58
Selling and admin,,,,70.72,77.29,112.57,96.71,224.07,393.44,402.94
Other Expenses,,,4.43,3.42,6.57,0.71,2.76,1.5,2.96,5.75
Other Income,,,,0.15,2.18,1.35,0.41,0.9,2.39,12.78
Depreciation,,,1.59,1.85,2.07,4.61,4.47,4.44,9.25,12.05
Interest,,,3.35,3.25,5.41,11.4,17.85,24.96,31.65,57.69
Profit before tax,,,9.37,12.27,23.05,36.72,50.68,103.43,265.45,435.94
Tax,,,3.09,4.31,7.7,11.73,10.68,22.74,63.65,105.27
Net profit,,,6.28,7.98,15.35,24.99,40.86,80.75,201.16,328.83
Dividend Amount,,,,,,,1.6,6.38,19.15,27.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,212.97,201,292.94,230.8,240.06,276.65,340.72,277.31,366.38,373.76
Expenses,144.24,132.11,182.43,142.37,131,135.71,186.52,152.74,190.39,191.25
Other Income,-1.7,2.29,1.89,2.44,3.23,4.34,2.92,1.39,1.57,0.83
Depreciation,1.96,2.25,3.44,2.63,2.88,3.13,3.4,2.67,3.27,3.81
Interest,8.39,5.69,8.42,10.27,14.13,17.68,15.49,15.06,16.99,28.25
Profit before tax,56.68,63.24,100.54,77.97,95.28,124.47,138.23,108.23,157.3,151.28
Tax,13.88,14.42,24.5,18.79,23.21,31.93,31.33,25.96,44.67,36.17
Net profit,42.8,48.96,75.22,58.93,71.56,92.07,106.27,82.11,112.7,115.02
Operating Profit,68.73,68.89,110.51,88.43,109.06,140.94,154.2,124.57,175.99,182.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,4.62,4.62,24.42,24.42,31.91,31.91,31.91,32.54
Reserves,,,20.69,28.76,48.65,133.89,161.02,248.47,414.74,972.76
Borrowings,,,20.93,30.81,31.62,106.28,125.78,118.6,201.02,201.79
Other Liabilities,,,35.67,40.01,54.91,77.97,141.48,462.29,781.61,631.73
Total,,,81.91,104.2,159.6,342.56,460.19,861.27,1429.28,1838.82
Net Block,,,7.56,8.27,8.25,35.19,33.37,37.83,53.29,62.71
Capital Work in Progress,,,,,,,,,9.7,0.83
Investments,,,1.59,24.78,39.11,42.22,36.06,67.12,8.21,6.12
Other Assets,,,72.76,71.15,112.24,265.15,390.76,756.32,1358.08,1769.16
Total,,,81.91,104.2,159.6,342.56,460.19,861.27,1429.28,1838.82
Receivables,,,18.5,15.78,19.64,12.96,8.69,2.38,5.57,32.02
Inventory,,,2.16,4.1,7.87,20.57,16.28,64.54,44.83,45.04
Cash & Bank,,,33.12,33.05,54.09,116.83,199.45,307.09,806.36,1403.17
No. of Equity Shares,,,4623147,4623147,24424588,24424588,31906588,31906588,31906588,32544719
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,10.19,14.38,22.43,49.28,67.62,235.76,408.71,-263.42
Cash from Investing Activity,,,-2.1,-19.78,-42.51,-79.46,-67.55,-146.21,-73.94,79.02
Cash from Financing Activity,,,3.07,6.95,20.11,55.93,17.78,-33.23,12.54,174.19
Net Cash Flow,,,11.16,1.56,0.02,25.75,17.85,56.33,347.31,-10.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,102.85,75.38,46.91,260.8,1241.56,1058.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.47,0.47,2.49,2.49,3.25,3.25,3.25,3.25
