COMPANY NAME,APOLLO HOSPITALS ENTERPRISE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,5806.4,,,,,,,,,
Market Capitalization,83505.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4357.11,5128.98,6149.5,7255.7,8243.47,9617.4,11246.8,10560,14662.6,16612.5
Raw Material Cost,2131.6,2562.23,3135.33,3646.22,4110.85,4732.5,5605.9,5809.4,7646.8,8598.8
Change in Inventory,-18.53,-18.96,80.59,47.34,78.19,71.6,107,125.2,73.3,24.5
Power and Fuel,85.33,93.98,122.8,127.89,166.68,183.8,213,169.7,193.7,217.6
Other Mfr. Exp,116.02,116.96,143.36,342.51,276.52,892.9,1051.7,1100.2,1798.6,2021.2
Employee Cost,727.58,860.41,1023.94,1196.89,1404.98,1598.9,1853.9,1602.1,1788.3,2146.9
Selling and admin,407.6,520.03,976.21,1168.62,1431.98,1124.9,903,623.7,985.5,1461.2
Other Expenses,194.6,218.97,144.2,87.12,129.43,86.4,135.4,239.8,133.9,126.7
Other Income,18.03,47.47,91.73,59.68,24.34,25.5,221.6,102.7,368.3,75.3
Depreciation,167.79,211.65,263.83,314.04,359.03,395.5,619.7,573.1,600.7,615.4
Interest,119.38,117.85,180.02,257.35,295.07,327,532.8,449.2,378.6,380.8
Profit before tax,406.71,455.41,332.13,222.08,171.46,372.6,660,220.7,1578.1,1143.7
Tax,101.76,130,96.9,90.96,111.91,173.4,225.2,84.7,477,256.2
Net profit,316.75,339.9,236.38,220.99,117.42,236,454.9,150.4,1055.6,819.1
Dividend Amount,79.99,79.99,83.47,83.47,69.56,83.52,83.52,43.14,168.96,215.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3717.07,3638.93,3546.43,3795.6,4251.1,4263.6,4302.2,4417.8,4846.9,4850.6
Expenses,3102.08,3051.91,3083.2,3316.8,3698.9,3779.7,3814.1,3908.8,4219.4,4236.9
Other Income,8.14,23.11,33.74,16.1,22.6,35.4,20,34.1,26.2,29.2
Depreciation,144.76,148.99,166.4,147.8,155,153.4,159.1,166.9,163.4,167
Interest,95.39,93.67,94.9,92.7,92.7,100,95.4,106.2,111.3,112.6
Profit before tax,382.98,367.47,235.67,254.4,327.1,265.9,253.6,270,379,363.3
Tax,115.58,124.22,138.67,-69.5,114.3,103.5,108,96.6,130.2,108.9
Net profit,247.82,228.37,90.14,317.2,204,153.5,144.5,166.6,232.9,245.3
Operating Profit,614.99,587.02,463.23,478.8,552.2,483.9,488.1,509,627.5,613.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,69.56,69.56,69.56,69.56,69.56,69.6,69.6,71.9,71.9,71.9
Reserves,2907.12,3101.77,3261.57,3243.64,3181.94,3263.9,3269.5,4530.6,5551.4,6125.5
Borrowings,1344.36,1992.26,2833.52,3125.29,3426.64,3673.2,3595.6,4159.8,4068.1,4332.4
Other Liabilities,1028.62,1295.58,1195.15,1664.52,1917.48,2159.2,4354.1,2629.3,3569.6,3885.9
Total,5349.66,6459.17,7359.8,8103.01,8595.62,9165.9,11288.8,11391.6,13261,14415.7
Net Block,2681.29,3244.12,3997.42,4591.06,4772.86,4981.6,7432.1,6778.3,8295.6,8519.8
Capital Work in Progress,491.31,532.64,561.56,346.86,712.2,821.8,235.6,233.9,45.5,609.9
Investments,321.57,310.65,352.38,406.05,351.99,461.6,434.1,1342.7,816.1,573.6
Other Assets,1855.49,2371.76,2448.44,2759.04,2758.57,2900.9,3187,3036.7,4103.8,4712.4
Total,5349.66,6459.17,7359.8,8103.01,8595.62,9165.9,11288.8,11391.6,13261,14415.7
Receivables,519.77,609.27,609.37,750.53,825.19,1023.2,1027.2,1331.1,1764.7,2234.2
Inventory,278.55,350.26,406.13,466.87,565.84,584.8,737.8,249.5,431.9,390.1
Cash & Bank,274.15,377.33,378.79,524.5,417.25,346.9,466.8,724.4,924,775.8
No. of Equity Shares,139125160,139125159,139125160,139125160,139125160,139125159,139125159,143784657,143784657,143784657
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,373.39,469.95,597.17,622.55,536.96,905.2,1292.9,1264.6,1696,1376.7
Cash from Investing Activity,-355.83,-759.07,-888.21,-1151.88,-404.91,-710.6,-288.8,-880,-746.6,-856.8
Cash from Financing Activity,-63.48,392.31,329.93,476.96,-108.5,-214.7,-909.6,-340.1,-791.6,-633
Net Cash Flow,-45.92,103.19,38.89,-52.37,23.55,-20.1,94.5,44.5,157.8,-113.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
