COMPANY NAME,ZYDUS WELLNESS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1700.1,,,,,,,,,
Market Capitalization,10838.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,403.64,430.72,396.68,430.57,512.62,842.82,1766.82,1866.67,2009.1,2254.79
Raw Material Cost,83.03,125.07,120.07,95.89,112.35,240.72,694.16,885.99,979.57,1214.48
Change in Inventory,-11.82,-0.14,-0.65,3.92,-0.61,24.28,57.54,41.13,-0.8,68.5
Power and Fuel,3.26,3.58,3.43,4.02,5.15,9.6,21.62,25.03,31.42,43.25
Other Mfr. Exp,44,9.99,10.79,51.68,61.2,98.14,191.35,44.15,46.38,54.49
Employee Cost,32.72,36.49,42.25,48.3,57.12,86.83,156.37,164.86,164.37,168.18
Selling and admin,136.01,149.39,121.17,125.75,140.61,231.13,419.15,421.41,422.19,480.83
Other Expenses,7.93,6.14,6.99,9.6,10.3,15.88,20.65,22,19.62,24.77
Other Income,18.89,27.59,32.42,32.46,35.04,28.43,-33.49,-123.19,10.4,-5.33
Depreciation,,7.73,6.81,7.16,8.88,12.51,26.39,25.16,23.62,25.02
Interest,0.13,0.13,0.14,0.55,1.7,30.09,139.91,83.8,25.51,16.08
Profit before tax,103.63,119.65,116.8,124,149.74,170.63,121.27,112.21,306.02,290.86
Tax,5.32,8.5,11.56,12.72,13.23,-0.61,-20.45,-6.52,-2.85,-19.51
Net profit,96.45,108.95,103.26,108.98,133.9,169.14,141.72,118.73,308.87,310.37
Dividend Amount,23.44,23.44,25.4,25.4,31.26,28.83,28.83,31.82,31.82,31.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,383.65,388.09,639.78,696.4,429.1,416.4,713,702.1,439.9,403.2
Expenses,353.11,355.8,498.28,548.3,412.9,388.1,568.4,585.6,423.1,390.5
Other Income,3.36,2.69,1.96,-0.9,1.4,0.8,-6.5,-11.8,4.1,3.4
Depreciation,6.11,5.84,6.08,6.1,6.4,5.9,6.6,6.2,5.8,6.1
Interest,6.69,6.42,5.98,4.1,3,3.8,5.2,5.1,6.5,6.3
Profit before tax,21.1,22.72,131.4,137,8.2,19.4,126.3,93.4,8.6,3.7
Tax,-0.37,-0.58,-1.9,,-0.3,-0.2,-19,-17,2.7,3.4
Net profit,21.47,23.3,133.3,137,8.5,19.6,145.3,110.4,5.9,0.3
Operating Profit,30.54,32.29,141.5,148.1,16.2,28.3,144.6,116.5,16.8,12.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,39.07,39.07,39.07,39.07,39.07,57.66,57.66,63.63,63.63,63.63
Reserves,286.49,366.97,439.49,518.12,652.12,3328.62,3403,4504.16,4780.4,5059.02
Borrowings,,,,25,25,1569.25,1519.19,550.4,387.34,297.21
Other Liabilities,99.3,101.87,89.21,100.3,112.44,502.99,609.83,548.24,460.81,413.19
Total,424.86,507.91,567.77,682.49,828.63,5458.52,5589.68,5666.43,5692.18,5833.05
Net Block,95.41,84.4,82.07,102.53,103.88,4567.42,4673.52,4667.4,4709.94,4732.38
Capital Work in Progress,0.03,0.24,0.19,0.13,0.24,10.31,3.53,3.74,11.92,12.96
Investments,5,,94.16,30.01,147.55,46.1,110.41,,27.02,69.97
Other Assets,324.42,423.27,391.35,549.82,576.96,834.69,802.22,995.29,943.3,1017.74
Total,424.86,507.91,567.77,682.49,828.63,5458.52,5589.68,5666.43,5692.18,5833.05
Receivables,2.64,1.47,2.76,4.04,8.75,96.04,118.2,94.28,142.32,207.81
Inventory,27.94,25.99,24,31.88,35.06,233.07,292.34,364.72,361.64,457.45
Cash & Bank,262.83,339.03,304.53,440.16,413.72,164.29,82.42,252.72,169.8,38.18
No. of Equity Shares,39072089,39072089,39072089,39072089,39072089,57664144,57664144,63632144,63632144,63632144
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,91.09,69.24,89.86,76.95,69.06,149.38,259.25,286.73,236.85,91.71
Cash from Investing Activity,13.41,29.42,-27.83,-72.05,-59.12,-4092.35,-17.12,-10.41,-58.93,-84.84
Cash from Financing Activity,-27.46,-27.46,-58.47,-6.21,-1.82,4051.53,-259.69,-216.43,-233.82,-138.49
Net Cash Flow,77.04,71.2,3.56,-1.31,8.12,108.56,-17.56,59.89,-55.9,-131.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,496.25,1018.05,729.9,871.35,1177.55,1304.3,1299.35,1971.55,1501.15,1550.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
