COMPANY NAME,ASAHI INDIA GLASS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,614,,,,,,,,,
Market Capitalization,14942.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2216.63,2098.57,2208.87,2345.14,2632.97,2913.04,2643.24,2421.21,3170.41,4018.76
Raw Material Cost,694.51,731.02,799.26,881.15,926.21,983.08,889.69,735.72,953.04,1458.18
Change in Inventory,-8.1,-17.24,-3.04,34.55,-6.5,59.05,39.83,-106.09,36.78,75.23
Power and Fuel,470.78,354.28,260.69,262.92,329.46,458.18,399.24,306.33,466.43,614.69
Other Mfr. Exp,215.84,206.06,233.31,274.91,492.71,561.22,517.25,445.55,581.58,705.53
Employee Cost,175.58,182.11,202.93,237.97,267.84,279.81,274.13,262.96,289.48,322.17
Selling and admin,187.52,171.97,165.33,156.78,0.63,0.68,0.7,0.6,0.76,0.86
Other Expenses,234.89,126.57,151.43,150.86,145.86,178.63,170.86,129.36,155.25,197.71
Other Income,4.47,13.27,2.72,30.95,23.41,23.63,22.61,45.68,30.71,32.74
Depreciation,142.89,111.85,109.62,79.17,94.77,118.52,137.06,132.27,159.69,159.65
Interest,162.98,159.55,143.92,144.2,123.74,135.21,146.06,143.15,120.96,104.61
Profit before tax,-71.99,51.19,142.06,222.68,268.66,280.39,170.69,204.86,510.71,563.33
Tax,-22.32,13.08,60.02,72.97,92.99,92.12,19.45,74.2,167.95,201.66
Net profit,-46.78,42.02,86.95,149.56,177.38,190.18,153.72,133.07,344.78,364.88
Dividend Amount,,,14.59,24.31,36.46,24.31,24.31,24.31,48.62,48.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,796.53,829.32,943.64,922.53,1014.43,1009.59,1072.37,1088.62,1119.51,1043.58
Expenses,609.66,613.72,700.9,701.58,799.2,821.22,901.91,879.87,933.95,880.23
Other Income,6.94,6.56,10.94,7.68,9.26,7.09,8.55,6.81,8.33,1.75
Depreciation,39.69,43.09,39.61,39.96,39.59,39.3,40.8,40.71,42.95,45.59
Interest,31.94,28.46,27.8,25.74,26.06,26.92,25.89,34.34,34.39,34.32
Profit before tax,122.18,150.61,186.27,162.93,158.84,129.24,112.32,140.51,116.55,85.19
Tax,41.5,50.81,58.72,56.7,54.49,46.22,44.25,37.72,30.18,22.55
Net profit,81.14,100.22,128.08,106.9,105.15,83.91,68.92,103.82,86.88,63.36
Operating Profit,186.87,215.6,242.74,220.95,215.23,188.37,170.46,208.75,185.56,163.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.31
Reserves,217.06,256.94,329.74,902.41,1051.26,1191.39,1277.93,1415.46,1738.16,2050.22
Borrowings,1395.39,1419.06,1319.47,1221.24,1372.93,1642.91,1761.68,1565.5,1238.41,1401.41
Other Liabilities,676.62,560.15,598.03,682.42,832.85,830.86,799.08,768.08,775.8,1104.41
Total,2313.38,2260.46,2271.55,2830.38,3281.35,3689.47,3863,3773.35,3776.68,4580.35
Net Block,1177.42,1143.07,1134.4,1588.34,1906.9,1956.36,2035.14,2220.53,2323.13,2394.85
Capital Work in Progress,43.14,41.03,64.52,85.44,114.28,452.62,488.62,262.44,90.77,234.98
Investments,14.3,16.4,19.13,27.34,41.91,48.16,55.01,68.56,84.95,111.85
Other Assets,1078.52,1059.96,1053.5,1129.26,1218.26,1232.33,1284.23,1221.82,1277.83,1838.67
Total,2313.38,2260.46,2271.55,2830.38,3281.35,3689.47,3863,3773.35,3776.68,4580.35
Receivables,332,267.29,266.06,241.34,322.51,269.51,261.17,268.19,245.57,337.07
Inventory,490.39,513.44,518.87,583.75,614.25,690.99,722.12,654.31,716.09,1027.92
Cash & Bank,27.53,31.72,38.4,15.57,17.13,21.59,14.16,57.7,87.9,118.37
No. of Equity Shares,243089931,243089931,243089931,243089931,243089931,243089931,243089931,243089931,243089931,243089931
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,10.08,49.82,230.18,418.03,449.26,423.75,293.15,516.46,586.06,401.57
Cash from Investing Activity,-91.5,-69.19,-123.91,-190.05,-447.51,-511.78,-213.72,-84.03,-79.27,-320.27
Cash from Financing Activity,46.57,23.67,-99.59,-249.43,-1.22,90.81,-93.23,-381.52,-478.62,-52.09
Net Cash Flow,-34.85,4.3,6.68,-21.45,0.53,2.78,-13.8,50.91,28.17,29.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
