COMPANY NAME,EMAMI LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,526.4,,,,,,,,,
Market Capitalization,22975.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1699.94,2076.07,2358.35,2488.17,2530.55,2694.63,2654.88,2880.53,3192.03,3405.73
Raw Material Cost,705.9,766.36,830.76,806.67,821.25,935.84,884.56,948.63,1123.77,1164.43
Change in Inventory,25.62,-13.6,18.63,15.67,11.4,12.83,8.47,19.4,45.89,-36.93
Power and Fuel,9.79,12.48,12.18,15.19,18.32,22.64,22.47,21.5,22.52,22.62
Other Mfr. Exp,20.7,20.17,24.39,32.27,32.58,37.85,38.22,36.12,42.87,51.7
Employee Cost,148.58,172.57,213.33,239.27,261.12,286.19,305.52,315.17,323.73,374.68
Selling and admin,498.85,660.31,579.86,611.61,645.22,657.38,676.07,650.02,733.5,838.91
Other Expenses,-103.37,-109.99,28.27,39.48,44.77,42.53,51.98,48.23,53.75,61.2
Other Income,52.57,91.32,43.54,30.86,19.04,25.1,46.38,68.89,90.07,68.93
Depreciation,35.17,34.31,254.93,308.58,310.86,325.31,336.33,366.95,334.78,247.25
Interest,5.38,5.14,54.03,58.01,34.31,21.4,21.01,13.27,5.07,7.39
Profit before tax,457.13,592.44,422.77,423.62,392.56,403.42,373.57,568.93,688,669.55
Tax,54.7,107,59.71,83.61,86.26,100.89,71.27,114.21,-148.66,42.14
Net profit,402.47,485.61,363.06,340.42,307.14,303.23,302.91,454.7,838.99,639.57
Dividend Amount,158.9,158.9,158.9,158.9,158.9,181.56,181.28,355.6,352.96,352.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,787.12,971.06,770.39,773.31,813.75,982.72,835.95,825.66,864.87,996.32
Expenses,513.78,632.81,612.38,604.36,620.53,689.09,636.49,636.15,631.82,682.48
Other Income,37.61,16.63,25.11,6.33,41.99,6.86,13.75,8.28,11.11,10.81
Depreciation,83.88,84.44,83.46,88.11,47.93,47.24,63.97,46,46.09,45.81
Interest,0.78,1.83,1.82,2.49,1.76,1.77,1.37,2.14,2.25,2.71
Profit before tax,226.29,268.61,97.84,84.68,185.52,251.48,147.87,149.65,195.82,276.13
Tax,41.04,49.09,-256.27,11.99,5.39,18.51,6.25,12.9,15.83,15.48
Net profit,185.27,219.97,355.96,73.83,184.18,237.13,144.43,137.72,178.5,258.41
Operating Profit,273.34,338.25,158.01,168.95,193.22,293.63,199.46,189.51,233.05,313.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,22.7,22.7,22.7,22.7,22.7,45.39,45.32,44.45,44.12,44.12
Reserves,909.42,1207.94,1588.91,1732,1990.91,2030.67,1778.43,1718.2,2032.48,2258.68
Borrowings,37.62,35.89,671.44,472.96,325.92,109.87,210.24,100.74,281.55,90.51
Other Liabilities,332.55,409.8,409.16,375.5,458.32,632.59,644.49,656.3,691.79,703.1
Total,1302.29,1676.33,2692.21,2603.16,2797.85,2818.52,2678.48,2519.69,3049.94,3096.41
Net Block,395.86,452.9,1917.51,1993.78,1802.06,1680.07,1459.17,1131.83,1343.92,1245.35
Capital Work in Progress,11.91,28.77,67.09,21.52,30.47,36.33,8.05,6.43,3.08,6.33
Investments,295.84,501.27,103.93,127.69,313.59,186.98,156.42,255.33,302.69,293.36
Other Assets,598.68,693.39,603.68,460.17,651.73,915.14,1054.84,1126.1,1400.25,1551.37
Total,1302.29,1676.33,2692.21,2603.16,2797.85,2818.52,2678.48,2519.69,3049.94,3096.41
Receivables,79.29,101.77,130.88,97.01,155.89,216.35,308.01,231.75,320.92,414.6
Inventory,141.15,126.65,150.54,179.16,193.95,221.73,244.65,300.45,357.61,328.04
Cash & Bank,269.96,354.11,108.43,50.05,79.52,203.41,119.06,360.37,116,184.74
No. of Equity Shares,226967619,226967619,226967619,226967619,226967619,453935238,453180768,444513740,441150000,441150000
New Bonus Shares,,,,,,226967619,226967619,226967619,226967619,226967619
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,428.22,534.05,561.62,729.63,587.81,553.74,530.75,921.53,643.85,748.88
Cash from Investing Activity,-139.74,-236.93,-1312.68,-305.92,-276.29,-25.79,-231.02,-224.38,-233.95,-122.02
Cash from Financing Activity,-301.3,-215.39,501.82,-495.82,-323.74,-427.66,-405.36,-688.18,-402.14,-607.64
Net Cash Flow,-12.82,81.72,-249.24,-72.12,-12.21,100.28,-105.63,8.97,7.76,19.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,217.65,500.6,466.15,532.18,534.43,400,169.95,486,447.15,358.55
