COMPANY NAME,APTUS VALUE HOUSING FINANCE INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,314,,,,,,,,,
Market Capitalization,15629.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,126.29,200.67,325.16,500.33,639.58,814.68,1093.36,1365.18
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,0.17,0.21,0.28,0.34,0.34,0.4,0.51,
Other Mfr. Exp,,,0.16,0.14,0.18,0.79,0.95,1.15,2.77,
Employee Cost,,,23.02,35.15,50.04,65.19,72.18,85.34,122.46,148.92
Selling and admin,,,6.37,9.79,14.55,15.16,17.61,17.78,23.94,
Other Expenses,,,2.59,1.81,2.16,4.36,9.47,39.62,41.62,77.6
Other Income,,,0.07,2.99,13.26,23.39,18.63,25.53,35.64,51.67
Depreciation,,,1.8,2.37,2.93,5.81,5.68,6.61,7.21,9.31
Interest,,,36.07,52.97,115.28,184.78,206.88,209.29,276.77,387.86
Profit before tax,,,56.18,101.22,153,247.29,345.1,480.02,653.72,793.16
Tax,,,18.99,34.5,41.3,36.27,78.15,109.88,150.71,181.26
Net profit,,,37.19,66.73,111.7,211.01,266.94,370.14,503.01,611.9
Dividend Amount,,,,,,,,,99.61,224.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,210.24,225.23,240.34,268.24,286.27,298.51,305.63,333.58,351.42,374.54
Expenses,35.06,38.64,40.54,51.32,47.46,55.04,44.76,56.12,58.66,65.28
Other Income,6.07,9.11,8.42,8.81,8.54,12.07,9.24,10.88,13.23,16.61
Depreciation,1.48,2.15,1.66,2.31,1.74,1.51,1.95,2.63,2.4,2.33
Interest,48.61,49.22,54.26,66.83,77.16,77.66,84.74,96.14,98.45,108.52
Profit before tax,131.16,144.33,152.3,156.59,168.45,176.37,183.42,189.57,205.14,215.02
Tax,29.68,34.45,33.46,33.29,42.88,41.08,41.17,41.55,47.56,51
Net profit,101.48,109.87,118.84,123.31,125.57,135.3,142.26,148.02,157.59,164.03
Operating Profit,175.18,186.59,199.8,216.92,238.81,243.47,260.87,277.46,292.76,309.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,78.57,78.57,78.78,94.51,94.93,99.38,99.61,99.78
Reserves,,,442.49,506.36,619.81,1614.5,1884.52,2816.78,3239.72,3668.14
Borrowings,,,305.67,840.14,1602.82,2021.64,2515.06,2728.43,3795.82,5199.61
Other Liabilities,,,18.43,40.19,60.52,16.08,25.66,39.45,41.13,36.87
Total,,,845.16,1465.26,2361.93,3746.73,4520.17,5684.04,7176.28,9004.4
Net Block,,,4.67,4.34,4.01,10.11,9.56,11.97,15.27,21.92
Capital Work in Progress,,,,,,,,,,
Investments,,,0.53,44.64,,,52.75,101.65,51.47,51.47
Other Assets,,,839.96,1416.28,2357.92,3736.62,4457.86,5570.42,7109.54,8931.01
Total,,,845.16,1465.26,2361.93,3746.73,4520.17,5684.04,7176.28,9004.4
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,16.62,13.57,111.27,602.68,437.8,445.94,460.01,350.19
No. of Equity Shares,,,78570137,78570137,78782637,95863258,96283258,496918095,498030251,
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,-303.39,-495.24,-713.99,-734.8,-620.96,-723.53,-1047.11,-1355.68
Cash from Investing Activity,,,1.81,7.61,0.39,-96.89,64.76,-62.04,110.67,20.71
Cash from Financing Activity,,,300.18,534.47,764.28,1208.87,494.91,768.02,978.03,1224.31
Net Cash Flow,,,-1.41,46.84,50.68,377.18,-61.29,-17.54,41.59,-110.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,340.55,242.9,309.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,7.86,7.86,7.88,9.28,9.28,49.69,49.8,49.89
