COMPANY NAME,TIDE WATER OIL CO (I) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1785.3,,,,,,,,,
Market Capitalization,3109.23,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,972.54,1037.24,973.64,1129.78,1274.69,1377,1316.57,1258.48,1535.71,1853.8
Raw Material Cost,653.5,671.98,559.89,656.59,742.44,820.66,736.03,712.51,992.04,1237.64
Change in Inventory,9.49,-2.9,-1.54,16.59,-4.78,3.61,16.13,15.79,20.05,2.19
Power and Fuel,2.42,2.85,2.85,3.27,3.44,3.73,3.26,3.83,3.96,4.7
Other Mfr. Exp,12.43,8.12,9.43,10.34,10.76,10.35,11.41,11.73,13.31,14.92
Employee Cost,49.9,60.1,64.61,78.48,95.66,98.35,104.98,104.91,111.86,121.89
Selling and admin,156.11,190.62,196.32,242.27,260.68,296.08,313.45,255.46,263.48,308.42
Other Expenses,15.02,19.93,25.69,19.3,17.95,20.88,25.43,21.63,23.83,26.22
Other Income,17.32,163.04,23.98,34.7,32.31,31.7,38.09,37.76,29.9,21.91
Depreciation,9.48,11.11,7.39,8.91,9.33,10.46,12.49,14.12,15.47,15.55
Interest,0.27,0.55,1.07,2.98,2.61,2.45,2.36,2.41,1.6,1.49
Profit before tax,100.22,232.12,128.83,158.93,159.35,149.35,161.38,185.43,160.11,147.07
Tax,35.42,73.57,50.19,50.66,52.51,52.38,39.32,44.1,37.2,32.58
Net profit,64.8,158.55,86.44,108.27,106.84,96.97,122.06,141.33,122.91,114.49
Dividend Amount,17.42,29.75,43.5,51,59.5,79.9,85,102,93.5,71.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,394.06,411.87,444.68,438.8,448.02,497.07,469.91,473.74,474.18,496.45
Expenses,355.67,375.68,399.31,399.01,420.18,463.35,429.09,435.21,432.61,454.84
Other Income,8.42,8.39,8.23,6.11,4.13,5.82,5.88,7.56,7.72,7.72
Depreciation,3.79,3.79,4.13,3.81,3.78,4.21,3.75,3.79,3.84,3.89
Interest,0.41,0.39,0.33,0.43,0.4,0.35,0.31,0.32,0.34,0.85
Profit before tax,42.61,40.4,49.14,41.66,27.79,34.98,42.64,41.98,45.11,44.59
Tax,10.61,10.17,11.35,7.94,7.36,9.03,8.25,10.79,9.89,11.03
Net profit,32,30.23,37.79,33.72,20.43,25.95,34.39,31.19,35.22,33.56
Operating Profit,38.39,36.19,45.37,39.79,27.84,33.72,40.82,38.53,41.57,41.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.85,0.85,1.74,1.7,1.7,1.7,1.7,1.7,3.4,3.4
Reserves,381.04,498.63,584.62,611.47,648.64,638.26,678.91,734.86,716.43,760.2
Borrowings,9.22,21.43,28.41,28.72,42.09,39.2,38.46,18.29,14.36,4.58
Other Liabilities,212.78,217.01,231.03,254.86,256.13,249.07,247.61,285.6,301.85,329.96
Total,603.89,737.92,845.8,896.75,948.56,928.23,966.68,1040.45,1036.04,1098.14
Net Block,121.86,193.98,148.12,230.93,241.86,248.84,263.02,276.54,270.17,270.92
Capital Work in Progress,0.54,,1.52,0.44,3.27,1.78,11.79,4.05,3.41,1.74
Investments,0.41,0.41,68.07,65.3,69.63,69.41,75.64,74.12,70.05,69.86
Other Assets,481.08,543.53,628.09,600.08,633.8,608.2,616.23,685.74,692.41,755.62
Total,603.89,737.92,845.8,896.75,948.56,928.23,966.68,1040.45,1036.04,1098.14
Receivables,175.88,178.2,165.3,200.43,188.74,196.33,151.65,163.63,212.22,237.38
Inventory,197.56,156.07,161.86,201.46,189.44,189.34,200.74,286.05,289.93,303.7
Cash & Bank,64.51,169.45,244.18,149.26,179.43,159.86,204.51,184.41,149.2,163.45
No. of Equity Shares,871200,871200,3484800,3484800,3484800,3484800,3484800,3484800,17424000,17424000
New Bonus Shares,,,,,,,,,8712000,3319200
Face value,10,10,5,5,5,5,5,5,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,30.26,80.32,126.63,34.94,94.47,79.25,132.83,69.33,93.44,103.48
Cash from Investing Activity,-2.16,44.86,-6.84,23.78,-85.6,-0.85,-48.81,38.66,37.32,6.25
Cash from Financing Activity,-12.34,-20.24,-36.32,-56.27,-58.17,-109.68,-80.22,-102.49,-142.25,-81.47
Net Cash Flow,15.76,104.94,83.47,2.45,-49.3,-31.28,3.8,5.5,-11.49,28.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,408.42,673.29,1309.65,1203.81,1219.5,1024.67,641.48,864.57,1111.3,829.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
