COMPANY NAME,KSB LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4500.4,,,,,,,,,
Market Capitalization,15653.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Sales,801.84,818.98,825.66,945.94,1093.07,1293.91,1208.12,1497.29,1821.96,2247.2
Raw Material Cost,401.23,376.85,398.79,494.47,598.72,707.82,648.33,856.59,1063.01,1259.6
Change in Inventory,19.69,-11.92,11.77,27.3,33.65,9.51,27.81,64.16,75.01,-17.9
Power and Fuel,17.27,17.59,18.92,21.13,23,24.23,17.97,21.5,24.78,
Other Mfr. Exp,68.2,69.19,83.52,98.81,110.41,113.54,92.07,135.11,154.62,
Employee Cost,127.16,124.99,136.08,144.59,153.97,177.18,186.24,215.38,243.9,269.7
Selling and admin,61.89,69.45,56.71,62.91,66.5,80.53,70.74,75.93,109.15,
Other Expenses,44.65,43.06,37.32,43.49,45.79,48.39,51.95,47.1,54.86,406.4
Other Income,22.86,24.06,28.95,34.52,24.35,39.79,33.49,39.74,50.01,41.7
Depreciation,27.55,27.77,29.36,30.88,39.67,45.72,41.77,43.53,45.26,49.7
Interest,2.15,1.74,3.15,3.55,3.75,5.31,3.39,5.04,6.13,5.3
Profit before tax,94.29,100.48,102.53,107.93,109.26,140.49,156.96,201.01,245.27,280.3
Tax,32.47,36.36,34.01,37.05,37.66,39.75,63.18,51.62,62.53,71.6
Net profit,68.42,68.73,68.52,70.89,71.61,100.73,93.78,149.39,182.74,208.7
Dividend Amount,19.15,19.15,19.15,20.89,20.89,27.85,29.59,43.51,52.22,60.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,444.6,417.7,448.4,431.3,524.6,489.6,591.3,563.7,602.6,544.2
Expenses,388.2,363,387.3,377.2,447.8,432.4,506.1,493.4,521.7,483.3
Other Income,10.2,11.4,15.4,12.3,10.9,10.5,10.8,11.2,9.2,12.6
Depreciation,11,10.5,11.1,11.7,12,11.7,12,12.3,13.7,12.9
Interest,1.9,0.9,1.4,1.3,2.5,0.8,0.9,2,1.6,0.9
Profit before tax,53.7,54.7,64,53.4,73.2,55.2,83.1,67.2,74.8,59.7
Tax,14.3,14.3,16.6,14.4,17.3,14.3,20.3,17.1,19.9,15.1
Net profit,39.4,40.4,47.4,39,55.9,40.9,62.8,50.1,54.9,44.6
Operating Profit,56.4,54.7,61.1,54.1,76.8,57.2,85.2,70.3,80.9,60.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Equity Share Capital,34.81,34.81,34.81,34.81,34.81,34.81,34.81,34.81,34.81,34.8
Reserves,522.42,568.04,625.35,675.61,722.96,793.86,855.81,976.03,1108.31,1267.1
Borrowings,24.38,1.3,6.98,12.64,43.42,60,61.57,2.99,2.88,3.2
Other Liabilities,332.11,346.53,320.62,354.13,448.76,547.12,587.99,595.54,678.81,760.6
Total,913.72,950.68,987.76,1077.19,1249.95,1435.79,1540.18,1609.37,1824.81,2065.7
Net Block,190.81,194.06,218.63,308.2,321.06,307.29,318.42,310.64,350.08,420.4
Capital Work in Progress,9.96,14.22,16.5,4.09,4.14,34.49,25.1,39.18,25.14,31
Investments,49.88,51.37,54.11,57.81,59.77,64.41,66.23,69.75,74.16,79.5
Other Assets,663.07,691.03,698.52,707.09,864.98,1029.6,1130.43,1189.8,1375.43,1534.8
Total,913.72,950.68,987.76,1077.19,1249.95,1435.79,1540.18,1609.37,1824.81,2065.7
Receivables,179.04,178.37,162.54,254.98,290.72,296.18,266.76,277.98,403.65,491.7
Inventory,201.77,182.64,211.86,247.64,303.02,324.84,360.88,423.08,561.09,642.6
Cash & Bank,178.75,228.36,202.18,91.27,138.69,290.05,403.35,354.53,261.01,274.5
No. of Equity Shares,34807844,34807844,34807844,34807844,34807844,34807844,34807844,34807844,34807844,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Cash from Operating Activity,,112.12,58.26,-25.42,77.49,202.14,171.46,62.49,38.24,141.4
Cash from Investing Activity,,-32.84,-61.39,38.83,-85.5,-152.26,-100.99,2.43,-12.29,4.5
Cash from Financing Activity,,-47.86,-22.92,-20.75,1.73,-3.9,-31.79,-95.42,-50.56,-58.5
Net Cash Flow,,31.42,-26.05,-7.35,-6.28,45.98,38.67,-30.5,-24.61,87.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,660.9,622.25,631.15,905.35,774.7,674.8,644.4,1220.25,1933.8,3466.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
