COMPANY NAME,GREENPLY INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,240.25,,,,,,,,,
Market Capitalization,2978.42,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2216.89,1566.74,1646.11,1667.96,912.25,1412.16,1420.43,1165.34,1562.8,1845.63
Raw Material Cost,1308.92,917.38,905.32,921.31,582.5,889.58,838.53,689.33,956.37,1167.38
Change in Inventory,25.19,8.28,-14.78,37.89,18.23,36.56,3.04,5.25,21.07,40.8
Power and Fuel,88.96,65.82,65.89,68.28,17.54,22.97,23.02,20.73,24.46,25.23
Other Mfr. Exp,26.6,28.26,28.99,40.09,18.58,25.5,27.14,20.53,27.02,33.2
Employee Cost,221.1,145.74,168.28,177.5,117.66,151.92,163.74,150.31,194.6,244.48
Selling and admin,253.28,163.35,181.06,200.73,95.65,184.36,186.89,150.28,200.02,212.33
Other Expenses,70.97,43.16,38.36,50.78,34.75,28.33,28.5,24.3,31.14,55.45
Other Income,4.37,15.23,6.93,3.74,86.24,6.19,-48.45,6,12.5,24.96
Depreciation,59.57,47.06,49.68,50.66,17.96,22.43,25.72,23.08,25.85,36.46
Interest,64.21,38.28,30.99,18.92,7.72,18.63,20.79,16.65,11.93,26.25
Profit before tax,152.84,141.2,169.69,181.32,124.36,111.19,60.69,81.38,124.98,110.61
Tax,35.26,16.97,41.42,55.87,13.73,31.52,13.45,20.47,30.26,19.18
Net profit,117.57,124.23,128.27,125.44,110.63,79.67,47.25,60.91,94.73,91.43
Dividend Amount,7.24,7.24,7.24,7.36,7.36,4.9,4.9,4.9,6.13,6.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,432.42,421.06,448.55,453.54,494.75,428.19,469.16,476.14,607.73,620.83
Expenses,382.72,378.22,404.03,414.02,447.23,397.82,438.21,446.65,556.59,564.22
Other Income,2.15,5.29,3.18,1.56,1.43,12.69,9.29,1.4,3.65,17.46
Depreciation,6.44,6.54,6.73,7.63,8.88,9.64,10.32,13.32,16.17,17.21
Interest,3.47,2.61,2.48,5.11,7.33,6.21,7.6,12.97,17.75,20.36
Profit before tax,41.94,38.98,38.49,28.34,32.74,27.21,22.32,4.6,20.87,36.5
Tax,10.03,9.16,9.52,7.62,9.15,-8.83,11.25,3.78,6.97,9.64
Net profit,31.91,29.82,28.97,20.73,23.59,36.04,11.07,0.82,13.91,26.87
Operating Profit,49.7,42.84,44.52,39.52,47.52,30.37,30.95,29.49,51.14,56.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,12.07,12.07,12.07,12.26,12.26,12.26,12.26,12.26,12.26,12.29
Reserves,571.65,474.26,602.24,760.4,865.24,322.96,365.65,424.45,525.9,631.53
Borrowings,748.36,331.53,270.01,445.7,712.17,250.03,278.87,202.93,309.48,696.24
Other Liabilities,488.01,331.37,316.09,356.18,521.47,301.79,305.41,275.49,311.15,339.98
Total,1820.09,1149.23,1200.41,1574.54,2111.14,887.04,962.19,915.13,1158.79,1680.04
Net Block,698.7,533.04,542.1,525.92,580.47,251.88,314.28,308.45,352.51,458.81
Capital Work in Progress,117.12,13.91,9.3,268.69,770.4,17.31,5.17,6.24,109.63,513.32
Investments,0.09,35.14,28.69,26.12,18.45,22.24,23.84,22.52,25.8,6.37
Other Assets,1004.18,567.14,620.32,753.81,741.82,595.61,618.9,577.92,670.85,701.54
Total,1820.09,1149.23,1200.41,1574.54,2111.14,887.04,962.19,915.13,1158.79,1680.04
Receivables,371.73,257.22,332.5,298.35,285.6,305.05,356.51,193.9,186.43,228.72
Inventory,424.37,190.3,138.94,158.46,231.21,169.44,177.1,179.2,225.63,278.38
Cash & Bank,13.24,7.67,35,78.09,33.53,20.58,10.25,127.98,72.58,31.42
No. of Equity Shares,24136374,120682000,120681870,122627395,122627395,122627395,122627395,122627395,122627395,122876395
New Bonus Shares,,,,,,,,,,
Face value,5,5,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,189.26,187.41,190.97,212.01,113.39,97.83,57.64,227.79,91.61,62.17
Cash from Investing Activity,-171.67,-104.54,-62.74,-362.87,-328,-89.02,-58.48,-123.85,-130.11,-409.8
Cash from Financing Activity,-23.32,-82.35,-100.4,189.57,164.44,-27.64,-18.99,-92.16,80.43,317.76
Net Cash Flow,-5.73,0.53,27.83,38.71,-50.17,-18.83,-19.83,11.78,41.93,-29.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,58.47,157.9,146.26,233.36,255.06,130.63,81.05,170.55,219.9,138.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
