COMPANY NAME,SINDHU TRADE LINKS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,23.13,,,,,,,,,
Market Capitalization,3558.5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,966.37,1281.06,1536.03,1176.02,891.57,1016.81,1176.66
Raw Material Cost,,,,220.23,250.62,1144.18,835.18,35.22,52.68,72.13
Change in Inventory,,,,8.08,0.9,-2.43,-11.64,3.66,-2.9,15.99
Power and Fuel,,,,5.04,7.07,,,5.36,87.31,38.07
Other Mfr. Exp,,,,463.97,688.82,,,622.7,540.39,758.44
Employee Cost,,,,55.92,72.53,97.56,98.3,71.09,89.52,66.43
Selling and admin,,,,42.58,61.2,,,91.76,124.29,158.35
Other Expenses,,,,41.05,18.74,141.91,147.41,26.13,48.24,47.77
Other Income,,,,17.71,14.87,25.75,35.21,81.73,62.49,157.84
Depreciation,,,,29.14,30.35,50.95,45.91,36.48,27.73,31.16
Interest,,,,59.62,92.14,145.33,139.81,155.25,170.22,161.45
Profit before tax,,,,74.61,75.36,-20.58,-67.02,-67.03,-63.98,16.69
Tax,,,,38.79,40.44,33.86,32.01,15.1,6.41,20.17
Net profit,,,,41.48,45.27,-54.43,-99.04,-25.25,-19.65,0.4
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,197.58,281.5,735.33,245.5,242.48,307.71,381.01,427.14,396.92,416.32
Expenses,178.6,204.88,742.5,219.54,237.5,321.3,352.39,349.67,377.46,350.4
Other Income,3.38,8.39,54.2,16.54,15.54,18.37,112.08,17.25,78.92,57.64
Depreciation,8.49,8.34,19.39,6.66,7.72,1.88,14.89,6.11,0.89,13.91
Interest,39.21,36.52,131.76,25.66,48.32,5.67,81,43.86,41.88,13.69
Profit before tax,-25.34,40.15,-104.12,10.18,-35.52,-2.77,44.81,44.75,55.61,95.96
Tax,2.89,11.93,-5.51,4.73,-4.6,6.66,13.39,15.41,5.35,2.82
Net profit,-28.24,28.22,-98.61,5.45,-30.92,-9.43,31.42,29.34,50.26,93.14
Operating Profit,18.98,76.62,-7.17,25.96,4.98,-13.59,28.62,77.47,19.46,65.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,51.4,51.4,,51.4,51.4,51.4,154.19
Reserves,,,,234.8,295.56,,1161.34,1113.69,1119.23,1177.94
Borrowings,,,,939.49,1193.85,,1156.39,1306.2,1544.8,1638.06
Other Liabilities,,,,303.89,626.59,,2146.3,2002.13,1916.06,2021.68
Total,,,,1529.58,2167.4,,4515.43,4473.42,4631.49,4991.87
Net Block,,,,661.63,707.57,,3238.02,3159.55,3270.27,3463.17
Capital Work in Progress,,,,4.8,3.97,,,,,0.01
Investments,,,,108.62,41.68,,273.57,285.36,235.38,176.67
Other Assets,,,,754.53,1414.18,,1003.84,1028.51,1125.84,1352.02
Total,,,,1529.58,2167.4,,4515.43,4473.42,4631.49,4991.87
Receivables,,,,194.36,553.33,,244.44,298.12,368.21,390.15
Inventory,,,,41.34,90.62,,36.63,39.92,46.08,60.08
Cash & Bank,,,,20.51,66.75,,36.38,32.75,19.85,40.2
No. of Equity Shares,,,,51397626,51397626,,,51397626,513976260,1541929000
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,-236.75,-449.94,,,-51.39,174.68,-107.98
Cash from Investing Activity,,,,-24.2,181.98,,,12.09,-22.55,151.81
Cash from Financing Activity,,,,262.67,314.2,,,35.81,-158.67,-22.78
Net Cash Flow,,,,1.72,46.24,,,-3.49,-6.54,21.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,0.51,0.81,4.63,1.88,2.01,36.15,17.16
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,154.2,154.2,154.2,154.2,154.2,154.19,154.19
