COMPANY NAME,SUPRIYA LIFESCIENCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,368.65,,,,,,,,,
Market Capitalization,2963.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,183.76,212.91,277.84,311.64,391.21,530.05,460.94
Raw Material Cost,,,,112.46,127.94,146.07,152.38,140.57,198.83,187.32
Change in Inventory,,,,-10.52,-7.56,,13.9,12.44,3.03,6.51
Power and Fuel,,,,6.93,7.03,,8.97,9.24,14.07,20.95
Other Mfr. Exp,,,,12.27,14.37,,8.27,13.15,18.44,27.64
Employee Cost,,,,15.49,16.3,,25.59,32.76,49.24,55.69
Selling and admin,,,,8.11,15.85,,23.39,31.88,33.67,38.45
Other Expenses,,,,0.6,1.91,67.03,8.56,2.91,4.85,8.51
Other Income,,,,7.19,8.6,8.02,11.07,5.01,7.58,9.49
Depreciation,,,,4.75,5.33,5.44,6.41,6.76,10.12,11.82
Interest,,,,11.76,10.75,10.22,6.85,4.08,4.2,3.08
Profit before tax,,,,8.06,14.47,57.1,96.19,167.31,207.24,123.48
Tax,,,,2.4,5.74,17.68,22.84,43.71,55.44,33.63
Net profit,,,,5.66,8.73,39.42,73.35,123.59,151.81,89.86
Dividend Amount,,,,,,,14.64,3.95,4.83,4.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,150.23,117,181.27,101.36,112.17,105.14,142.27,132.02,140.1,140.07
Expenses,69.9,78.62,106.05,70.12,83.61,91.1,87.22,87.79,108.35,98.59
Other Income,0.95,5.44,3.86,2.36,2.61,2.56,1.96,2.92,2.47,3.07
Depreciation,2.46,2.6,2.58,2.89,2.97,2.95,3.01,3.96,3.98,3.96
Interest,1.06,1.15,1.02,0.58,0.78,1.01,0.71,0.56,0.46,0.49
Profit before tax,77.76,40.07,75.48,30.13,27.42,12.64,53.29,42.63,29.78,40.1
Tax,19.53,0.43,29.28,4.89,10.56,3.12,15.06,14.12,5.9,10.32
Net profit,58.22,39.64,46.21,25.25,16.86,9.52,38.23,28.51,23.88,29.79
Operating Profit,80.33,38.38,75.22,31.24,28.56,14.04,55.05,44.23,31.75,41.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,14.64,14.64,14.64,14.64,14.64,16.1,16.1
Reserves,,,,31.25,40.02,79.15,134.43,253.95,599.59,683.36
Borrowings,,,,140.09,130.37,89.84,82.21,72.19,27.42,22.47
Other Liabilities,,,,55.36,60.36,69.43,104.88,104.69,91.64,98.35
Total,,,,241.34,245.39,253.06,336.16,445.47,734.75,820.28
Net Block,,,,88.78,91.01,84.68,98.57,100.04,189.77,261.54
Capital Work in Progress,,,,35.58,34.38,35.35,40.21,78.79,43.41,67.63
Investments,,,,0.1,0.12,0.05,0.05,0.05,0.05,25.3
Other Assets,,,,116.88,119.88,132.98,197.33,266.59,501.52,465.81
Total,,,,241.34,245.39,253.06,336.16,445.47,734.75,820.28
Receivables,,,,49.61,53.4,59.95,51.63,73.5,115.18,84.66
Inventory,,,,38.22,31.7,30.73,49.46,72.48,92.31,115.77
Cash & Bank,,,,5.58,2.74,1.73,74.71,89.28,227.91,157.58
No. of Equity Shares,,,,14636706,73183530,73183530,14636706,73183530,80482800,80482800
New Bonus Shares,,,,,,,,,,
Face value,,,,10,2,2,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,27.34,27.76,48.88,116.67,75.89,48.8,66.19
Cash from Investing Activity,,,,-26.61,-4.71,4.83,-25.14,-46.8,-59.82,-133.15
Cash from Financing Activity,,,,-2.24,-20.01,-49.93,-29.23,-14.52,149.65,-3.37
Net Cash Flow,,,,-1.51,3.03,3.79,62.31,14.57,138.63,-70.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,493.3,190.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.46,1.46,1.46,1.46,7.32,8.05,8.05
