COMPANY NAME,TV18 BROADCAST LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,41.65,,,,,,,,,
Market Capitalization,7135.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2318.39,924.91,979.41,1475.19,4942.7,5174.94,4497.62,5526.18,5912.09,8975.97
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,16.36,14.13,17.44,18.06,28.68,27.53,20.41,17.93,21.12,
Other Mfr. Exp,945.44,171.52,240.75,514.65,2510.45,2437.81,1816.6,2390.58,3122.03,
Employee Cost,399.25,270.66,332.05,429.52,955.43,893.63,836.8,898.07,1012.01,1095.77
Selling and admin,672.99,321.63,347.71,398,1079.05,1048.39,929.74,1126.47,1502.46,1697.15
Other Expenses,111.85,15.94,10.24,55.99,55.56,62.33,86.05,54.94,61.83,6742.5
Other Income,-101.93,34.15,43.39,98.12,71.19,103.66,121.84,129.3,172.89,790.84
Depreciation,40,34.87,56.37,69.21,132.46,165.64,138.75,113.11,122.59,203.39
Interest,47.85,18.61,22.43,26.96,100.62,141.55,87.72,38.09,116.18,187.06
Profit before tax,-17.28,111.7,-4.19,60.92,151.64,501.72,703.39,1016.29,126.76,-159.06
Tax,21.19,3.3,25.11,51.99,-58.76,85.01,-42.32,90.05,-1.01,7.79
Net profit,44.54,194.82,6.4,9.7,166.9,242.38,455.55,584.5,116.18,-48.61
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1567.08,1496.22,1265.05,1473.43,1767.71,1405.9,3176.03,1794.17,1676.19,2329.58
Expenses,1212.06,1242.21,1207.3,1432.78,1749.12,1328.74,3230.43,1992.22,1821.98,2490.79
Other Income,37.95,30.4,39.38,22.33,69.41,40.26,219.5,210.44,180.92,179.98
Depreciation,28.44,26.86,26.34,28.49,32.72,35.04,39.39,50.12,45.56,68.32
Interest,8.94,10.25,10.73,24.68,31.06,49.71,36.22,33.81,39.74,77.29
Profit before tax,355.59,247.3,60.06,9.81,24.22,32.67,89.49,-71.54,-50.17,-126.84
Tax,44.04,26.45,0.04,-0.47,-13.59,13.01,-1.71,-6.54,5.66,10.38
Net profit,200.34,143.61,33.66,5.69,41.64,35.19,44.33,-28.92,-12.29,-51.73
Operating Profit,355.02,254.01,57.75,40.65,18.59,77.16,-54.4,-198.05,-145.79,-161.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,342.87,342.87,342.87,342.87,342.87,342.87,342.87,342.87,342.87,342.87
Reserves,3104.96,3709.72,2987.94,2997.34,3155.33,3390.73,3848.46,4436.8,4335.64,16786.11
Borrowings,501.18,230.46,272.86,1001.61,1619.83,1775.18,1029.55,788.79,4385.82,6213.79
Other Liabilities,786.46,465.33,365.89,2429.86,2763.9,2900.08,3001.27,3628.14,4703.55,16550.83
Total,4735.47,4748.38,3969.56,6771.68,7881.93,8408.86,8222.15,9196.6,13767.88,39893.6
Net Block,1986.98,1020.27,1117.16,2288.57,2251.81,2360.16,2321.14,2274.1,2454.16,14845.16
Capital Work in Progress,9.41,15.09,4.39,25.34,47.3,86.66,125.79,258.96,912.36,103.61
Investments,514.46,2513.39,1824.86,352.65,380.33,419.65,489.42,580.24,646.73,3839.63
Other Assets,2224.62,1199.63,1023.15,4105.12,5202.49,5542.39,5285.8,6083.3,9754.63,21105.2
Total,4735.47,4748.38,3969.56,6771.68,7881.93,8408.86,8222.15,9196.6,13767.88,39893.6
Receivables,537.54,279.12,245.59,1210.55,1229.46,1491.08,1228.7,1090.85,1231.13,1686.57
Inventory,406.51,2.42,,1340.76,1898.94,2031.1,1884.1,2579.84,5849.34,10196.52
Cash & Bank,167.68,33.49,11.65,177.41,179.89,114.48,326.09,334.09,227.37,4826.24
No. of Equity Shares,1714409196,1714360160,1714360160,1714360160,1714360160,1714360160,1714360160,1714360160,1714360160,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-109.98,133.01,63,157.72,-125.77,152.81,1318.71,593.08,-2718.08,-6378.08
Cash from Investing Activity,23.88,-117.82,-107.96,-18.76,-389.11,-186.52,-98.67,-292.56,-705.5,-5138.46
Cash from Financing Activity,-39.31,-20.3,29.78,25.13,519.6,-31.62,-1008.41,-292.98,3316.96,1017.71
Net Cash Flow,-125.4,-5.11,-15.18,164.09,4.72,-65.33,211.63,7.54,-106.62,-10498.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,30.3,40.3,42,67.1,35.5,15.6,28.75,74.05,28.75,46.4
