COMPANY NAME,ICICI BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1115.7,,,,,,,,,
Market Capitalization,783922.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,54964,59293.71,60939.98,62162.35,71981.65,84835.77,89162.66,95406.87,121066.81,159515.92
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,1008.28,1154.03,1340.41,1720.34,1778.56,2016,2178.52,2699.47,3464.42,
Employee Cost,6574.24,6918.58,7902.81,8342.58,9437.03,11169.57,11063.46,12353.95,15247.91,19171.98
Selling and admin,2679.71,3008.5,3546.3,3974.96,5419.74,6135.79,6402.88,6167.72,7565.2,
Other Expenses,28503.72,41170.77,51051.29,58768.56,67139.53,66039.39,71664.12,59577.23,61586.85,82323.22
Other Income,35252.24,42102.14,52457.65,56806.75,59324.85,64950.33,72029.53,62129.45,65111.99,77595.57
Depreciation,798.22,843.11,911.64,922.14,945.84,1171.22,1340.07,1330.01,1514.56,
Interest,32318.15,33996.47,34835.83,34262.05,39177.54,44665.52,42659.09,41166.67,50543.39,74108.16
Profit before tax,18333.92,14304.39,13809.35,10978.47,7408.26,18588.61,25884.05,34241.27,46256.47,61508.13
Tax,5391.62,3377.5,2469.02,1878.92,1719.1,7363.14,5664.37,8457.44,11793.44,15427.62
Net profit,12246.87,10179.96,10188.38,7712.19,4254.24,9566.31,18384.32,25110.1,34036.64,44256.37
Dividend Amount,2899.15,2907.92,1456.39,964.36,644.73,,1383.41,3474.92,5587.12,7023.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,24314.25,24999.46,26158.6,28850.49,31618.81,34438.91,37105.89,38938.08,40865.23,42606.72
Expenses,20470.33,21775.36,18137.48,22336.31,22946.02,25959.14,21401.71,24560.02,24929.14,30604.33
Other Income,15744.54,18013.36,13270.99,16634.25,16470.13,19734.91,15229.15,18689.63,18874.49,24802.3
Depreciation,,,,,,,,,,
Interest,10372.37,10633.93,11089.06,11996.97,12977.89,14479.47,16367.66,17908.01,19408.76,20423.73
Profit before tax,9216.09,10603.53,10203.05,11151.46,12165.03,13735.21,14565.67,15159.68,15401.82,16380.96
Tax,2256.2,2514.42,2504.86,2790.25,2999.41,3498.92,3551.22,3808.82,3886.67,4180.91
Net profit,6536.55,7718.94,7384.53,8006.99,8792.42,9852.7,10636.12,10896.13,11052.6,11671.52
Operating Profit,3843.92,3224.1,8021.12,6514.18,8672.79,8479.77,15704.18,14378.06,15936.09,12002.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1159.66,1163.17,1165.11,1285.81,1289.46,1294.76,1383.41,1389.97,1396.78,
Reserves,83544.88,92947.55,103466.89,109343.89,112963.95,121665.3,156204.09,180662.52,213101.01,
Borrowings,597207.25,671455.05,700874.02,815197.94,891641.06,1014636.24,1103839.96,1252968.47,1399893.96,
Other Liabilities,144167.38,153190.43,180218.63,198453.41,232899.42,239695.93,312384.79,317616.42,344098.75,
Total,826079.17,918756.2,985724.65,1124281.05,1238793.89,1377292.23,1573812.25,1752637.38,1958490.5,
Net Block,5871.21,8713.46,9337.96,9465.01,9660.42,10408.66,10916.93,10706.74,11070.34,
Capital Work in Progress,,,,,,,,,,
Investments,274310.81,286044.09,304373.29,372207.68,398200.76,443472.63,536578.62,567097.72,639551.97,
Other Assets,545897.15,623998.65,672013.4,742608.36,830932.71,923410.94,1026316.7,1174832.92,1307868.19,
Total,826079.17,918756.2,985724.65,1124281.05,1238793.89,1377292.23,1573812.25,1752637.38,1958490.5,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,47637.17,65035.97,80490.87,88999.13,87390.9,127852.92,147570.53,183125.98,136456.49,
No. of Equity Shares,5797510734,5815034519,5824742224,6428256865,6446505742,6473031292,6916258476,6949037464,6983081820,
New Bonus Shares,,,,582984544,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-12273.14,23645.32,52635.53,19382.93,48671.05,79564.75,138015.3,58111.43,-3771.19,157284.48
Cash from Investing Activity,-13175.12,-12060.44,-1711.1,-50550.64,-30281.86,-42094.9,-63630.92,-39448.29,-67689.02,-145931.09
Cash from Financing Activity,24827.2,5813.91,-35469.54,39675.97,-19997.43,2992.18,-54666.77,17451,24790.72,13764.51
Net Cash Flow,-621.06,17398.8,15454.9,8508.26,-1608.24,40462.03,19717.61,36114.14,-46669.49,25117.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
