COMPANY NAME,ITD CEMENTATION INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,363.45,,,,,,,,,
Market Capitalization,6241.97,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1524.35,1651.97,2891.54,2937.72,2060.51,3170.45,2860.71,2727.73,3809.02,5090.91
Raw Material Cost,513.32,643.92,809.46,659.11,622.42,1195.56,1065.61,853.27,1239.44,1770.8
Change in Inventory,,,,,,,,,,
Power and Fuel,75.41,74.28,78.02,84.61,88.81,111.37,86.03,83.97,168.98,221.44
Other Mfr. Exp,376.52,485.96,1409.5,1415.25,599.3,914.26,877.39,1014.84,1496.95,1894.56
Employee Cost,192.31,193.67,222.47,221.95,257.48,398.44,346.73,345.46,373.08,482.77
Selling and admin,238.62,189.76,320.12,251.79,189.64,181.66,146.02,178.43,198.61,257.63
Other Expenses,-34.32,-26.89,-139.6,93.39,38.64,41.79,0.8,38.88,38.9,63.82
Other Income,33.96,113.83,-101.8,22.92,6.84,13.9,-10.12,45.47,44.85,62.89
Depreciation,44.23,42.71,36.65,46.31,57.74,82.45,137.42,100.15,102.55,113.52
Interest,128.32,135.5,137.71,89.15,87.58,124.32,130.5,138.2,141.6,165.39
Profit before tax,23.9,26.89,-84.59,99.08,125.74,134.5,60.09,20,93.76,183.87
Tax,14.6,7.48,-25.28,47.87,52.81,51.34,16.33,4.05,24.42,59.14
Net profit,9.31,19.41,-59.31,50.84,72.82,81.87,43.16,15.76,68.81,124.24
Dividend Amount,1.15,,,4.66,6.21,6.87,5.15,2.06,7.73,12.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,811.49,998.15,1173.84,1097.84,1034.65,1327.02,1631.41,1832.57,1610.42,2017.16
Expenses,761.06,917.53,1090.06,1008.32,974.95,1222.98,1491.32,1671.02,1452.25,1812.36
Other Income,22.84,6.01,9.52,11.56,37.06,13.54,7.28,12.88,14.31,15.06
Depreciation,26.68,26.55,25.72,25.16,27.55,29.93,30.87,44.68,52.75,56.11
Interest,35.91,34.08,35.66,34.73,39.21,40.32,51.13,50.95,51.67,57.95
Profit before tax,10.68,26,31.92,41.19,30,47.33,65.37,78.8,68.06,105.8
Tax,-4.35,6.17,15.4,11,10,10.44,27.71,26.46,14.37,27.21
Net profit,14.88,19.65,16.38,30.06,19.75,36.52,37.79,52.21,53.62,78.39
Operating Profit,50.43,80.62,83.78,89.52,59.7,104.04,140.09,161.55,158.17,204.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.52,15.52,15.52,15.52,15.52,17.18,17.18,17.18,17.18,17.18
Reserves,396.9,552.3,492.7,536.5,601.76,1003.69,1035.42,1048.51,1113.99,1220.33
Borrowings,769.51,765.33,600.75,356.21,488.6,532.29,538.79,457.61,560.47,766.18
Other Liabilities,682.48,861.7,1335.83,972.54,1281.69,1044.14,1533.34,1669.03,1924.78,3012.84
Total,1860.41,2194.85,2444.8,1880.77,2387.57,2597.3,3124.73,3192.33,3616.42,5016.53
Net Block,223.56,335.26,348.99,385.34,461.75,529.43,623.84,601.29,654.9,847.49
Capital Work in Progress,6.73,3.28,2.67,5.6,38.49,7.35,4.86,53.37,2,117.43
Investments,,,,0.58,0.57,0.57,255.41,193.66,112.86,44.9
Other Assets,1630.12,1856.31,2093.14,1489.25,1886.76,2059.95,2240.62,2344.01,2846.66,4006.71
Total,1860.41,2194.85,2444.8,1880.77,2387.57,2597.3,3124.73,3192.33,3616.42,5016.53
Receivables,401.58,412.86,309.17,214.65,239.85,436.5,585.12,530.86,621.88,1080.23
Inventory,956.83,1131.25,1175.38,110.58,157.42,246.09,289.36,337.29,400.23,577
Cash & Bank,31.92,27.18,147.6,165.28,115.78,108.71,281.44,207.01,491.49,629.58
No. of Equity Shares,11515790,15515790,155157900,155157900,155157900,171788000,171788000,171788000,171788000,171788000
New Bonus Shares,,,,,,,,,,
Face value,10,10,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,186.88,43.64,465.06,325.98,68.2,-134.12,446.88,191.27,338.7,471.06
Cash from Investing Activity,-48.81,-38.36,-104.09,-20.3,-157.08,-133.13,-87.39,-51.14,-24.74,-438.14
Cash from Financing Activity,-146.84,-4.29,-302.09,-222.3,39.58,243.53,-212.12,-249.7,-55.69,27.79
Net Cash Flow,-8.77,0.99,58.87,83.39,-49.31,-23.71,147.37,-109.57,258.27,60.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,14,49.28,109.4,149.2,217.95,131.65,29.75,77.85,63.1,104.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
