COMPANY NAME,JSW INFRASTRUCTURE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,244.0,,,,,,,,,
Market Capitalization,51229.63,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,887.78,998.09,1080.26,1143.15,1603.57,2273.06,3194.74,3762.89
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,29.76,34.45,38.07,35.78,62.41,91.6,125.01,
Other Mfr. Exp,,,109.24,187.09,300.51,247.24,73.58,766.59,1081.56,
Employee Cost,,,60.69,57.42,60.05,75.1,111.75,150.12,230.54,284.64
Selling and admin,,,61.29,49.11,53.56,118.47,485.63,113.91,97.22,
Other Expenses,,,115.87,82.13,97.7,47.36,53.76,41.41,37.84,1513.69
Other Income,,,57.01,76.62,101.2,94.22,74.69,105.68,175.74,269.41
Depreciation,,,82.17,157.14,170.59,201.86,270.66,369.51,391.22,436.48
Interest,,,90.21,129.89,177.14,277.46,227.86,419.62,596.09,332.46
Profit before tax,,,395.56,377.48,283.84,234.1,392.61,425.98,811,1465.03
Tax,,,85.18,96.66,11.88,37.58,108,95.55,61.48,304.34
Net profit,,,310.39,267.68,266.72,190.42,291.38,327.95,739.83,1155.91
Dividend Amount,,,,,,,,,,112.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,831.72,662,797.73,915.3,878.1,848.31,940.11,1096.38
Expenses,,,386.5,321.04,421.3,443.5,426.76,396.14,460.22,515.2
Other Income,,,29.87,34.51,44.29,57.9,40.14,47.17,78.19,103.92
Depreciation,,,98.32,99.27,102.3,97.99,94.74,100.51,107.58,133.65
Interest,,,230.52,109.16,210.81,136.28,-15.75,70.67,143.45,134.08
Profit before tax,,,146.25,167.04,107.61,295.43,412.49,328.16,307.05,417.37
Tax,,,1.41,28.75,-8.77,-6.83,90.29,72.29,53.48,88.29
Net profit,,,141.5,134.64,114.89,300.44,320.89,254.4,250.66,330.01
Operating Profit,,,445.22,340.96,376.43,471.8,451.34,452.17,479.89,581.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,56.32,60.18,60.18,59.93,59.93,59.93,359.58,410.3
Reserves,,,1797.91,2552.89,2827.49,2488.29,2831.24,3212.19,3635.05,7616.06
Borrowings,,,1599.11,1731.79,2050.84,3109.22,3945.82,4740.17,4567.61,4758.47
Other Liabilities,,,628.34,840.47,762.22,1089.45,1286.34,1165.17,749.91,1042.73
Total,,,4081.68,5185.33,5700.73,6746.89,8123.33,9177.46,9312.15,13827.56
Net Block,,,2730.37,3185.89,3256.49,3947.99,4923.98,6133.89,5974.56,7780.64
Capital Work in Progress,,,380.01,632.62,861.99,751.58,1125.05,79.68,46.01,108.86
Investments,,,94.64,28.38,229.76,376.44,295.51,283.01,307.03,244.49
Other Assets,,,876.66,1338.44,1352.49,1670.88,1778.79,2680.88,2984.55,5693.57
Total,,,4081.68,5185.33,5700.73,6746.89,8123.33,9177.46,9312.15,13827.56
Receivables,,,198.5,294.27,307.61,502.19,411.53,601.35,402.37,676.79
Inventory,,,34.33,49.94,75.85,125.15,99.15,85.41,102.16,111.74
Cash & Bank,,,44.88,328.45,101.76,162.61,314.48,1038.24,1631.64,4090.22
No. of Equity Shares,,,56847632,60710000,60710000,60710000,59929200,60709992,1864707450,
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,615.85,599.9,328.02,258.7,1010.84,1176.23,1797.23,1803.21
Cash from Investing Activity,,,-1051.79,-1098.36,-494.89,-392.68,-1636.79,-801.32,-620.79,-4204.68
Cash from Financing Activity,,,387.15,539.74,139.89,240.78,620.21,2.55,-1086.56,2503.88
Net Cash Flow,,,-48.79,41.27,-26.98,106.8,-5.75,377.46,89.88,102.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,245.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,5.68,6.07,6.07,6.07,6.07,6.07,186.47,210
