COMPANY NAME,SOLAR INDUSTRIES INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,8706.1,,,,,,,,,
Market Capitalization,78697.72,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1073.42,1276.28,1448.62,1579.99,1916.12,2461.57,2237.3,2515.63,3947.61,6922.53
Raw Material Cost,603.96,760.6,871.44,923.69,1100.98,1390.8,1257.14,1384.45,2367.38,4379.76
Change in Inventory,13.14,33.97,-5.25,17.18,37.4,-10.14,42.14,37.68,40.05,37.39
Power and Fuel,14.77,16.81,17.66,18.59,20.76,28.9,30.64,32.12,42.59,61.64
Other Mfr. Exp,16.45,59.88,21.77,27.1,32.26,37.03,36.94,35.56,47.12,66.7
Employee Cost,75.03,86.96,96.07,113.78,142.47,184.57,206.84,230.86,290.04,353.33
Selling and admin,154.02,164.55,97.9,119.47,189.23,225.38,238.51,258.51,368.01,520.47
Other Expenses,17.12,-32.57,34.28,70.65,56.27,82.81,75.05,97.21,124.4,289.37
Other Income,1.16,-2.1,13.25,13.21,12.1,8.67,41.05,21.42,18.8,31.52
Depreciation,21.87,31.45,32.82,38.74,51.29,58.89,84.53,93.53,109.25,128.21
Interest,20.09,17.85,20.44,26.89,32.72,49.87,55.04,45.39,50.25,90.38
Profit before tax,164.41,202.62,264.24,271.47,339.64,401.85,335.8,397.1,607.42,1101.58
Tax,34.91,46.28,86.74,76.74,106.05,125.05,57.13,109.03,151.95,290.41
Net profit,118.44,147.41,163.66,186.54,220.55,261.61,267.43,276.35,441.28,757.19
Dividend Amount,,30.77,40.72,45.25,54.3,63.35,54.3,54.3,67.88,72.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,787.66,1017.87,1316.85,1615.64,1566.6,1811.75,1928.54,1682.21,1347.46,1429.14
Expenses,655.91,839.9,1054.03,1332.69,1267.69,1462.24,1571.31,1359.19,1012.09,1074.23
Other Income,11.02,7.07,0.77,8.58,4.36,7.37,11.34,8.19,7.72,10.91
Depreciation,27.25,27.19,29.63,30.54,30.35,32.01,35.31,34.1,33.67,38.6
Interest,11.8,13.41,14.78,14.27,19.41,25.46,31.24,24.67,24.89,28.29
Profit before tax,103.72,144.44,219.18,246.72,253.51,299.41,302.02,272.44,284.53,298.93
Tax,28.95,39.38,44.39,64.09,64.89,79.99,81.44,70.85,75.54,76.99
Net profit,73.79,102.09,167.89,170.21,176.38,204.58,206.1,197.41,200.14,203.33
Operating Profit,131.75,177.97,262.82,282.95,298.91,349.51,357.23,323.02,335.37,354.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1
Reserves,643.48,757.79,787.35,910.49,1065.76,1220.23,1361.99,1561.31,1896.18,2592.24
Borrowings,483.61,370.67,397.58,501.16,517.58,603.4,708.13,807.56,888,1194.68
Other Liabilities,207.3,242.63,309.18,292,386.53,411.22,392.57,572.45,827.14,1103.72
Total,1352.49,1389.19,1512.21,1721.75,1987.97,2252.95,2480.79,2959.42,3629.42,4908.74
Net Block,490.89,584.86,702.79,776.77,923.28,1042.88,1208.55,1287.53,1492.73,1701.83
Capital Work in Progress,81.04,61.05,30.44,90.93,107.4,177.56,164.97,292.88,230.37,282.03
Investments,25.19,37.36,40.09,53.25,17.05,32.64,2.35,0.97,18.22,98.51
Other Assets,755.37,705.92,738.89,800.8,940.24,999.87,1104.92,1378.04,1888.1,2826.37
Total,1352.49,1389.19,1512.21,1721.75,1987.97,2252.95,2480.79,2959.42,3629.42,4908.74
Receivables,185.34,191.3,270.98,319.06,363.58,399.04,370.32,455.48,541.1,825.28
Inventory,152.83,164.88,159.86,181.07,232.42,282.74,330.98,440.49,718.87,1097.99
Cash & Bank,133.02,37.27,36.71,39.39,69.46,91.76,120.14,181.2,98.75,260.09
No. of Equity Shares,18098011,18098011,18098011,90490055,90490055,90490055,90490055,90490055,90490055,90490055
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,169.95,230.48,243.28,117.62,254.1,313.75,324.81,356.68,297.8,656.48
Cash from Investing Activity,-160.59,-149.03,-140.83,-170.4,-174.33,-253.5,-259.63,-253.24,-337.66,-614.27
Cash from Financing Activity,31.46,-177.2,-91.62,53.27,-53.21,-51.74,-33.62,-26.07,-45.4,118.16
Net Cash Flow,40.82,-95.75,10.83,0.49,26.56,8.51,31.56,77.37,-85.26,160.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
