COMPANY NAME,IRCON INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,226.25,,,,,,,,,
Market Capitalization,21283.63,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3897.35,3037.64,2492.69,3067.31,4024.22,4798.43,5391.11,5349.83,7379.67,10367.93
Raw Material Cost,260.98,,336.06,371.99,349.29,390.69,349.71,368.04,512.17,392.29
Change in Inventory,-1.38,-28.66,-5.04,47.86,10.56,169.37,-15.89,-211.77,165.26,-45.6
Power and Fuel,1.35,6.28,1.61,1.58,3.77,5.84,6.93,7.68,7.62,8.05
Other Mfr. Exp,2451.31,2075.86,1585.85,2171.55,2942.77,3617.44,4072.65,3971.75,6126.2,8895.5
Employee Cost,232.15,198.74,180.69,156.14,241.25,263.71,279.55,247.49,266.69,284.29
Selling and admin,14.53,93.84,14.53,21.28,44.01,56.2,49.28,18.02,20.52,25.12
Other Expenses,18.91,-52.4,104.51,65.1,5.59,155.05,12.74,20.38,26.67,13.43
Other Income,253.42,263.9,421.4,313.32,188.88,211.53,178.42,188.4,260.79,413.35
Depreciation,34.27,57.25,30.9,26.68,16.42,51.61,82.94,92.09,95.17,107.46
Interest,38.54,32.79,43.3,58.65,65.12,14.53,27.89,23.49,62.03,118.54
Profit before tax,1097.35,860.52,611.6,555.52,555.44,624.26,671.95,577.52,688.65,891
Tax,349.14,277.39,218.49,171.55,146.78,174.19,186.68,186.46,96.38,125.77
Net profit,746.98,582.16,393.11,383.98,408.66,450.07,485.27,391.06,592.34,765.23
Dividend Amount,182.16,182.16,168.3,370.28,191.86,202.63,223.37,141.08,235.12,282.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1523.19,1761.85,2952.59,2001.91,2238.85,2346.51,3780.66,2717.15,2986.83,2884.22
Expenses,1384,1608.95,2769.43,1841.96,2039.24,2190.19,3597.51,2512.77,2771.15,2670.85
Other Income,69.4,68.18,85.93,79.18,81.38,75.4,186.47,111.11,176.69,164.77
Depreciation,22.91,23.03,26.36,23.74,23.93,24.1,35.69,19.13,27.08,27.11
Interest,16.46,18.78,21.66,28.89,31.19,29.7,33.22,33.31,36.93,37.24
Profit before tax,169.22,179.27,221.07,186.5,225.87,177.92,300.71,263.05,328.36,313.79
Tax,43.28,43.74,-20.74,41.93,51.69,-12.08,44.23,75.68,77.58,69.09
Net profit,125.94,135.53,241.88,144.57,174.18,189.99,256.49,187.36,250.73,244.64
Operating Profit,139.19,152.9,183.16,159.95,199.61,156.32,183.15,204.38,215.68,213.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,19.8,19.8,19.8,98.98,94.05,94.05,94.05,94.05,188.1,188.1
Reserves,2996.49,3284.65,3619.12,3717.92,3667.18,3870.17,4077.23,4309.08,4477.52,5023.39
Borrowings,,239.47,,,3200,3076.53,,331.09,1399.17,1504.72
Other Liabilities,3197.18,3892.69,4500.49,5414.51,5809.64,6277.71,6009.4,6519.76,8381.57,8821.17
Total,6213.47,7436.61,8139.41,9231.41,12770.87,13318.46,10180.68,11253.98,14446.36,15537.38
Net Block,216.07,736.14,506.48,524.44,568.43,1890.18,1981.65,1922.18,1845.02,1825.13
Capital Work in Progress,48.44,30.43,75.36,548.58,963.67,55.19,29.7,12.96,36.5,18.87
Investments,433.83,495.6,487.48,780.85,783.96,808.55,803.47,850.35,970.75,1049.36
Other Assets,5515.13,6174.44,7070.09,7377.54,10454.81,10564.54,7365.86,8468.49,11594.09,12644.02
Total,6213.47,7436.61,8139.41,9231.41,12770.87,13318.46,10180.68,11253.98,14446.36,15537.38
Receivables,652.57,596.69,510,472.88,675.22,666.04,551.19,630.77,695.19,863.83
Inventory,124.19,124.34,140.62,139.34,140.74,331.94,320.67,120.65,276.59,211.83
Cash & Bank,2737.73,3432.69,4721.98,4753.12,4690.6,3065.39,2672.61,3446.44,5513.21,5122.56
No. of Equity Shares,19796000,19796000,19796000,98980000,94051574,94051574,94051574,470257870,940515710,940515710
New Bonus Shares,,,,,,,,,470257870,
Face value,10,10,10,10,10,10,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-159.94,501.69,1441.43,919.26,-2616.75,-1185.38,-135.74,518.12,1414.06,-167.83
Cash from Investing Activity,14.34,-521.15,47.35,-1834.27,-20.28,615.95,446.78,-785.35,-1241.24,1471.6
Cash from Financing Activity,-233.16,-222.14,-219.32,-221.93,2737.39,-92.56,-275.28,168.56,670.75,-223.43
Net Cash Flow,-378.75,-241.6,1269.46,-1136.93,100.36,-661.99,35.76,-98.67,843.57,1080.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
