COMPANY NAME,GABRIEL INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,361.45,,,,,,,,,
Market Capitalization,5192.71,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1277.75,1436.61,1430.76,1520.59,1833.14,2076.46,1869.96,1694.83,2331.99,2971.74
Raw Material Cost,937.66,1042.2,1027.98,1092.87,1318,1510.91,1373.45,1271.3,1794.14,2288.08
Change in Inventory,10,-1.2,1.29,8.13,7.37,3.86,3.76,6.02,7.83,19.27
Power and Fuel,24.27,25.48,23.64,25.04,26.99,28.88,25.96,24.84,31.47,42.82
Other Mfr. Exp,47.24,42.4,45.13,66.29,109.08,115.38,103.72,61.03,80.56,103.43
Employee Cost,94.28,108.6,116.04,112.41,139.69,155.52,156.31,148.44,161.15,185.61
Selling and admin,82.8,95.03,85.26,74.49,58.7,74.52,60.26,78.3,109.63,137.87
Other Expenses,12.83,4.83,4.9,11.24,16.74,17.15,16.22,14.41,16.91,19.51
Other Income,3.16,3.29,2.06,5.58,7.04,9.08,9.7,24.31,26.13,17.39
Depreciation,27.07,31.13,33.19,35.33,38.29,41.06,43.65,42.39,41.36,48.59
Interest,9,5.48,2.48,3.87,2.89,2.93,3.58,6.55,4.27,4.59
Profit before tax,55.76,83.55,95.49,112.76,137.17,143.05,100.27,77.9,126.46,177.9
Tax,13.16,23.52,20.25,30.1,42.93,48.07,15.56,17.63,36.94,45.55
Net profit,42.6,60.02,75.24,82.67,94.24,94.99,84.71,60.27,89.52,132.35
Dividend Amount,12.21,15.09,17.24,18.67,20.1,21.54,18.67,12.92,22.26,36.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,589.7,606.14,684.33,720.9,802.87,710.99,736.98,805.77,864.45,813.81
Expenses,546.69,564.14,646.6,670.05,743.76,659.62,684.62,736.77,790.91,743.6
Other Income,4.43,6.47,10.83,6.14,2.94,1.85,6.46,4.65,4.58,4.53
Depreciation,9.9,10.87,10.67,11.16,11.78,12.68,12.97,13.74,14.14,14.4
Interest,1.47,0.73,0.17,1.37,1.05,1.32,0.85,2.23,0.98,1
Profit before tax,36.07,36.87,37.72,44.46,49.22,39.22,45,57.68,63,59.34
Tax,11.15,11.19,10.79,11.57,12.66,10.1,11.24,15.2,16.06,16.38
Net profit,24.92,25.69,26.92,32.91,36.57,29.12,33.76,42.49,46.95,42.96
Operating Profit,43.01,42,37.73,50.85,59.11,51.37,52.36,69,73.54,70.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,14.37,14.37,14.37,14.36,14.36,14.36,14.36,14.36,14.36,14.36
Reserves,270.81,311.07,365.56,435.79,510.52,575.64,637.42,681.95,752.42,855.9
Borrowings,65.97,13.29,10.94,8.19,10.4,7.24,8.91,14.68,12.9,11.17
Other Liabilities,237.58,283.29,280.77,310.47,367.68,375.05,320.4,484.52,573.42,546.57
Total,588.73,622.02,671.64,768.81,902.96,972.29,981.09,1195.51,1353.1,1428
Net Block,267.19,267.66,272.44,288.55,298.73,300.66,348.63,352.66,385.44,420.33
Capital Work in Progress,12.46,3.1,2.21,1.78,7.83,53.79,19.61,27.72,20.34,35.06
Investments,0.02,0.02,0.02,28.33,62.32,46.89,35.18,15.17,83.8,79.54
Other Assets,309.06,351.24,396.97,450.15,534.08,570.95,577.67,799.96,863.52,893.07
Total,588.73,622.02,671.64,768.81,902.96,972.29,981.09,1195.51,1353.1,1428
Receivables,136.08,174.78,192.37,211.79,279.15,284.3,233.28,279.3,382.4,383.72
Inventory,119.45,115.35,110.74,131.23,149.07,168.43,163.89,196.48,209.98,224.81
Cash & Bank,4.71,3.89,37.65,5.25,40,48.57,56.66,91.03,54.57,107.45
No. of Equity Shares,143670000,143673940,143673940,143643940,143643940,143643940,143643940,143643940,143643940,143643940
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,68.53,100.4,91.04,135.87,103.75,92.83,120.13,203.88,95,136.36
Cash from Investing Activity,-36.19,-26.87,-35.76,-122.57,-63.52,-74.86,-96.22,-170.14,-42.79,-103.83
Cash from Financing Activity,-31.7,-74.51,-23.14,-44.49,-26.23,-31.14,-27.85,-21.69,-24.11,-33.7
Net Cash Flow,0.64,-0.99,32.15,-31.19,14,-13.17,-3.94,12.05,28.1,-1.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,29.6,86,89.1,121.6,137,144.55,53.3,103.15,111.9,136.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
