COMPANY NAME,APAR INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,7616.25,,,,,,,,,
Market Capitalization,30612.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4628.02,5107.67,5078.49,4831.92,5818.48,7963.62,7425.23,6388.02,9316.57,14352.15
Raw Material Cost,3683.19,4174.87,3850.94,3638.39,4492.55,6462.48,5872.14,4754.75,7549.03,11043.41
Change in Inventory,7.72,89.79,-53.71,65.55,-2.49,126.32,164.82,-45.35,341.21,334.66
Power and Fuel,56.41,59.36,56.42,61.18,60.49,100.81,91.78,78.28,89.98,127.04
Other Mfr. Exp,234.69,288.68,311.77,337.45,338.86,452.38,469.42,423.22,503.65,727
Employee Cost,70.09,81.47,96.44,114.75,130.75,152.66,172.53,164.36,178.72,237.42
Selling and admin,249.32,295.55,277.49,266.03,313.89,371.97,383.53,414.56,659.4,1153.76
Other Expenses,35.23,33.19,51.32,46.11,53.82,58.35,105.16,67.64,99.03,131.13
Other Income,3.54,1.23,10.04,15.33,11.08,14.72,15.18,18.61,32.61,35.96
Depreciation,27.02,31.21,37.76,44.97,55.87,66.67,87.12,93.44,97.84,104.34
Interest,154.8,161.89,175.14,130.52,158.07,223.12,254.14,156.76,170.74,344.11
Profit before tax,128.53,72.47,177.54,273.4,222.77,216.22,169.41,208.27,342,854.56
Tax,38.62,23.06,57.26,97.15,78.03,80.16,34.26,47.77,85.27,216.84
Net profit,89.91,49.51,121.69,176.57,144.74,136.06,135.15,160.5,256.73,637.72
Dividend Amount,20.2,13.48,25.02,38.27,36.36,36.36,36.36,36.36,57.4,153.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2269.09,2228.83,3012.45,3093.23,3234.88,3938.92,4088.58,3773.01,3925.46,4013.16
Expenses,2141.5,2111.77,2838.9,2855.83,3009,3595.7,3664.69,3426.89,3576.2,3608.2
Other Income,4.68,7.36,8.92,4.48,12.22,6.63,10.68,13.86,18.76,21
Depreciation,24.22,24.88,24.82,24.93,26.05,26.08,27.28,27.23,28.17,28.84
Interest,30.97,25.61,45.76,61.31,71.14,93.96,79.09,69.6,103.08,112.82
Profit before tax,77.08,73.93,111.89,155.64,140.91,229.81,328.2,263.15,236.77,284.3
Tax,20.19,18.97,29.28,33.18,38.28,59.91,85.47,65.72,62.89,66.73
Net profit,56.89,54.96,82.61,122.46,102.63,169.9,242.73,197.43,173.88,217.57
Operating Profit,127.59,117.06,173.55,237.4,225.88,343.22,423.89,346.12,349.26,404.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,38.47,38.5,38.5,38.27,38.27,38.27,38.27,38.27,38.27,38.27
Reserves,657.75,691.31,815.44,997.85,1069.98,1164.1,1128.16,1361.25,1676.96,2198.12
Borrowings,791.89,494.16,384.43,304.62,362.53,253.28,371.54,324.81,359.19,376.23
Other Liabilities,1509.88,1731.95,1680.19,2107.48,2805.07,3501.32,3115.83,3274.65,4533.1,5605.03
Total,2997.99,2955.92,2918.56,3448.22,4275.85,4956.97,4653.8,4998.98,6607.52,8217.65
Net Block,358.68,394.56,397.85,573.87,648.52,708.84,884.66,877.91,881.24,950.48
Capital Work in Progress,18.08,10.24,56.11,27.75,19.5,103.48,54.71,28.71,38.49,99.31
Investments,1.5,5.26,112.45,118.57,,186.92,,60.4,30.52,54.28
Other Assets,2619.73,2545.86,2352.15,2728.03,3607.83,3957.73,3714.43,4031.96,5657.27,7113.58
Total,2997.99,2955.92,2918.56,3448.22,4275.85,4956.97,4653.8,4998.98,6607.52,8217.65
Receivables,1103.57,1267,1090.39,1254.32,1734.48,2141.61,1898.6,1860.57,2531.13,3198.07
Inventory,1017.04,944.25,769.76,993.54,1212.26,1282.88,1331.43,1562.71,2138.65,2575.64
Cash & Bank,230.61,100.47,133.86,122.97,274.37,225.29,176.23,222.45,266.41,530.1
No. of Equity Shares,38470400,38496500,38496769,38268619,38268619,38268619,38268619,38268619,38268619,38268619
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-632.03,298.43,411.76,312.44,225.04,632.04,94.17,281.37,243.75,698.34
Cash from Investing Activity,-11.73,-59.3,-222.86,-165.89,-4.72,-387.81,45.34,-115.11,-91.26,-268.63
Cash from Financing Activity,-180.56,-369.27,-152.84,-157.45,-68.92,-293.31,-188.83,-123.16,-106.35,-184.06
Net Cash Flow,-824.32,-130.14,36.06,-10.9,151.4,-49.08,-49.32,43.1,46.14,245.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
