COMPANY NAME,KFIN TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,748.7,,,,,,,,,
Market Capitalization,12782.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,162.43,449.87,481.14,639.51,720.03,837.53
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,1.61,6.2,4.87,3.67,3.93,
Other Mfr. Exp,,,,,1.93,7.83,11.55,8.33,8.48,
Employee Cost,,,,,65.24,193.98,188.61,232.49,289.43,319.66
Selling and admin,,,,,27.27,77.87,60.7,89.09,117.69,
Other Expenses,,,,,0.68,5.32,2.95,17.99,2.28,153.68
Other Income,,,,,2.32,5.39,5.05,6.06,17.39,24.65
Depreciation,,,,,33.89,92.21,97.99,37.03,46.67,53.02
Interest,,,,,20.26,53.34,52.01,52.97,10.72,8.44
Profit before tax,,,,,13.87,18.51,67.51,204,258.22,327.38
Tax,,,,,4.9,13.99,132.01,55.45,62.48,81.33
Net profit,,,,,8.96,4.52,-64.51,148.55,195.74,246.05
Dividend Amount,,,,,,,,,,98.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,167.75,180.85,168.61,180.16,188.13,183.13,181.5,208.97,218.72,228.34
Expenses,93.79,97.11,106.18,109.08,107.43,99.3,111.58,115.79,121.14,124.84
Other Income,2.33,1.19,2.6,2.39,6.26,6.24,5.32,6.3,6.44,6.6
Depreciation,9.46,10.05,11.21,11.39,12.83,11.24,12.43,12.57,13.41,14.61
Interest,25.98,2.61,2.68,2.56,2.64,2.77,2.95,3.2,1.17,1.11
Profit before tax,40.85,72.27,51.14,59.52,71.49,76.06,59.86,83.71,89.44,94.38
Tax,10.96,21.42,13.72,11.6,18.12,19.05,16.48,22.33,22.62,19.9
Net profit,29.89,50.86,37.43,47.92,53.38,57.02,43.38,61.38,66.83,74.47
Operating Profit,73.96,83.74,62.43,71.08,80.7,83.83,69.92,93.18,97.58,103.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,165.83,150.84,150.84,167.57,169.23,170.99
Reserves,,,,,353.45,258.73,195.56,476.77,700.99,970
Borrowings,,,,,434.88,413.24,382.52,37.15,159.84,48.67
Other Liabilities,,,,,67.62,45.57,193.69,344.92,220.37,229.03
Total,,,,,1021.78,868.38,922.61,1026.41,1250.43,1418.69
Net Block,,,,,732.35,691.42,629.57,668.54,691.32,801.05
Capital Work in Progress,,,,,0.37,0.08,2.51,34.58,39.77,
Investments,,,,,111.54,13.54,94.91,93.08,228.57,149.85
Other Assets,,,,,177.52,163.34,195.62,230.21,290.77,467.79
Total,,,,,1021.78,868.38,922.61,1026.41,1250.43,1418.69
Receivables,,,,,88.01,88.32,110.59,112.6,126.55,151.9
Inventory,,,,,,,,,,
Cash & Bank,,,,,53.62,17.82,23.47,45.19,87.02,251.73
No. of Equity Shares,,,,,165831429,150843583,150843583,167568883,169228699,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,63.21,101.44,204.63,252.64,223.37,289.25
Cash from Investing Activity,,,,,-815.99,93.59,-103.97,-115.12,-203.88,-177.57
Cash from Financing Activity,,,,,775.36,-206.04,-89.4,-115.41,7.25,-126.74
Net Cash Flow,,,,,22.58,-11.02,11.26,22.11,26.75,-15.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,280.25,613.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,16.58,15.08,15.08,16.76,16.92,17.1
