COMPANY NAME,J KUMAR INFRAPROJECTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,618,,,,,,,,,
Market Capitalization,4678.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1186.78,1343.18,1408.63,1604.26,2050.72,2787.09,2970.54,2570.84,3527.2,4203.14
Raw Material Cost,800.88,760.88,830.66,1059.36,1300.41,1751.28,1816.95,1612.11,2268.24,2783.98
Change in Inventory,118.85,-38.45,-55.29,93.43,91.66,30.95,,,,
Power and Fuel,13.2,16.74,10.75,10.81,16.09,29.59,34.79,32.81,35.22,39.51
Other Mfr. Exp,152.55,137.02,102.49,125.93,121.11,75.16,88.94,105.23,239.62,237.34
Employee Cost,78.65,77.12,81.54,129.82,203.23,254.14,308.84,240.5,289.1,319.54
Selling and admin,12.77,19.99,20.48,46.77,54.67,96.78,174.03,162.2,161.76,208.19
Other Expenses,41.76,42.43,59.14,74.4,125.66,174.8,118.08,106.61,28.67,17.51
Other Income,10.81,13.05,17.47,31.1,28.53,28.12,28.3,25.29,24.86,30.44
Depreciation,34.76,47.35,51.21,55.65,72.74,102.22,126.25,143.71,146.79,154.74
Interest,57.64,76.76,61.65,66.2,70.34,93.9,97.69,104.39,99.99,99.2
Profit before tax,124.23,139.49,152.89,159.85,206.66,268.29,233.27,88.57,282.67,373.57
Tax,40.18,45.1,54.39,52.53,70.11,91.23,49.69,24.65,76.8,99.18
Net profit,84.05,94.39,98.5,107.32,136.55,177.07,183.58,63.91,205.88,274.39
Dividend Amount,10.42,12.89,15.13,15.13,15.13,17.02,9.46,7.57,22.7,26.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,771.98,965.71,1114.45,993.77,1012.78,1062.39,1134.21,1131.32,1104.18,1218.73
Expenses,661.96,827.15,955.22,853.39,867.12,910.8,974.76,969.41,944.61,1039.26
Other Income,5.56,5.86,8.29,5.73,9.63,5.76,9.32,7.05,5.55,7.12
Depreciation,35.28,36.82,37.67,37.44,37.33,38.66,41.31,41.45,42.27,43.11
Interest,26.03,25.33,26.43,24.76,25.04,22.12,27.28,27.39,27.28,32.54
Profit before tax,54.27,82.27,103.42,83.91,92.92,96.57,100.18,100.12,95.57,110.94
Tax,13.21,23.56,29.41,22,25.38,25.51,26.31,27.29,22.13,28.3
Net profit,41.06,58.71,74,61.91,67.54,71.08,73.87,72.83,73.44,82.64
Operating Profit,110.02,138.56,159.23,140.38,145.66,151.59,159.45,161.91,159.57,179.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,27.8,32.23,37.83,37.83,37.83,37.83,37.83,37.83,37.83,37.83
Reserves,547.49,756.86,1253.91,1352.98,1470.94,1629.67,1793.13,1849.06,2048.82,2301.9
Borrowings,557.15,515.44,353.74,436.85,580.38,691.08,707.63,567.05,471.56,547.28
Other Liabilities,520.62,387.7,318.15,935.64,1272.4,1138.79,1140.93,1191.07,1385.54,1468.77
Total,1653.06,1692.23,1963.63,2763.3,3361.55,3497.37,3679.52,3645.01,3943.75,4355.78
Net Block,325.53,430.07,429.88,511.46,716.1,778.82,854.5,805.56,789.65,925.11
Capital Work in Progress,175.21,63.26,67.53,71.23,126.18,79.79,98.68,149.81,151.77,106.75
Investments,2.29,1.13,178.94,0.33,15.04,31.58,1.24,1.6,2.24,1
Other Assets,1150.03,1197.77,1287.28,2180.28,2504.23,2607.18,2725.1,2688.04,3000.09,3322.92
Total,1653.06,1692.23,1963.63,2763.3,3361.55,3497.37,3679.52,3645.01,3943.75,4355.78
Receivables,131.98,200.84,295.57,486.14,528.77,498.6,644.76,619.82,888.01,1141.27
Inventory,565.81,543.08,486.1,643.64,814.27,918.68,312.57,286.08,365.74,392.7
Cash & Bank,121.24,154.83,173.6,522.91,510.56,471.29,495.02,507.8,373.51,376.53
No. of Equity Shares,27801205,32226205,75665506,75665506,75665506,75665506,75665506,75665506,75665506,75665506
New Bonus Shares,,,,,,,,,,
Face value,10,10,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-25.23,58.56,64.12,-22.16,264.83,82.59,258.85,368.72,380.51,182.88
Cash from Investing Activity,-238.17,-53.45,-226.38,64.81,-322.94,-108.22,-122.6,-111.34,-91.31,-186.25
Cash from Financing Activity,251.56,2.99,171.1,10.29,54.99,-1.45,-147.54,-270.76,-223.89,-42.8
Net Cash Flow,-11.84,8.1,8.83,52.93,-3.12,-27.08,-11.29,-13.39,65.31,-46.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,86.5,341.53,274.75,258.5,271.4,160.65,75.25,193.65,166.9,254.4
