COMPANY NAME,JSW HOLDINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,6334.05,,,,,,,,,
Market Capitalization,7025.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,63.35,88.91,107.31,121.01,92.81,186.14,406.76
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,,,,,
Employee Cost,,,,2.8,3.55,3.92,3.83,3.41,3.52,3.08
Selling and admin,,,,0.39,0.48,0.64,0.77,0.63,1.24,1.68
Other Expenses,,,,0.76,0.76,0.82,0.93,0.97,0.99,1.13
Other Income,,,,,0.02,0.02,,,,
Depreciation,,,,0.02,0.03,0.04,0.03,0.03,0.01,
Interest,,,,,,,,0.07,,
Profit before tax,,,,59.38,84.11,101.91,115.45,87.7,180.38,400.87
Tax,,,,12,16.11,14.1,11.39,22,45.77,101.25
Net profit,,,,48.21,69.55,100.03,106.44,75.22,151.62,331.5
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,134.39,16.94,19.18,18.8,337.49,26.02,24.45,26.12,89.17,27.29
Expenses,1.55,2.03,1.01,1.25,2.13,1.28,1.23,2.92,3.04,2.71
Other Income,,,,,,,,,,
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,132.84,14.91,18.17,17.55,335.36,24.74,23.22,23.2,86.13,24.58
Tax,33.53,3.77,4.68,4.41,84.7,6.28,5.86,5.98,22.35,6.37
Net profit,104.18,16.66,15.88,5.55,254.54,29.94,41.46,24.36,63.2,34.71
Operating Profit,132.84,14.91,18.17,17.55,335.36,24.74,23.22,23.2,86.13,24.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,11.1,11.08,11.07,11.07,11.07,11.09,11.1
Reserves,,,,847.19,8243.59,8276.5,7101.15,12591.16,19943.25,19398.8
Borrowings,,,,,,,,,,
Other Liabilities,,,,2.03,743.35,717.86,599.7,1442.83,2801.98,2629.13
Total,,,,860.32,8998.02,9005.43,7711.92,14045.06,22756.32,22039.03
Net Block,,,,0.03,0.14,0.08,0.06,0.06,0.01,
Capital Work in Progress,,,,,,,,,,
Investments,,,,530.62,8642.34,8618.69,7279.15,13545.98,22119.12,21101.53
Other Assets,,,,329.67,355.54,386.66,432.71,499.02,637.19,937.5
Total,,,,860.32,8998.02,9005.43,7711.92,14045.06,22756.32,22039.03
Receivables,,,,2.33,3.79,2.31,1.12,2.61,3.27,2.38
Inventory,,,,,,,,,,
Cash & Bank,,,,0.05,7.99,10,5.94,1.1,0.32,1.14
No. of Equity Shares,,,,11099625,11077366,11099625,11099625,11068287,11094021,11097262
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,31.62,66.16,88.89,103.49,67.25,130.24,298.39
Cash from Investing Activity,,,,-42.93,-58.23,-86.88,-107.55,-72.09,-131.01,-297.57
Cash from Financing Activity,,,,,,,,,,
Net Cash Flow,,,,-11.3,7.93,2.01,-4.06,-4.84,-0.78,0.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,1529.15,1654.95,2862,1444.95,3848.85,4104.65,3837.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.11,1.11,1.11,1.11,1.11,1.11,1.11
