COMPANY NAME,BANK OF INDIA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,139,,,,,,,,,
Market Capitalization,63326.62,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,38125.19,43684.87,42092.84,39585.23,38312.8,41004.82,42590.77,40853.83,38280.91,47931.69
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,64.37,64.47,64.42,66.39,66.87,64.77,74.52,61.73,68.82,79.61
Employee Cost,4039.49,5033.63,5406.68,5452.4,4967.28,6086.27,6201.34,6533.5,7116.39,8458.72
Selling and admin,1189.03,1303.42,1346.73,1488.96,1544.45,1599.23,1655.28,1837.13,1959.55,2246.79
Other Expenses,6180.49,7198.55,13023.68,14210.57,18039.46,19123.92,18454.93,9239.16,7117.93,10391.88
Other Income,4319,4278.08,3671.61,6819.45,5845.89,4862.24,6687.06,6778.33,8091.73,7168.42
Depreciation,233.9,291.08,289.96,-7.23,521.68,372.84,391.96,380.09,371.68,426.51
Interest,27169.77,32220.05,30245.32,27605.75,27678.83,27207.12,27191.46,26420.95,24083.43,27440.64
Profit before tax,3567.14,1851.75,-4612.34,-2412.16,-8659.88,-8587.09,-4691.66,3159.6,5654.84,6055.96
Tax,834.49,103.42,1722.63,-818.41,-2587,-3161,-1640.42,1079.03,2167.53,2216.62
Net profit,2986.78,2012.91,-6204.26,-1470.09,-5961.31,-5426.57,-3051.04,2082.75,3492.57,3837.96
Dividend Amount,321.5,332.82,,,,,,,820.86,820.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,9580.23,9423.22,9903.14,10042.88,11545.36,12795.54,13547.92,14442.14,15062,15318.75
Expenses,3938.7,3557.47,4700.71,4408.83,5313.09,5291.39,6590.21,4579.26,4546.26,4189.79
Other Income,2177.71,1847.38,1650.17,1164.69,1455.96,1422.49,3168.03,1483.9,1717.41,1202.08
Depreciation,,,,,,,,,,
Interest,6012.59,5987.32,5887.87,5915.17,6433.45,7144.45,7947.56,8466.96,9255.71,9792.22
Profit before tax,1806.65,1725.81,964.73,883.57,1254.78,1782.19,2178.18,2879.82,2977.44,2538.82
Tax,734.57,734.16,320.62,300.68,502.6,623.35,789.99,1378.6,1488.62,643.34
Net profit,1073.03,996.04,688.14,657.62,854.1,914.72,1411.53,1561.55,1498.55,1930.48
Operating Profit,5641.53,5865.75,5202.43,5634.05,6232.27,7504.15,6957.71,9862.88,10515.74,11128.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,643,665.65,817.29,1055.43,1743.72,2760.03,3277.66,3277.66,4104.31,4104.31
Reserves,30130.72,31857.2,32528.37,32573.83,35012.76,44891.92,41795.49,46702.57,52417.55,56328.64
Borrowings,527122.59,574580.99,566825.75,581843.53,566595.16,566820.15,597138.9,661562.47,656801.87,737209.35
Other Liabilities,20126.08,18046.43,16456.92,16553.07,11832.52,16408.93,20805.1,21243.54,29807.13,28393.45
Total,578022.39,625150.27,616628.33,632025.86,615184.16,630881.03,663017.15,732786.24,743130.86,826035.75
Net Block,5677.54,5801.84,8381.74,8349.12,8191.65,8799.08,8765.29,8637.09,9570.11,9950.13
Capital Work in Progress,142.64,112.65,191.11,196.66,158.21,200,292.69,364.31,286.01,110.43
Investments,116489.74,123195.53,122620.91,130751.26,140321.07,150905.02,162322.91,191693.01,180273.95,211323.55
Other Assets,455712.47,496040.25,485434.57,492728.82,466513.23,470976.93,491636.26,532091.83,553000.79,604651.64
Total,578022.39,625150.27,616628.33,632025.86,615184.16,630881.03,663017.15,732786.24,743130.86,826035.75
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,61760.31,76938.92,99504.72,96464.71,96024.23,94860,86609.06,126693.63,91708.89,84683.28
No. of Equity Shares,644179213,666824715,817291564,1055434204,1743717496,2760028522,3277662450,3277662450,4104305170,4104305170
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,6451.62,14638.2,18310.79,-6624.08,-7366,-9218.1,-4827.08,37868,-35486.91,-7045.04
Cash from Investing Activity,-813.88,-754.66,-608.69,-371.06,-259.89,71.07,-231.8,-181.6,-643.95,-521.34
Cash from Financing Activity,745.44,1295.07,4863.7,3955.12,7185.41,7982.8,-3192.06,2398.16,1146.13,540.77
Net Cash Flow,6383.18,15178.61,22565.8,-3040.01,-440.48,-1164.24,-8250.94,40084.57,-34984.73,-7025.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
