COMPANY NAME,ZENSAR TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,580.5,,,,,,,,,
Market Capitalization,13172.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2655.78,2951.87,3055.59,3107.74,3966.33,4181.68,3781.4,4243.8,4848.2,4901.9
Raw Material Cost,161.99,154.51,129.96,89.81,115.38,152.5,113.4,110.2,132.2,7.4
Change in Inventory,-6.16,3.24,-13.19,-6.68,-7.54,-4.34,-5.1,,,
Power and Fuel,13.08,13.72,14.62,13.77,13.97,13.54,7.8,6.4,7.9,
Other Mfr. Exp,483.57,515.53,554.68,545.99,763.06,759.4,610.4,719.6,810.4,
Employee Cost,1297.41,1461.05,1598.73,1708.37,2152.58,2347.43,2152.6,2575,3123,3101.7
Selling and admin,276.97,313.78,307.11,322.43,377.07,340.67,176,149.3,185.4,
Other Expenses,24.83,57.73,55.42,55.76,57.3,56.74,31.3,26.8,37.1,921.1
Other Income,26.84,53.84,24.06,74.39,92.68,88.42,-23.7,137.7,102.8,158.8
Depreciation,41.54,65.1,48.55,65.08,89.44,159.18,174.7,184.8,183,133.8
Interest,11.16,10.66,8.77,22.67,37.29,60.51,53.5,35.3,27.9,20.9
Profit before tax,365.91,416.87,348.62,351.57,445.38,375.79,432.9,574.1,444.1,875.8
Tax,101.27,124.57,110.25,105.08,126.73,104.19,125.9,152.4,116.5,210.8
Net profit,264.59,289.55,234.87,241.53,313.59,263.42,300,416.3,327.6,665
Dividend Amount,48.76,53.56,53.84,53.99,63.06,63.11,81.18,113,113.25,203.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1102.5,1153.8,1203.4,1234.6,1197.6,1212.6,1227.2,1240.8,1204.1,1229.7
Expenses,944,989.5,1067.3,1129.2,1062.7,1036.8,997.1,1009.9,996.5,1026.7
Other Income,24.1,72.3,21.3,28.4,25.9,27.2,28.4,36.3,42.1,52.1
Depreciation,47.4,48.1,49,49.2,49.7,35.1,42.3,36.6,31.2,23.7
Interest,8.9,8.9,6.4,7.5,7.6,6.3,6,5.7,6.4,2.8
Profit before tax,126.3,179.6,102,77.1,103.5,161.6,210.2,224.9,212.1,228.6
Tax,33.9,48.8,26.9,20.3,27,42.4,54,51,50.4,55.3
Net profit,91,129.9,75.1,56.8,76.5,119.2,156.2,173.9,161.7,173.3
Operating Profit,158.5,164.3,136.1,105.4,134.9,175.8,230.1,230.9,207.6,203
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,44.33,44.63,44.87,44.99,45.04,45.08,45.1,45.2,45.3,45.3
Reserves,1112.69,1220.48,1426.69,1623.91,1897.32,2044.91,2297.2,2641.7,2930.9,3516.6
Borrowings,175.57,149.29,134.06,9.35,300.36,331.56,349.6,335.3,273,186.5
Other Liabilities,401.91,454.57,500.06,618.17,847,1174,741.5,817.3,871.8,899.4
Total,1734.5,1868.97,2105.68,2296.42,3089.72,3595.55,3433.4,3839.5,4121,4647.8
Net Block,547.35,386.13,446.9,591.68,949.88,1322.67,1132.9,1253.9,1173.5,1034.1
Capital Work in Progress,1.43,1.69,2.63,5.87,11.85,11.37,0.1,1.2,,5.2
Investments,93.93,134.1,242.7,274.63,115.18,278.46,517.3,324.1,898.6,1408.3
Other Assets,1091.79,1347.05,1413.45,1424.24,2012.81,1983.05,1783.1,2260.3,2048.9,2200.2
Total,1734.5,1868.97,2105.68,2296.42,3089.72,3595.55,3433.4,3839.5,4121,4647.8
Receivables,453.88,540.03,533.17,642.26,876.21,665.64,588.8,796.7,729.8,732
Inventory,122.62,125.87,112.67,106,98.46,94.12,,,,
Cash & Bank,197.25,276.94,329.09,206.87,325.88,516.57,698.6,855.9,728,724.1
No. of Equity Shares,44326800,44631428,44873638,44990088,225184920,225416970,225620285,226201471,226465358,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,320.57,254.77,304.4,205.93,156.02,686.22,858,335.7,714.3,642.1
Cash from Investing Activity,-181.95,-40.57,-203.97,-141.69,-228.68,-314.88,-530.2,3.1,-526.7,-475.1
Cash from Financing Activity,-87.44,-129.12,-49.94,-204.04,200.9,-196.79,-466.9,-182.6,-218.6,-197.1
Net Cash Flow,51.18,85.08,50.49,-139.8,128.24,174.55,-139.1,156.2,-31,-30.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,128.62,186.67,185.01,180.25,230.1,88,273.95,366.95,274.35,606.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
