COMPANY NAME,TATA TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,1015.35,,,,,,,,,
Market Capitalization,41187.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,2942.21,2852.06,2380.91,3529.58,4414.18,5117.2
Raw Material Cost,,,,,344.66,367.92,338.3,688.54,682.48,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,12.16,12.42,7.24,7.39,11.17,
Other Mfr. Exp,,,,,412.16,336.92,266.75,139.8,203.21,
Employee Cost,,,,,1390.09,1418.54,1216,1512.69,1929.46,2363.72
Selling and admin,,,,,237.86,218.39,150.01,509.06,750.15,508.36
Other Expenses,,,,,40.42,27.42,16.9,26.43,16.77,1303.84
Other Income,,,,,36.01,36.33,39.42,48.8,87.75,115.55
Depreciation,,,,,68.64,99.15,92.2,85.71,94.55,105.87
Interest,,,,,1.29,15.64,17.66,21.9,17.98,18.91
Profit before tax,,,,,470.94,391.99,315.27,586.86,796.16,932.05
Tax,,,,,118.34,140.42,76.09,149.86,172.12,252.68
Net profit,,,,,352.6,251.57,239.17,436.99,624.04,679.37
Dividend Amount,,,,,63.15,167.2,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,,1123.89,1402.39,1269.17,1289.45,1301.05
Expenses,,,,,,918.14,1159.73,1054.88,1052.89,1061.08
Other Income,,,,,,18.02,47.23,29.85,30.69,24.14
Depreciation,,,,,,23.92,25.02,26.17,27.17,28.96
Interest,,,,,,5.36,4.53,4.69,5.08,4.36
Profit before tax,,,,,,194.49,260.34,213.28,235,230.79
Tax,,,,,,46.11,43.78,52.9,64.78,73.55
Net profit,,,,,,148.38,216.56,160.38,170.22,157.24
Operating Profit,,,,,,205.75,242.66,214.29,236.56,239.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,42.1,41.8,41.81,41.81,81.13,81.13
Reserves,,,,,1714.9,1810.8,2100.35,2238.35,2908.34,3139.69
Borrowings,,,,,,258.19,266.22,261.44,255.36,257.39
Other Liabilities,,,,,511.99,462.19,1164.35,1676.41,1956.65,2100.11
Total,,,,,2268.99,2572.98,3572.73,4218.01,5201.48,5578.32
Net Block,,,,,819.05,1119.26,1089.8,1067.9,1095.33,1150.54
Capital Work in Progress,,,,,25,0.35,0.11,0.26,2.75,
Investments,,,,,38.83,36.05,497.07,527.67,29.78,150.35
Other Assets,,,,,1386.11,1417.32,1985.75,2622.18,4073.62,4277.43
Total,,,,,2268.99,2572.98,3572.73,4218.01,5201.48,5578.32
Receivables,,,,,575.68,723.41,595.75,768.18,1106.22,967.11
Inventory,,,,,0.04,,,,,
Cash & Bank,,,,,383.93,389.01,783.4,869.4,999.2,913.39
No. of Equity Shares,,,,,42093201,41803225,41806975,41806975,405668530,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,369.01,267.38,1112.89,-38.68,401.38,294.33
Cash from Investing Activity,,,,,-19.4,-2.78,-663.56,70.02,-439.95,393.64
Cash from Financing Activity,,,,,-220.87,-261.07,-44.07,-44.41,-346.87,-556.81
Net Cash Flow,,,,,128.74,3.54,405.26,-13.07,-385.44,131.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,1020.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,40.57,40.57
