COMPANY NAME,JAIN IRRIGATION SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,64.35,,,,,,,,,
Market Capitalization,4358.78,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5821.27,6117.21,6280.88,6715.15,7799.67,8536.11,5891.24,5631.17,7078.02,5689.82
Raw Material Cost,3391.04,3561.77,3553.03,3966.84,4339.26,4660.03,3060.41,2943.32,4038.63,3218.6
Change in Inventory,50.19,116.09,64,372.16,144.66,64.15,-255.78,-228.35,135.17,-201.97
Power and Fuel,190.92,204.76,200.13,226.55,230.44,257.1,199.86,173.21,215.52,241.06
Other Mfr. Exp,214.74,264.34,323.47,453.19,641.31,672.92,524.4,433.72,539.56,334.93
Employee Cost,614.26,666.34,667.51,744.03,902.62,979.21,914.48,808.07,840.47,536.13
Selling and admin,1023.82,1173.84,1194.25,1132.8,1234.83,1233.33,920.6,867.47,1069.57,1595.43
Other Expenses,-333.29,-417.02,-413.98,-380.96,-357.7,-127.98,66.31,-171.07,-196.64,-1002.59
Other Income,-183.74,-35.3,34.31,58.83,162.78,275.11,74.95,115.57,610.68,1004.21
Depreciation,204.54,244.06,297.04,301.38,338.59,312.86,346.79,350.93,337.12,235.85
Interest,467.65,469.28,491.01,459.35,478.59,513.74,691.93,746.02,558.04,469.18
Profit before tax,-85.96,30.63,66.73,242.96,299.17,374.16,-1014.37,-633.28,421.6,863.47
Tax,-46.17,-23.91,18.05,66.73,77.89,119.93,-294.93,-230.56,92.96,31.51
Net profit,-39.82,55.39,48.4,169.47,219.34,239.09,-715.14,-395.66,324.88,827.71
Dividend Amount,23.12,23.12,23.82,35.96,51.56,51.56,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1644.59,1613.75,1372.74,1416.16,1081.98,1504.03,1745.41,1701.04,1361.92,1357.77
Expenses,1475.49,1506.28,1299.88,1227.39,974.87,1326.9,1619.51,1485.95,1188.44,1192.71
Other Income,246.02,37.41,325.58,-19.62,-45.34,-41.43,1075.95,3.91,1.88,12.87
Depreciation,83.88,83.5,61.99,58.09,58.28,58.68,60.8,59.01,59.5,59.11
Interest,183.2,187.72,-62.8,109.47,98.44,107.59,153.68,105.23,99.21,107.89
Profit before tax,148.04,-126.34,399.25,1.59,-94.95,-30.57,987.37,54.76,16.65,10.93
Tax,39.88,-54.31,120.19,7.38,-5.29,18.94,10.48,18.12,8.4,2.34
Net profit,106.66,-71.9,277.82,-9.6,-90.7,-48.85,976.84,35.43,8.76,9.84
Operating Profit,169.1,107.47,72.86,188.77,107.11,177.13,125.9,215.09,173.48,165.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,92.48,92.48,95.3,95.89,103.13,103.13,103.13,103.13,122.38,124.79
Reserves,2083.07,2047.42,3968.96,4061.87,4247.92,4309.96,3367.97,2864.72,3479.57,5011.01
Borrowings,4059.85,4230.88,4124.21,4033.48,4453.33,5247.42,7158.86,6973.83,6766.52,3966.51
Other Liabilities,1857.57,1889,2428.27,2815.4,3347.6,3097.49,2388.17,2729.75,2180.12,1878.93
Total,8092.97,8259.78,10616.74,11006.64,12151.98,12758,13018.13,12671.43,12548.59,10981.24
Net Block,2777.14,2760.73,4832.7,4803.15,5284.39,5565.16,5989.26,5576.96,5372.45,4147.26
Capital Work in Progress,80.69,52.59,60.38,64.22,121.56,138.61,55.97,20.97,24.95,31.52
Investments,1.42,62.06,105.73,81.12,84.71,82.83,85.73,88.48,72.72,1143.03
Other Assets,5233.72,5384.4,5617.93,6058.15,6661.32,6971.4,6887.17,6985.02,7078.47,5659.43
Total,8092.97,8259.78,10616.74,11006.64,12151.98,12758,13018.13,12671.43,12548.59,10981.24
Receivables,1799.4,1954.1,2174.27,2282.15,2527.43,2994.82,2815.97,2489.99,2350.13,2186.52
Inventory,1836.39,1856.59,1875,2258.07,2456.53,2483.98,2176.43,2004.56,2234.32,1783.43
Cash & Bank,196.82,304.11,379.51,266.08,418.61,145.49,254.38,465.55,391.05,140.92
No. of Equity Shares,462412800,462414282,476514282,479460357,515660357,515660357,515660357,515660357,611898365,623938988
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,573.84,660.45,440.37,673.81,1312.63,156.35,-674.67,299.04,476.02,44.99
Cash from Investing Activity,-292.02,-227.97,-275.44,-416.91,-1059.67,-346.34,-258.3,302.86,-194.42,3137.76
Cash from Financing Activity,-320.2,-325.48,-89.36,-519.95,-167.16,110.48,1045.64,-434.77,-385.22,-3364.82
