COMPANY NAME,SEQUENT SCIENTIFIC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,116.25,,,,,,,,,
Market Capitalization,2900.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,395,443.22,606.21,683.57,847.84,1039.31,1179.24,1361.62,1412.82,1420.91
Raw Material Cost,220.95,223.01,293.07,366.89,486.44,570.52,600.59,733.68,842.41,814.87
Change in Inventory,9.42,-2.67,-6.76,10.19,23.94,27.5,-4.46,39.03,49.42,-18.9
Power and Fuel,22.06,23.32,26.51,12.77,14.66,23.06,24.73,28.75,33.86,42.45
Other Mfr. Exp,51.91,54.15,67.5,60.32,58.24,81.45,76.49,88.73,85.04,79.91
Employee Cost,44.69,61.11,86.67,106.22,113.83,145.95,165.06,187.22,231.37,258.39
Selling and admin,33.77,42.45,55.11,74.68,94.72,90.93,108.27,115.85,132.65,139.02
Other Expenses,24.72,18.05,14.67,30,20.91,29.97,29.28,34.34,27.45,55.42
Other Income,-53.67,47.9,14.13,8.62,435.72,8.67,10.05,-0.47,10.78,-58.4
Depreciation,29.05,31.75,45.72,40.07,41.34,41.92,50.62,50.6,51.54,55.69
Interest,33.52,42.98,38.15,28.34,33.07,32.8,35.71,24.38,15.77,35.52
Profit before tax,-109.92,-8.37,-13.82,-16.91,444.29,58.88,94.08,136.63,52.93,-137.66
Tax,0.58,3.39,2.57,-0.52,13.46,2,12.03,32.18,8.17,-15.68
Net profit,-110.49,-10.74,-18.47,-13.82,421.57,48.66,69.91,95.44,40.96,-121.16
Dividend Amount,,,,,4.88,4.94,,12.42,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,350.55,358.05,383.71,341.32,337.61,375.31,366.67,333.21,345.97,329.36
Expenses,330.88,321.83,350.36,339.2,334.74,364.96,370.04,341.45,330.84,307.11
Other Income,0.74,3.67,3.77,-2.32,0.91,2.86,-59.86,-22.72,9.72,7.28
Depreciation,13.21,12.83,12.93,13.93,13.38,13.67,14.71,14.24,15.36,15.46
Interest,3.26,3.45,6.04,6.8,8.12,9.73,10.87,10.48,12.58,12.58
Profit before tax,3.94,23.61,18.15,-20.93,-17.72,-10.19,-88.81,-55.68,-3.09,1.49
Tax,-9.87,5.05,8.25,-5.62,-13.28,-0.42,3.64,-21,3.79,-9.19
Net profit,14.3,17.12,8.83,-14.97,-3.75,-8.87,-93.57,-34.85,-8.38,8.27
Operating Profit,19.67,36.22,33.35,2.12,2.87,10.35,-3.37,-8.24,15.13,22.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,26.74,30.49,47.65,48.75,48.75,49.37,49.67,49.67,49.67,49.89
Reserves,19.34,31.98,885,928.04,598.83,657.32,637.43,677.98,642.43,648.89
Borrowings,418.11,473.42,312.25,415.86,304.58,325.07,343.41,276.99,364.9,443.59
Other Liabilities,158.52,371.81,278.05,503.07,379.79,345.79,423.82,380.99,378.2,374.5
Total,622.71,907.7,1522.95,1895.72,1331.95,1377.55,1454.33,1385.63,1435.2,1516.87
Net Block,237.6,474.43,586.48,684.33,475.97,498.14,576.57,535.66,564.44,605.31
Capital Work in Progress,43.04,39.06,23.52,32.55,18.04,22.62,13.42,30.79,11.63,55.28
Investments,0.11,58.62,427.56,428.09,239.08,180.12,171.47,82.59,38.23,0.05
Other Assets,341.96,335.59,485.39,750.75,598.86,676.67,692.87,736.59,820.9,856.23
Total,622.71,907.7,1522.95,1895.72,1331.95,1377.55,1454.33,1385.63,1435.2,1516.87
Receivables,83.54,115.44,192.39,254.62,258.35,278.25,318.76,346.14,329.24,340.96
Inventory,101.4,94.36,135.08,160.81,158.57,200.1,219.42,264.36,347.97,346.09
Cash & Bank,36.21,38.46,25.3,47.4,42.45,72.04,75.83,56.2,59.25,41.75
No. of Equity Shares,27335190,30485190,238236195,243736195,243736195,246870995,248370995,248370995,248370995,249433495
New Bonus Shares,,,,,,,,,,
Face value,10,10,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-44.79,-23.55,-0.05,-7.19,45.24,116.02,115.33,114.75,30.6,16.81
Cash from Investing Activity,-81.25,-156.99,-310.46,-116.18,7.17,-67.7,-72.27,9.65,-94.1,-64.96
Cash from Financing Activity,145.54,179.41,308.7,147.44,-56.96,-20.08,-42.75,-138.75,67.26,32.23
Net Cash Flow,19.51,-1.13,-1.82,24.07,-4.55,28.25,0.31,-14.35,3.75,-15.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,35.29,95.01,138.08,119,71.64,71.8,77.8,240.9,133.8,72.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
