COMPANY NAME,DOMS INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1802.8,,,,,,,,,
Market Capitalization,10923.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,653.99,404.75,683.6,1211.89
Raw Material Cost,,,,,,,399.83,244.01,438.85,768.84
Change in Inventory,,,,,,,11.83,-1.64,6.78,5.48
Power and Fuel,,,,,,,23.95,16.27,23.79,37.39
Other Mfr. Exp,,,,,,,19.68,10.09,11.65,20.19
Employee Cost,,,,,,,95.16,69.63,101.41,141.8
Selling and admin,,,,,,,50.05,41.65,33.62,55.44
Other Expenses,,,,,,,0.81,-3.76,11.34,7.04
Other Income,,,,,,,0.63,5.38,2.62,4.62
Depreciation,,,,,,,25,28.45,38.01,40.65
Interest,,,,,,,4.33,6.71,10.3,11.88
Profit before tax,,,,,,,47.64,-4.56,24.03,138.76
Tax,,,,,,,10.04,-0.79,6.89,35.89
Net profit,,,,,,,36.04,-6.86,14.36,95.81
Dividend Amount,,,,,,,,,5.55,9.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,,2022-12-31 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,,303.73,382.39,371.61
Expenses,,,,,,,,255.15,317.19,302.26
Other Income,,,,,,,,0.94,1.19,2.05
Depreciation,,,,,,,,10.35,11.81,14.03
Interest,,,,,,,,2.87,4.14,4.98
Profit before tax,,,,,,,,36.3,50.44,52.39
Tax,,,,,,,,9.23,12.85,13.57
Net profit,,,,,,,,25.52,36.01,37.34
Operating Profit,,,,,,,,48.58,65.2,69.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,0.37,0.37,0.37,0.37
Reserves,,,,,,,240.44,233.57,246.87,337.06
Borrowings,,,,,,,58.2,97.02,122.94,139.8
Other Liabilities,,,,,,,100.71,70.94,127.28,162.56
Total,,,,,,,399.72,401.9,497.46,639.79
Net Block,,,,,,,196.14,190.71,226.58,320.21
Capital Work in Progress,,,,,,,0.56,3.05,4.01,6.89
Investments,,,,,,,,,,1.5
Other Assets,,,,,,,203.02,208.14,266.87,311.19
Total,,,,,,,399.72,401.9,497.46,639.79
Receivables,,,,,,,36.43,41.92,49.16,35.64
Inventory,,,,,,,127.7,120.78,159.19,184.64
Cash & Bank,,,,,,,4.35,28.83,15.76,41.7
No. of Equity Shares,,,,,,,372518,372518,372518,372518
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,37,8.03,50.94,173.26
Cash from Investing Activity,,,,,,,-55.28,-15.92,-33.73,-135.93
Cash from Financing Activity,,,,,,,17.19,32.38,-30.59,-12.37
Net Cash Flow,,,,,,,-1.09,24.48,-13.37,24.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.04,0.04,0.04,0.04
