COMPANY NAME,ALLCARGO LOGISTICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,67.2,,,,,,,,,
Market Capitalization,6602.38,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4859.43,5628.8,5640.52,5583.36,6049.19,6894.86,7346.24,10498.1,19062.06,18050.77
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,-3.35,-0.53,-0.36
Power and Fuel,76.85,78.02,65.03,32.89,30.26,24.75,27.55,35.29,17.93,20.39
Other Mfr. Exp,3351.21,3883.03,3765.44,3785.04,4316.36,4990.23,5368.24,8075.71,15640.44,14354.83
Employee Cost,729.88,857.57,919.8,943.29,931.46,1071.02,1113.63,1316.4,1615.57,1908.71
Selling and admin,266.87,296.19,328.95,306.46,312.09,312.35,282.66,346.92,438.99,527.36
Other Expenses,38.69,31.95,52.18,42.37,66.77,39.6,39.03,77.34,67.34,98.92
Other Income,36.5,52.61,34.94,45.66,27.37,37.16,96.6,-34.67,274.13,118.72
Depreciation,175.46,157.37,200.63,166.17,159.06,155.93,231.6,306.09,237.57,278.01
Interest,60.94,60.14,46.02,37.38,35.34,36.06,74.69,143.25,96.21,85.57
Profit before tax,196.03,317.14,297.41,315.42,225.22,302.08,305.44,159.08,1221.61,895.34
Tax,41.59,69.96,49.83,77.63,51.26,54.24,71.1,63.97,257.02,242.13
Net profit,149.33,239.89,239.87,231.82,171.35,241.96,223,172.9,925.72,629.59
Dividend Amount,18.91,25.21,50.42,49.14,49.14,86,73.71,49.14,73.71,79.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,4977.86,5599.41,5464.17,5473.76,5054.88,4127.03,3395.1,3271.06,3306.86,3211.59
Expenses,4615.64,5165.42,5074.28,5113.9,4680.71,3880.51,3254.83,3133.87,3188.84,3111.31
Other Income,72.11,74.81,14.53,66.93,36.48,2.55,21.94,131.54,42.85,45.96
Depreciation,88.21,59.6,66.1,64.18,79.93,53.23,80.67,83.14,106.69,104.25
Interest,27.01,20.15,22.48,17.6,19.01,19.82,18.95,24.35,36.7,38.21
Profit before tax,319.11,429.05,315.84,345.01,311.71,176.02,62.59,161.24,17.48,3.78
Tax,55.72,74.21,75.29,84.8,116.24,30.38,10.69,42.3,1.29,-13.58
Net profit,228.01,333.66,246.87,245.55,177.77,144.72,61.56,122.57,21.84,10.95
Operating Profit,362.22,433.99,389.89,359.86,374.17,246.52,140.27,137.19,118.02,100.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,25.21,25.21,50.42,49.14,49.14,49.14,49.14,49.14,49.14,49.14
Reserves,1767.88,1882.55,1685.97,1743.08,1915.24,1949.64,2096.56,2234.4,3112.62,2765.08
Borrowings,992.11,613.33,513.27,589.64,474.13,598.24,1603.34,2065.37,2317.31,1179.5
Other Liabilities,844.64,925.61,817.75,870.31,966.39,1317.35,1551.9,2964.36,4124.93,3237.13
Total,3629.84,3446.7,3067.41,3252.17,3404.9,3914.37,5300.94,7313.27,9604,7230.85
Net Block,2248.53,2061.63,1579,1539.56,1560.38,1596.66,1967.99,3164.56,3491.76,2131.88
Capital Work in Progress,23.59,30.23,50.37,75.32,9.97,165.17,269.25,2.59,2.88,15.4
Investments,190.24,89.37,152.97,290.87,324.94,239.38,509.76,324.06,566.64,581.3
Other Assets,1167.48,1265.47,1285.07,1346.42,1509.61,1913.16,2553.94,3822.06,5542.72,4502.27
Total,3629.84,3446.7,3067.41,3252.17,3404.9,3914.37,5300.94,7313.27,9604,7230.85
Receivables,571.5,647.56,676.67,752.21,838.63,942.15,1150.09,2175.7,3076.26,2038.05
Inventory,11.41,11.67,11.2,10.14,9.58,8.88,7.76,9.85,7.93,3
Cash & Bank,164.69,173.74,194.43,187.3,244.65,240.64,307.96,381.22,644.35,1308.76
No. of Equity Shares,126047762,126047762,252095524,245695524,245695524,245695524,245695524,245695524,245695524,245695524
New Bonus Shares,,,126047762,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,310.72,416.23,440.16,358.52,308.24,324.44,262.59,329.75,850.34,1582.76
Cash from Investing Activity,-417.42,-15.64,-190.51,-285.14,-18.27,-294.51,-997.97,43.89,-563.28,-382.01
Cash from Financing Activity,134.95,-394.29,-200.07,-84.03,-222.34,-74.63,795.14,-316.08,-18.79,-856.62
Net Cash Flow,28.25,6.3,49.58,-10.65,67.63,-44.7,59.76,57.56,268.27,344.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,15,30.74,29.81,32.8,28.68,22.43,11.38,24.04,69.82,69.28
