COMPANY NAME,INDIAN RAILWAY CATERING & TOURISM CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,986.1,,,,,,,,,
Market Capitalization,78860.6,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,1059.13,1366.78,1519.65,1466.09,1870,2264.31,776.66,1878.57,3541.47
Raw Material Cost,,239.46,230.3,210.86,252.82,124.26,138.7,44.89,105.92,196.36
Change in Inventory,,-0.04,-2.53,-0.63,0.4,0.15,0.7,-2.42,0.43,1.32
Power and Fuel,,13.64,14.38,10.19,10.94,14.4,14.4,5.6,10.76,14.95
Other Mfr. Exp,,404.13,688.55,730.22,619.86,818.07,856.26,198.88,399.55,1374.28
Employee Cost,,175,164.64,163.88,192.27,195.21,244.22,206.35,240.49,245.63
Selling and admin,,39.01,48.31,83.17,106.71,276.27,296.43,87.11,207,382.17
Other Expenses,,35.78,27.7,7.15,10.3,58.58,12.33,43.62,41.53,53.13
Other Income,,82.07,138.95,66.55,98.69,126.19,76.88,124.35,71.67,147.58
Depreciation,,20.42,20.54,22.41,23.66,28.64,40.21,46.35,48.99,53.73
Interest,,,0.12,2.62,2.99,2.35,9.76,8.28,11.05,16.11
Profit before tax,,213.72,308.66,355.07,345.63,478.56,729.58,257.51,885.38,1354.01
Tax,,83.09,120.03,125.99,125.02,169.99,216.48,70.49,225.82,348.13
Net profit,,130.63,188.63,229.08,220.62,308.56,513.11,187.03,659.55,1005.88
Dividend Amount,,26.2,75.4,112.96,47.2,302.37,200,80,280,440
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,404.94,540.21,690.96,852.59,805.8,918.06,965.02,1001.79,995.32,1118.3
Expenses,193.43,261.03,412.42,531.65,500.93,592.26,640.41,658.8,628.76,724.33
Other Income,16.12,16.3,21.83,24.42,25.99,32.11,65.11,-12.69,47.07,31.05
Depreciation,11.82,11.75,14.19,13.57,18.57,10.37,11.22,13.69,14,13.9
Interest,2.12,2.18,2.98,2.48,4.83,4.9,3.9,4.13,4.42,4.75
Profit before tax,213.69,281.55,283.2,329.31,307.46,342.64,374.6,312.48,395.21,406.37
Tax,55.12,72.73,69.43,83.78,81.43,87.12,95.81,80.25,100.53,106.36
Net profit,158.57,208.81,213.78,245.52,226.03,255.53,278.8,232.22,294.68,300
Operating Profit,211.51,279.18,278.54,320.94,304.87,325.8,324.61,342.99,366.56,393.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,20,20,40,40,160,160,160,160,160
Reserves,,424.25,522.07,746.56,914.53,911.02,1153.82,1295.81,1710.31,2318.4
Borrowings,,,,,,,,79.46,104.92,84.16
Other Liabilities,,717.86,894.98,1039.89,1364.58,1523.22,1927.67,1617.91,1908.85,2526.19
Total,,1162.11,1437.05,1826.45,2319.11,2594.24,3241.49,3153.18,3884.08,5088.75
Net Block,,155.32,158.61,170.4,189.82,182.25,284.69,311.35,335.42,350.93
Capital Work in Progress,,16.48,14.19,16.83,7.65,40.38,16.21,24.3,26.17,33.79
Investments,,,,,,,,,,
Other Assets,,990.31,1264.25,1639.22,2121.64,2371.61,2940.59,2817.53,3522.49,4704.03
Total,,1162.11,1437.05,1826.45,2319.11,2594.24,3241.49,3153.18,3884.08,5088.75
Receivables,,148.98,162.11,289.4,550.92,587.45,777.93,521.34,571.52,1142.91
Inventory,,9.54,8.26,6.58,7.41,7.89,9.76,6.54,7.93,9.61
Cash & Bank,,354.08,617.88,852.96,833.87,1140.04,1296.43,1460.5,1731.57,1933.73
No. of Equity Shares,,20000000,20000000,40000000,40000000,160000000,160000000,160000000,800000000,800000000
New Bonus Shares,,,,20000000,,120000000,,,,
Face value,,10,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,68.7,287.65,338.24,23.63,499.04,409.07,247.54,523.97,810.12
Cash from Investing Activity,,-45.84,7.1,93.57,40.21,-352.73,8.44,-453.06,-242.39,-315.14
Cash from Financing Activity,,-16.85,-31.45,-135.95,-56.79,-179.4,-280.19,-46.85,-258.41,-434.35
Net Cash Flow,,6.02,263.3,295.86,7.04,-33.09,137.32,-252.37,23.18,60.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,196.51,351.4,774.7,572.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,10,10,20,20,80,80,80,80,80
