COMPANY NAME,JUNIPER HOTELS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,467.1,,,,,,,,,
Market Capitalization,10395.31,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,538.89,166.35,308.69,666.85
Raw Material Cost,,,,,,,51.76,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,44.28,23.73,31.79,47.11
Other Mfr. Exp,,,,,,,22.08,56.41,99.55,184.81
Employee Cost,,,,,,,127.17,58.08,75.64,98.95
Selling and admin,,,,,,,49.87,30.32,33.78,60.44
Other Expenses,,,,,,,73.69,2.11,1.53,3.61
Other Income,,,,,,,11.56,26.5,35.07,50.43
Depreciation,,,,,,,110.1,105.4,99.94,81.52
Interest,,,,,,,206.96,186.21,215.63,266.36
Profit before tax,,,,,,,-135.46,-269.41,-214.1,-25.52
Tax,,,,,,,-56.7,-69.92,-26.07,-24.02
Net profit,,,,,,,-78.76,-199.49,-188.03,-1.5
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,,2022-12-31 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,,178.58,168.46,236.27
Expenses,,,,,,,,106.92,108.26,139.63
Other Income,,,,,,,,18.84,0.05,4.43
Depreciation,,,,,,,,21.02,19.63,26.13
Interest,,,,,,,,66.92,67.98,72.02
Profit before tax,,,,,,,,2.56,-27.36,2.92
Tax,,,,,,,,1.34,-11.71,-0.62
Net profit,,,,,,,,1.22,-15.65,3.54
Operating Profit,,,,,,,,71.66,60.2,96.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,143.7,143.7,143.7,143.7
Reserves,,,,,,,599.59,400.2,212.67,210.81
Borrowings,,,,,,,1717.66,2207.62,2504.26,2444.34
Other Liabilities,,,,,,,657.01,299.66,205.05,217.39
Total,,,,,,,3117.96,3051.18,3065.68,3016.24
Net Block,,,,,,,2556.7,2904.57,2829.55,2738.9
Capital Work in Progress,,,,,,,444.71,,44.23,48.81
Investments,,,,,,,0.91,0.91,0.87,2.36
Other Assets,,,,,,,115.64,145.7,191.03,226.17
Total,,,,,,,3117.96,3051.18,3065.68,3016.24
Receivables,,,,,,,32.7,23.93,29.59,44.76
Inventory,,,,,,,8.75,6.09,6.77,7.57
Cash & Bank,,,,,,,14.2,22.24,14.9,9.84
No. of Equity Shares,,,,,,,143700000,143700000,143700000,143700000
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,224.21,53.58,-36.45,286.44
Cash from Investing Activity,,,,,,,-19.49,-7.8,-63.08,27.7
Cash from Financing Activity,,,,,,,-195.31,-41.49,90.25,-310.8
Net Cash Flow,,,,,,,9.41,4.29,-9.28,3.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,
