COMPANY NAME,TATA CONSUMER PRODUCTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1085.05,,,,,,,,,
Market Capitalization,103429.09,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,7993.39,6636.54,6779.55,6815.35,7251.5,9637.42,11602.03,12425.37,13783.16,15205.85
Raw Material Cost,3416.05,3601.49,3165.65,3746.11,4022.05,5402.9,6367.79,6323.22,7107.06,8685.51
Change in Inventory,51.25,-20.11,0.69,46.8,14.41,-7.78,149.54,39.78,273.88,121.6
Power and Fuel,84.78,81.26,83.19,87.07,89.28,103.84,97.36,123.9,149.43,
Other Mfr. Exp,691.21,190.32,597.61,194.69,209.59,238.47,941.75,1139.59,1578.2,
Employee Cost,857.67,805.06,834.95,821.37,806.3,884.8,970.23,1048,1120.36,1258.59
Selling and admin,1919.35,922.88,926.92,857.64,968.23,1278.16,1421.46,1691.83,1785.26,
Other Expenses,283.38,649.51,380.79,316.36,384.55,429.32,409.22,419.83,460.26,3099.25
Other Income,-77.36,37.54,88.4,73.02,123.84,-163.2,90.73,88,328.33,-81.42
Depreciation,133.1,116.79,126.04,116.04,122.57,241.71,254.74,278.01,304.08,377.15
Interest,81.86,116.9,91.53,42.76,52.47,77.86,68.69,72.78,87.16,129.81
Profit before tax,499.88,169.76,661.96,753.13,734.71,809.38,1311.06,1455.99,1793.56,1695.72
Tax,215.52,200.01,198.31,185.87,260.88,274.19,317.27,377.04,447.04,394.73
Net profit,247.82,-5.52,389.44,495.56,408.19,459.76,856.69,935.78,1203.77,1150.33
Dividend Amount,13.91,142,148.31,148.31,157.78,248.83,373.25,557.57,785,738.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3208.38,3175.41,3326.83,3363.05,3474.55,3618.73,3741.21,3733.78,3803.92,3926.94
Expenses,2746.72,2731.08,2869.53,2929.21,3020.89,3107.06,3196.18,3196.69,3231.54,3297.34
Other Income,11.86,28.74,11.37,140.53,127.5,48.93,52.59,75.28,-31.94,-177.35
Depreciation,69.8,72.11,72.92,73.14,75.16,82.86,81.95,93.93,85.51,115.76
Interest,16.16,16.41,16.27,19.55,23.68,27.66,26.23,27.56,33.19,42.83
Profit before tax,387.56,384.55,379.48,481.68,482.32,450.08,489.44,490.88,421.74,293.66
Tax,99.88,95.32,102.97,126.7,112.87,104.5,130.87,131.7,106.21,25.95
Net profit,265.05,217.54,255.46,327.96,351.76,268.59,316.59,338.24,278.87,216.63
Operating Profit,461.66,444.33,457.3,433.84,453.66,511.67,545.03,537.09,572.38,629.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,61.84,63.11,63.11,63.11,63.11,92.16,92.16,92.16,92.9,95.28
Reserves,5430.95,6184.06,6202.39,6968.49,7268.58,13722.7,14442.35,15049.78,16183.81,15961.51
Borrowings,1324.02,1354.05,786.56,1067.58,1141.1,1586.32,1633.55,1412.01,1600.04,3477.22
Other Liabilities,2640.77,2293.54,2499.35,2361.58,2407.89,3071.86,4049.76,4520.92,4885.74,8486.93
Total,9457.58,9894.76,9551.41,10460.76,10880.68,18473.04,20217.82,21074.87,22762.49,28020.94
Net Block,4921.69,4661.8,4572.59,4798.18,4913.31,11656.04,12023.13,12599.35,13070.04,19376.11
Capital Work in Progress,47.17,39.42,63.19,135.16,424.41,95.35,112.85,246.97,294.9,171.39
Investments,622.02,1365.94,1451.04,1161.33,1187.66,1322.85,805.89,797.28,1432.97,870.55
Other Assets,3866.7,3827.6,3464.59,4366.09,4355.3,5398.8,7275.95,7431.27,7964.58,7602.89
Total,9457.58,9894.76,9551.41,10460.76,10880.68,18473.04,20217.82,21074.87,22762.49,28020.94
Receivables,616.09,592.43,592.45,648.28,680.55,922.41,761.32,835.15,798.33,896.75
Inventory,1625.3,1629.01,1452.96,1448.31,1608.54,1712.03,2249.16,2266.51,2701.67,2769.35
Cash & Bank,544.24,501.03,574.82,1238.14,1033.61,1621.46,3074.88,2599.89,2796.94,2454.49
No. of Equity Shares,618398570,631129729,631129729,631129729,631129729,921551715,921551715,921551715,929011650,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,417.81,115.98,741.2,355.58,209.87,1082.23,1656.37,1515.81,1461.29,1936.68
Cash from Investing Activity,-207.05,144.62,145.05,-31.1,53.17,-622.04,-346.5,-1317.11,-833.61,-1930.92
Cash from Financing Activity,-392.38,-281.8,-815.84,-30.39,-223.73,-308.33,-426.03,-994.77,-714.4,255.55
Net Cash Flow,-181.62,-21.2,70.41,294.09,39.31,151.86,883.84,-796.07,-86.72,261.31
