COMPANY NAME,HINDUSTAN ZINC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,456.15,,,,,,,,,
Market Capitalization,192595.07,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,14788.39,14181,17273,22082,21118,18561,22629,29440,34098,28934
Raw Material Cost,520.75,51,362,,,,,,,
Change in Inventory,145.45,-184,676,-498,64,291,-239,278,143,156
Power and Fuel,1168.48,1404,1060,1653,1758,1704,1732,2452,3711,2843
Other Mfr. Exp,3041.04,2916,3206,3654,4513,4612,4766,5793,6825,
Employee Cost,842.5,805,723,777,906,690,761,718,845,826
Selling and admin,1720.95,2012,2647,3019,2998,2675,3122,4114,4815,3517
Other Expenses,190.17,551,212,211,337,301,337,415,524,8243
Other Income,2787.87,3127,2474,1956,1782,1911,1819,1082,1373,1103
Depreciation,644.19,745,1811,1483,1883,2279,2531,2917,3264,3466
Interest,23.51,17,202,246,113,112,386,290,333,955
Profit before tax,9570.12,8623,10200,12497,10456,8390,10574,14101,15297,10343
Tax,1392.12,448,1884,3221,2500,1585,2594,4471,4777,2556
Net profit,8178,8175,8316,9276,7956,6805,7980,9630,10520,7787
Dividend Amount,1859.13,11745.5,12421.5,3380,8450,6971.25,8999.25,7605,31898.75,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,7990,8797,9387,8336,7866,8509,7282,6792,7310,7550
Expenses,3620,3834,4249,3928,4159,4250,3934,3653,3790,3896
Other Income,279,277,310,367,349,356,287,231,305,280
Depreciation,741,816,731,798,807,928,801,825,904,936
Interest,50,66,44,51,62,176,218,232,243,262
Profit before tax,3858,4358,4673,3926,3187,3511,2616,2313,2678,2736
Tax,1157,1429,1580,1245,1030,922,646,576,640,694
Net profit,2701,2929,3093,2681,2157,2589,1970,1737,2038,2042
Operating Profit,4370,4963,5138,4408,3707,4259,3348,3139,3520,3654
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,845.06,845,845,845,845,845,845,845,845,845
Reserves,42508.01,36540,29960,35087,32760,39465,31468,33437,12097,14388
Borrowings,,,7908,,2538,611,7201,2844,11881,8722
Other Liabilities,5638.93,15810,13082,7000,6315,6054,6213,7545,10631,9949
Total,48992,53195,51795,42932,42458,46975,45727,44671,35454,33904
Net Block,9446.17,10385,9993,11302,14778,16469,16808,17396,17620,18055
Capital Work in Progress,2004.71,2428,3071,3220,2254,2489,1922,2075,2107,1529
Investments,27253.59,35221,23783,20222,19488,20329,12957,15052,10107,10452
Other Assets,10287.53,5161,14948,8188,5938,7688,14040,10148,5620,3868
Total,48992,53195,51795,42932,42458,46975,45727,44671,35454,33904
Receivables,658.82,107,136,184,196,379,406,716,380,161
Inventory,1211.75,1058,1936,1379,1544,1835,1425,1953,1862,1924
Cash & Bank,3531.51,53,8380,1964,23,1918,9376,5763,1412,173
No. of Equity Shares,4225319000,4225319000,4225319000,4225319000,4225319000,4225319000,4225319000,4225319000,4225319000,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,5530.7,6451,7588,9800,8781,6621,10567,12691,15133,13343
Cash from Investing Activity,-3806.96,-3236,12007,2396,-1092,-2648,-2435,846,6558,-3405
Cash from Financing Activity,-1902.01,-3214,-11266,-18612,-9630,-2098,-9697,-12258,-23224,-9946
Net Cash Flow,-178.27,1,8329,-6416,-1941,1875,-1565,1279,-1533,-8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,162.15,183.6,288.8,300.55,276.85,155.4,272.9,310.15,293.35,292.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,422.53,422.53,422.53,422.53,422.53,422.53,422.53,422.53,422.53,422.53
