COMPANY NAME,TCNS CLOTHING CO. LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,427.35,,,,,,,,,
Market Capitalization,2693.48,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,146.53,300.96,485.38,700.93,997.05,1147.95,1148.67,635.54,896.05,1201.59
Raw Material Cost,,99.26,144.36,181.01,370.39,435.16,460,228.48,386.55,525.95
Change in Inventory,,27.86,40.54,48.63,27.94,45.25,57.67,-43.9,76.99,125.52
Power and Fuel,,2.07,3.8,5.34,6.5,7.91,8.06,4.99,6.47,10.9
Other Mfr. Exp,,63,93.9,141.44,107.02,127.3,46.57,26.14,29.08,35.43
Employee Cost,,35.42,157.62,153.44,123.61,143.77,157.59,121.39,150.24,186.73
Selling and admin,,77.17,127.4,184.11,256.49,295.42,334.83,191.61,304.35,434.49
Other Expenses,132.83,0.83,2.09,6.08,4.59,6.82,13.03,16.59,6.7,8
Other Income,,0.99,1.44,0.1,5.78,7.52,21.14,48.99,34.69,16.01
Depreciation,3.11,6.23,8.87,13.41,16.67,22.21,103.15,91.91,94.38,120.82
Interest,,4.88,2.95,2.47,0.67,0.51,38.19,36.45,37.17,52.02
Profit before tax,10.59,40.95,-13.63,62.36,144.83,161.62,66.06,-76.93,-7.21,-31.22
Tax,3.76,14.68,27.86,46.57,46.73,30.19,-3.35,-20.56,-1.49,-13.67
Net profit,6.84,26.28,-41.5,15.8,98.1,131.44,69.41,-56.38,-5.73,-17.55
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,239.29,328.52,234.42,276.39,350.51,306.14,268.56,244.07,225.67,278.5
Expenses,209.07,265.49,214.65,245.08,304.37,266.43,260.09,254.35,352.84,288.25
Other Income,14.87,4.69,12.16,6.63,1.78,3.8,3.8,4.69,1.82,1.95
Depreciation,22.1,22.92,28.73,25.66,27.11,29.42,38.64,29.48,32.83,31.04
Interest,8.88,9.49,10.82,9.69,10.76,13.37,18.21,14.21,19.01,17.96
Profit before tax,14.11,35.31,-7.62,2.59,10.05,0.72,-44.58,-49.28,-177.19,-56.8
Tax,3.04,10.25,-1.82,0.16,2.42,0.21,-16.45,-12.3,-40.85,-5.18
Net profit,11.07,25.06,-5.81,2.44,7.64,0.5,-28.12,-36.98,-136.34,-51.62
Operating Profit,30.22,63.03,19.77,31.31,46.14,39.71,8.47,-10.28,-127.17,-9.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,9.17,9.17,9.17,11.12,11.27,12.27,12.3,12.31,12.32,12.35
Reserves,67.83,100.02,39.15,270.8,420.2,606.3,647.71,599.68,607.54,599.36
Borrowings,30.84,39.81,38.24,8.82,0.27,0.22,361.95,330.45,413.34,546.81
Other Liabilities,31.47,65.39,222.23,135.07,165.18,167.1,175.62,131.7,227.51,327.76
Total,139.31,214.39,308.79,425.81,596.92,785.89,1197.58,1074.14,1260.71,1486.28
Net Block,8.64,21.07,39.29,46.88,51.86,59.23,351.73,301.48,403.28,519.51
Capital Work in Progress,,0.09,0.22,3.3,8.12,0.28,2.12,0.51,1.62,0.12
Investments,0.3,0.9,1.32,1.72,2.08,137.75,118.08,172.37,145.59,2.13
Other Assets,130.37,192.33,267.96,373.91,534.86,588.63,725.65,599.78,710.22,964.52
Total,139.31,214.39,308.79,425.81,596.92,785.89,1197.58,1074.14,1260.71,1486.28
Receivables,57.89,65.2,64.15,99.7,157.05,180.73,175.62,164.84,173.81,258.24
Inventory,49.86,89.19,137.14,194.03,223.94,274.08,330.19,278.05,360.89,494.24
Cash & Bank,7.88,6.87,10.33,13.24,49.08,23.09,53.22,14.93,10.7,22.89
No. of Equity Shares,91739060,91739060,91739060,111240799,56370398,61323124,61474874,61522499,61612674,61612674
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,5.48,,,,41.46,89.95,130.96,113.34,103.67,-0.05
Cash from Investing Activity,-4.75,,,,-27.74,-143.38,-2.53,-55.58,1.56,108.6
Cash from Financing Activity,-0.74,,,,21.01,38.3,-97.06,-96.05,-109.47,-96.35
Net Cash Flow,-0.01,,,,34.72,-15.13,31.38,-38.3,-4.24,12.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,820.5,328.6,506.8,766.3,420.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,9.17,9.17,9.17,11.12,5.64,6.13,6.15,6.15,6.16,6.17
