COMPANY NAME,INDIAN OIL CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,156.6,,,,,,,,,
Market Capitalization,221070.84,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,449506.76,346044.74,355379,421491.82,528157.5,483763.03,363949.67,589321.2,841755.91,776351.85
Raw Material Cost,389529.56,281445.34,290251.45,335384.05,445642.35,420543.85,281284.15,500663.88,753964.7,637567.82
Change in Inventory,-9854.11,-3578.2,15092.13,-1462.35,3545.59,5414.35,6181.61,13710.98,6329.71,-1231.34
Power and Fuel,6543.6,4967.59,4283.71,5184.8,6742.21,5647.81,4796.61,7999.14,8332.18,
Other Mfr. Exp,19480.72,16506.74,18258.85,20290.84,22257.57,24939.61,9333.49,25093.52,27299.27,
Employee Cost,7662.49,7501.8,10262.76,10680.7,11596.28,9336.93,11308.78,11582.92,9359.14,11670.94
Selling and admin,9035.93,5194.97,4069.69,5271.23,5986,5258.33,19667.75,20418.98,27329.86,
Other Expenses,-3174.58,4811.94,9195.58,1559.89,4216.98,7397.58,3811.83,-10484.21,-8945.01,50290.98
Other Income,5859.59,5219.2,4355.72,4331.03,4097.06,-7164.93,4696.27,4332.32,5061.11,5388.78
Depreciation,5219.01,5698.39,6805.92,7663.54,8506.45,10273.39,10941.45,12347.58,13181.05,15866.11
Interest,4201.16,3487.21,3743.09,3875.23,4925.41,5791.96,2932.76,5454.07,7587.85,7825.65
Profit before tax,7014.35,18071.76,27955.8,34450.22,25926.9,-7177.01,30750.73,34288.62,15037.69,57287.79
Tax,2142.57,5658.44,7570.4,11823.87,8653.05,-5300.69,8988.51,8562.02,3333.43,14126.64
Net profit,4912.02,12022.45,19849.49,22189.45,17376.7,-893.14,21638.21,25102.23,9792.12,41729.69
Dividend Amount,1602.45,3317.54,9004.75,19905.25,8492.46,3901.94,11017.25,11568.11,4131.47,16945.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,165335.49,175292.02,223410.98,208757.34,205715.32,203872.27,198550.77,179245.67,199905.65,198649.76
Expenses,154565.41,161019.39,217995.89,205477.04,201411.07,186235.7,174834.44,155917.28,183330.04,186679.32
Other Income,1477.07,717.21,994.34,1030.68,1731.32,1367.55,953.76,829.02,1915.94,1690.06
Depreciation,3112.02,3291.94,3158.32,3283.16,3451.42,3288.15,3476.5,3609.62,4686.24,4093.75
Interest,1119.07,1806.48,1907.5,1554.43,2122.07,1957.36,1743.48,2135.03,1800.03,2147.11
Profit before tax,8016.06,9891.42,1343.61,-526.61,462.08,13758.61,19450.11,18412.76,12005.28,7419.64
Tax,1754.66,2802.24,460.65,383.6,-428.2,2917.38,4714.81,4699.68,2780.43,1931.72
Net profit,6143.08,6645.72,-279.38,-991.55,773.23,10289.82,14436.96,13114.3,9029.56,5148.87
Operating Profit,10770.08,14272.63,5415.09,3280.3,4304.25,17636.57,23716.33,23328.39,16575.61,11970.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,2427.95,2369.67,4739.34,9478.69,9181.04,9181.04,9181.04,9181.04,13771.56,13771.56
Reserves,66404.32,87609.94,97356.76,104395.13,103288.2,86216.87,102657.01,124354.14,125948.68,169644.71
Borrowings,64892.9,58551.5,63270.62,65650.26,96765.04,129790.33,116649.06,132019.59,148977.08,132627.56
Other Liabilities,100157.92,83184.13,108351.95,116335.88,126128.23,104773.47,126657.98,145327.19,153341.64,166318.17
Total,233883.09,231715.24,273718.67,295859.96,335362.51,329961.71,355145.09,410881.96,442038.96,482362
Net Block,72843.98,95760.58,112030.69,119937.01,127223.21,141593.9,151286.93,154419.72,173665.32,199713.35
Capital Work in Progress,40378.07,26218.99,16778.4,19130.38,28280.74,32844.84,36290.54,47469.27,51133.47,57316.86
Investments,16068.68,31184.79,43687.24,44806.05,44112.25,35570.87,44716.82,52351.96,52190.46,65541.9
Other Assets,104592.36,78550.88,101222.34,111986.52,135746.31,119952.1,122850.8,156641.01,165049.71,159789.89
Total,233883.09,231715.24,273718.67,295859.96,335362.51,329961.71,355145.09,410881.96,442038.96,482362
Receivables,7648.35,7684.5,9017.41,10696.48,15807.53,13259.48,13782.16,18700.42,16271.21,13831.45
Inventory,50105.11,42416.53,65881.69,70752.16,77332.17,67235.64,83656.63,111993.62,121384.45,121375.83
Cash & Bank,1224.89,1050.36,409.75,496.31,1060.97,2295.98,2474.68,1820.14,2096.64,3158.79
No. of Equity Shares,2427952482,2427952482,4855904964,9711809928,9414158922,9414158922,9414158922,9414158922,14121238383,
New Bonus Shares,,,,4855904964,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
