COMPANY NAME,BAJAJ CONSUMER CARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,241,,,,,,,,,
Market Capitalization,3437.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,817.25,799.72,796.56,828.49,918.48,852.21,921.81,879.96,960.87,984.12
Raw Material Cost,198.31,304.3,257.59,271.97,309.5,286.11,317.73,377.22,437.27,448.68
Change in Inventory,-0.27,6.33,-11.51,2.49,6.03,12.58,-11.99,8.45,-2.65,6.19
Power and Fuel,0.83,0.85,0.98,1.7,1.63,1.49,1.17,1.06,1.22,
Other Mfr. Exp,123.03,5.93,5.85,10.56,8.03,15.23,28.92,25.79,26.18,
Employee Cost,39.05,47.54,61.39,77.07,97.17,86.92,84.97,88.26,89.19,101.16
Selling and admin,224.9,173.7,184.84,202.8,220.32,254.1,222.57,211.08,249.63,
Other Expenses,-8.38,0.01,10.81,12.95,13.47,15.81,11.02,11.09,13.52,285.18
Other Income,-15.43,-18.31,21.01,24.43,17.01,29.91,34.55,38.64,37.07,44.67
Depreciation,4.87,4.9,5.32,7.38,7.09,5.81,6.25,5.07,8.52,9.91
Interest,0.13,0.23,1.03,1.23,1.17,4.25,1.38,1.01,0.97,1.01
Profit before tax,218.81,250.28,278.25,269.75,283.14,224.98,270.36,206.47,168.79,189.04
Tax,46.15,53.85,60,58.67,61.55,40.22,47.23,36.84,29.57,33.61
Net profit,172.66,196.44,218.24,211.08,221.59,184.77,223.13,169.64,139.22,155.43
Dividend Amount,169.62,169.62,169.62,177,206.5,29.5,147.5,118,71.3,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,228.82,218.24,249.44,232.45,229.56,249.42,270.17,234.85,239.15,239.96
Expenses,190.15,183.52,213.01,201.81,197.11,207.72,222.31,198.16,203.11,205.25
Other Income,9.52,10.66,6.72,9.87,10.37,10.1,10.57,11.4,11.02,11.68
Depreciation,1.3,1.35,2.07,1.83,2.23,2.38,2.32,2.45,2.53,2.61
Interest,0.04,0.11,0.15,0.32,0.28,0.22,0.3,0.25,0.24,0.22
Profit before tax,46.85,43.92,40.93,38.36,40.31,49.2,55.81,45.39,44.29,43.56
Tax,8.45,8.09,7.04,6.7,7.1,8.73,9.58,8.1,7.94,7.97
Net profit,38.4,35.82,33.89,31.66,33.2,40.46,46.22,37.28,36.35,35.58
Operating Profit,38.67,34.72,36.43,30.64,32.45,41.7,47.86,36.69,36.04,34.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.26,14.28
Reserves,473.81,466.31,479.44,477.71,452.61,638.42,742.35,794.88,775.41,816.3
Borrowings,,10,15,13.49,25,20,5,,9.28,8.75
Other Liabilities,79.36,75.17,80.5,101.56,112.99,141.43,131.57,121.83,125.46,144.25
Total,567.92,566.23,589.69,607.51,605.35,814.6,893.67,931.46,924.41,983.58
Net Block,184.68,139.31,161.55,158.49,154.42,151.01,148.58,151.81,160.49,158.41
Capital Work in Progress,0.74,0.85,0.03,14.87,22.47,26.6,25.23,27.53,27.66,27.8
Investments,183.66,275.06,338.54,307.39,250.88,446.3,584.55,611.64,575.04,585.63
Other Assets,198.84,151.01,89.57,126.76,177.58,190.69,135.31,140.48,161.22,211.74
Total,567.92,566.23,589.69,607.51,605.35,814.6,893.67,931.46,924.41,983.58
Receivables,13.26,25.35,27.43,32.44,37.38,25.54,22.45,19.13,30.44,43.99
Inventory,39.27,50.19,42.48,46.64,60.92,62.96,43.17,57.09,51.28,56.22
Cash & Bank,134.18,60.28,12.31,13.36,14.32,12.63,9.59,14.45,19.13,44.35
No. of Equity Shares,147500000,147500000,147500000,147500000,147500000,147500000,147540000,147540000,142642000,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,206.68,192.89,211.99,180.1,176.38,179.03,237.13,128.55,101.45,
Cash from Investing Activity,-19.27,6.02,-15.34,36.72,68.23,-173.04,-106.24,0.41,63.56,
Cash from Financing Activity,-203.54,-194.31,-199.98,-215.55,-238.43,-9.06,-134.24,-123.91,-162.58,
Net Cash Flow,-16.13,4.6,-3.32,1.27,6.19,-3.06,-3.35,5.06,2.44,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,458.1,385.9,395,472.05,308.9,132.45,259.9,163.3,151.95,212.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.46,14.28
