COMPANY NAME,RITES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,637.4,,,,,,,,,
Market Capitalization,15300.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1096.49,1012.69,1217.82,1351.46,1497.45,2047.45,2474.41,1905.3,2661.83,2628.27
Raw Material Cost,237.88,77.25,,,112.79,222.54,248.61,332.61,478.01,98.66
Change in Inventory,,,,,-40.36,95.85,-94.77,279.03,-150.83,-88.67
Power and Fuel,3.98,3.76,4.67,4.64,4.69,4.46,4.74,4.09,4.02,4.46
Other Mfr. Exp,170.36,168.94,204.43,336.05,150.92,705.57,797.91,709.1,615.37,1002.93
Employee Cost,270.73,324.48,341.8,417.12,459.18,487.36,521.26,483.34,517.39,508.77
Selling and admin,87.12,69.1,298.24,193.37,202.07,88.78,84.34,62.89,88.87,109.3
Other Expenses,46.42,20.68,21.43,53.69,100.65,56.23,59.33,39.81,78.04,56.32
Other Income,126.96,147.45,208.45,209.87,153.51,200.39,267.75,100.78,84.15,102.69
Depreciation,20.35,26.15,36.99,38.26,36.34,38.39,47.27,51.87,65.61,66.69
Interest,1.68,1.53,1.2,13.69,25.33,10.31,9.58,8.85,12.74,21.24
Profit before tax,384.93,468.25,517.51,504.51,518.63,730.05,874.35,592.55,735.1,773.92
Tax,124.4,156.03,177.34,167.49,162.04,240.28,241.09,148.34,196.52,202.95
Net profit,260.54,312.21,338.64,328.38,342.48,469.51,616.1,432.38,516.37,542.04
Dividend Amount,53,62,136,151.4,110,255,400,312.39,408.51,492.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,765.56,775.2,766.02,605.04,659.08,677.34,686.81,544.35,582.36,682.89
Expenses,539.38,579.78,561.55,426.04,478.01,484.24,495.55,383.09,444.52,513.98
Other Income,23.38,16.45,22.6,32.18,25.22,27,18.82,18.28,27.93,18.77
Depreciation,13.52,14.57,24.45,14.64,16.9,18.52,16.63,16.07,14.06,14.96
Interest,1.64,2.81,1.95,1.42,1.11,2.19,2.32,0.92,1.43,1.88
Profit before tax,234.4,194.49,200.67,195.12,188.28,199.39,191.13,162.55,150.28,170.84
Tax,59.91,50.62,58.31,50.42,48.08,52.21,52.24,42.97,40.11,42.06
Net profit,168.97,138.66,136.75,137.52,132.42,140.09,132.01,108.01,101.15,120.14
Operating Profit,226.18,195.42,204.47,179,181.07,193.1,191.26,161.26,137.84,168.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,100,100,100,200,200,200,250,240.3,240.3,240.3
Reserves,1325.13,1576.16,1706.65,1837.92,2013.61,2222.1,2383.27,2151.67,2248.34,2363.48
Borrowings,,,173.39,83.43,55.32,47.6,47.47,36.55,27.59,5.42
Other Liabilities,2211.12,1929.25,2531.28,2678.05,2900.95,2956.26,3262.4,3408.21,3326.21,3381.36
Total,3636.25,3605.41,4511.32,4799.4,5169.88,5425.96,5943.14,5836.73,5842.44,5990.56
Net Block,198.32,211.83,476.28,406.45,402.17,477.96,590.48,584.49,559.89,552.47
Capital Work in Progress,19.73,26.4,34.44,4.86,1.96,3.91,4.45,15.49,58.11,100.54
Investments,227.93,225.85,220.04,327.92,132.81,141.28,260.6,288.87,204.8,129.85
Other Assets,3190.27,3141.33,3780.56,4060.17,4632.94,4802.81,5087.61,4947.88,5019.64,5207.7
Total,3636.25,3605.41,4511.32,4799.4,5169.88,5425.96,5943.14,5836.73,5842.44,5990.56
Receivables,325.76,380.76,536.89,461.5,467.7,609.52,843.74,584.37,740.03,906.98
Inventory,17.49,6.68,49.43,50.42,9.38,104.93,19.23,289.6,138.72,49.14
Cash & Bank,2118.07,2059.8,2553.38,2887.18,3595.74,3506.02,3613.09,3357.1,3299.33,3448.51
No. of Equity Shares,100000000,100000000,100000000,200000000,200000000,200000000,250000000,240301887,240301887,240301887
New Bonus Shares,,,,100000000,,,50000000,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,-88.52,463.14,555.14,410.04,163.58,317,515.7,309.63,559.82
Cash from Investing Activity,,290.95,-519.51,-56.15,-453.56,138.8,49.97,194.42,61.82,-12.35
Cash from Financing Activity,,-37.84,38.76,-214.92,-217.41,-278.82,-419.03,-708.28,-376.17,-308.02
Net Cash Flow,,164.59,-17.61,284.07,-260.93,23.56,-52.06,1.84,-4.72,239.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,207.96,246.1,240.8,262.5,354.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,12.5,12.5,12.5,25,25,25,25,24.03,24.03,24.03
