COMPANY NAME,VENKY'S (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1758.7,,,,,,,,,
Market Capitalization,2480.96,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1736.12,1730.81,2126.96,2475.58,2686.21,3043.14,3261.02,3116.63,4400.29,4233.68
Raw Material Cost,1377.48,1299.45,1627.98,1799.25,1873.04,2238.16,2643.25,2356.63,3567.72,3482.52
Change in Inventory,14.04,13.47,7.72,11.69,22.04,36.8,-73.86,119.04,-17.82,-3.42
Power and Fuel,53.11,54.85,62.92,67.53,75.69,83.48,90.84,79.55,97.87,111.08
Other Mfr. Exp,63.46,65.33,31.25,34.63,40.17,47.29,45.51,84.23,112.5,128.98
Employee Cost,95.18,119.55,128.44,145.87,170.74,194.49,219.87,210.03,230.72,254.86
Selling and admin,55.39,58.75,96.61,108.99,105.93,139.52,144.22,59.1,67.55,75.24
Other Expenses,38.67,46.69,50.2,53.2,54.99,68.03,64.51,57.2,59.96,65.83
Other Income,40.14,34.39,32.1,33.66,27.27,28.45,35.11,35.65,34.5,37.49
Depreciation,19.24,32.15,29.88,28.5,28.13,29.35,34.25,35.43,36.57,35.46
Interest,42.6,74.19,85.45,77.07,49.87,31.55,29.52,28.48,17.58,18.48
Profit before tax,45.17,27.71,54.05,205.89,336.96,276.52,-49.7,360.67,226.5,95.3
Tax,11.12,9.02,15.82,81.15,137.24,102.39,-22.54,92.92,61.72,24.81
Net profit,34.04,18.7,38.23,124.74,199.71,174.14,-27.16,267.74,164.78,70.48
Dividend Amount,4.7,4.7,7.04,8.45,11.27,11.27,,23.95,18.32,8.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,987.76,1098.5,1229.35,1196.44,959.03,1035.75,1042.47,976.44,912.6,953.17
Expenses,940.85,1066.36,1143.17,1125.17,980.21,1008.27,1008.47,945.51,862.99,960.38
Other Income,8.03,10.36,9.67,8.14,7.61,7.89,14.03,9.19,9.42,9.79
Depreciation,9.12,9.04,9.25,8.88,8.83,8.87,8.88,8.8,8.69,8.52
Interest,4.43,4.37,4.37,4.44,4.6,4.48,4.96,4.68,4.53,4.54
Profit before tax,41.39,29.09,82.23,66.09,-27,22.02,34.19,26.64,45.81,-10.48
Tax,10.71,7.46,24.86,16.81,-6.44,5.49,8.96,7.23,11.72,-2.54
Net profit,30.68,21.63,57.37,49.28,-20.56,16.53,25.23,19.41,34.09,-7.94
Operating Profit,46.91,32.14,86.18,71.27,-21.18,27.48,34,30.93,49.61,-7.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,9.39,9.39,14.09,14.09,14.09,14.09,14.09,14.09,14.09,14.09
Reserves,358.41,362.03,404.88,516.95,707.07,867.4,822.17,1090.33,1234.74,1284.52
Borrowings,625.67,761.97,745.55,544.8,350.42,267.62,309.76,185.82,198.52,190.63
Other Liabilities,230.93,287.01,339.58,284.6,359.61,408.21,451.29,499.42,499.2,525.64
Total,1224.4,1420.4,1504.1,1360.44,1431.19,1557.32,1597.31,1789.66,1946.55,2014.88
Net Block,434.89,476.1,473.34,467.92,471.85,501.04,571.06,617.94,602.61,592.23
Capital Work in Progress,33.96,9.2,7.31,8.34,17.43,66.43,52.75,10.24,14.4,33.72
Investments,52.08,61.53,1.69,2,,6.15,7.03,45.16,69.8,90.33
Other Assets,703.47,873.57,1021.76,882.18,941.91,983.7,966.47,1116.32,1259.74,1298.6
Total,1224.4,1420.4,1504.1,1360.44,1431.19,1557.32,1597.31,1789.66,1946.55,2014.88
Receivables,166.95,229.53,311.42,264.29,295.43,305.55,448.43,390.34,638.37,656.31
Inventory,198.76,210.83,102.38,114.81,162.2,208.84,111.31,218.15,184.64,196.38
Cash & Bank,175.64,187.98,203.49,177.31,153.65,153.9,152.35,205.82,155.93,184.14
No. of Equity Shares,9391557,9391557,14087336,14087336,14087336,14087336,14087336,14087336,14087336,14087336
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-55.7,59.22,78.17,211.28,255.92,158.91,58.16,242.17,5.03,86.11
Cash from Investing Activity,-220.53,-112.84,51.21,57.12,-29.29,-38.27,-53.03,-45.94,-18.65,-26.55
Cash from Financing Activity,252.5,52.43,-111.78,-280.36,-244.83,-120.42,-9.27,-148.06,-33.88,-45.03
Net Cash Flow,-23.73,-1.19,17.6,-11.96,-18.2,0.22,-4.14,48.16,-47.5,14.53
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
