COMPANY NAME,SRF LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2291.35,,,,,,,,,
Market Capitalization,67937.28,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4539.85,4592.72,4821.8,5589.04,7099.59,7209.41,8400.04,12433.66,14870.25,13138.52
Raw Material Cost,2574.71,2309.61,2440.24,3063.1,4041.16,3778.79,4090.6,6346.69,7402.43,6814.16
Change in Inventory,32.75,-20.96,21.43,31.1,74.03,91.82,71.66,279.75,8.92,105.38
Power and Fuel,434.15,398.07,417.8,500.79,585.09,672.55,717.34,1135.56,1472.25,1344.81
Other Mfr. Exp,192.7,197.52,210.06,266.84,275.41,315.13,324.12,406.3,440.42,
Employee Cost,356.32,386.62,433.99,474.23,461,542.18,621.69,780.66,814.21,935.03
Selling and admin,209.85,220.2,272.75,335.3,374.09,389.98,438.07,737.57,835.69,
Other Expenses,87.41,96.98,99,73.64,139.87,147.66,146.55,203.43,384.97,1565.79
Other Income,64.58,27.6,73.01,115.12,78.02,152.24,66.04,115.51,74.93,83.02
Depreciation,245.03,274.96,283.44,315.8,358.17,388.61,453.08,517.23,575.32,672.62
Interest,137.58,130.46,101.77,123.89,198.37,200.68,133.95,115.93,204.82,302.29
Profit before tax,399.43,584.94,657.19,581.67,818.48,1017.89,1612.34,2585.55,2823.99,1692.22
Tax,96.62,155.05,142.2,119.96,176.85,-1.2,414.4,696.63,661.65,356.51
Net profit,302.81,429.89,514.99,461.71,641.63,1019.09,1197.94,1888.92,2162.34,1335.71
Dividend Amount,58.44,58.44,70.13,70.13,70.2,81.9,144.62,498.21,214.16,213.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3345.87,3549.42,3894.72,3727.78,3469.66,3778.09,3338.38,3177.36,3053.04,3569.74
Expenses,2464.46,2601.42,2899.75,2958.67,2636.14,2846.49,2642.13,2551.15,2487.21,2873.92
Other Income,10.67,7.23,9.85,32.74,10.01,22.33,11.76,29.12,18.75,23.39
Depreciation,132.39,131.6,130.73,139.3,150.65,154.64,156.61,161.23,168.89,185.89
Interest,29.41,35.69,32.5,44.47,61.95,65.9,65.63,79.29,67.37,90
Profit before tax,730.28,787.94,841.59,618.08,630.93,733.39,485.77,414.81,348.32,443.32
Tax,224.74,182.29,233.59,137.09,120.03,170.94,126.48,114.03,94.89,21.11
Net profit,505.54,605.65,608,480.99,510.9,562.45,359.29,300.78,253.43,422.21
Operating Profit,881.41,948,994.97,769.11,833.52,931.6,696.25,626.21,565.83,695.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,58.44,58.44,58.44,58.44,58.5,58.5,60.26,297.44,297.44,297.44
Reserves,2237.9,2704.54,3124.22,3506.09,4070.77,4874.82,6796.16,8267.92,10029.61,11181.58
Borrowings,2434.89,2515.25,2396.21,3141.84,3730.19,4134.51,3468.59,3655.19,4477.53,5030.54
Other Liabilities,1151.9,1145.71,1389.46,1656.64,2028.44,1794.67,2586.26,3544.46,3931.29,3972.38
Total,5883.13,6423.94,6968.33,8363.01,9887.9,10862.5,12911.27,15765.01,18735.87,20481.94
Net Block,3922.33,4112.52,4404.91,5121.59,5609.39,6367.59,7826.96,8425.29,10049.8,13241.62
Capital Work in Progress,104.12,117.44,258.58,558.81,753.61,1393.29,772.26,1671.63,2405.54,805.33
Investments,94.27,164.93,195.88,121.82,100.6,202.66,416.68,320.9,494.21,526.7
Other Assets,1762.41,2029.05,2108.96,2560.79,3424.3,2898.96,3895.37,5347.19,5786.32,5908.29
Total,5883.13,6423.94,6968.33,8363.01,9887.9,10862.5,12911.27,15765.01,18735.87,20481.94
Receivables,610.66,514.48,656.89,680.65,1028.75,891.07,1274.56,1792.45,1785.62,1942.82
Inventory,763.5,671.05,838.14,958.18,1224.74,1201.23,1465.82,2138.47,2274.29,2326.47
Cash & Bank,107.3,389.23,96.12,96.74,198.88,125.47,282,459.35,616.46,407.54
No. of Equity Shares,58435600,58440500,58440500,58440500,58500500,58500500,60265205,297441025,297444825,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,542.35,1090.05,645.44,677.98,895.64,1304.44,1771.68,2105.72,2901.71,2093.86
Cash from Investing Activity,-499.79,-666.74,-613.25,-1173.74,-1038.87,-1178.56,-1498.72,-1586.25,-2963.79,-2227.33
Cash from Financing Activity,-18.1,-182.49,-284.44,495.14,245.77,-198.99,-251.11,-207.28,219.58,-71.7
Net Cash Flow,24.46,240.82,-252.25,-0.62,102.54,-73.11,21.85,312.19,157.5,-205.17
,,,,,,,,,,
,,,,,,,,,,
