COMPANY NAME,ADANI POWER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,612.8,,,,,,,,,
Market Capitalization,236904.02,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,18683.21,25377.33,22615.51,20304.28,23884.18,26467.72,26221.48,27711.18,38773.3,50351.25
Raw Material Cost,,,,,,,,,,222.26
Change in Inventory,,,,,,,,,,
Power and Fuel,11619.13,14745.14,14630.49,12535.25,15952.45,17580.39,14781.15,14762.21,25480.85,28452.64
Other Mfr. Exp,1120.2,1025.25,1260.02,1551.86,1680.59,1864.95,1838.18,2066.68,1718.27,
Employee Cost,320.17,378.89,361.01,353.9,363.47,427.04,431.89,470.72,570.46,643.7
Selling and admin,511.23,509.04,307.25,225.3,222.73,454.63,281.14,233.67,443.65,
Other Expenses,434.73,-83.12,76.7,202.04,681.53,407.07,200.96,296.49,463.73,2851.95
Other Income,1188.34,-201.37,-3666.12,754.1,2447.87,322.76,1908.56,3908.04,4215.54,9930.23
Depreciation,1818.19,2665.82,2672.36,2698.72,2750.62,3006.5,3201.65,3117.54,3303.68,3931.33
Interest,4863.53,5560.22,5901.73,5570.23,5656.52,5314.82,5106.33,4094.78,3333.5,3388.09
Profit before tax,-815.63,374.72,-6260.17,-2078.92,-975.86,-2264.92,2288.74,6577.13,7674.7,20791.51
Tax,,-176.08,-86.07,-5.15,8.54,9.85,1018.76,1665.55,-3051.94,-37.28
Net profit,-815.63,550.8,-6174.1,-2102.95,-984.4,-2274.77,1269.98,4911.58,10726.64,20828.79
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,5360.88,10597.78,13723.06,7043.77,7764.41,10242.06,11005.54,12990.58,12991.44,13363.69
Expenses,3590.11,5365.71,8003.32,6095.99,6294.68,8334.65,7491.31,7819.19,8346.1,8513.95
Other Income,232.7,2710.14,1785.94,1402.22,525.8,553.26,7103.47,1945.1,363.83,517.83
Depreciation,784.36,773.88,816.05,833.03,837.65,816.95,934.59,1004.48,1002.23,990.03
Interest,1014.77,1035.34,823.43,818.09,945.98,746,883.49,888.44,796.56,819.6
Profit before tax,204.34,6132.99,5866.2,698.88,211.9,897.72,8799.62,5223.57,3210.38,3557.94
Tax,-14.15,1487.52,1086.34,3.35,203.13,-4344.76,40.2,-1370.6,472.42,820.7
Net profit,218.49,4645.47,4779.86,695.53,8.77,5242.48,8759.42,6594.17,2737.96,2737.24
Operating Profit,1770.77,5232.07,5719.74,947.78,1469.73,1907.41,3514.23,5171.39,4645.34,4849.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,2871.92,3333.94,3856.94,3856.94,3856.94,3856.94,3856.94,3856.94,3856.94,3856.94
Reserves,2852.7,4133.92,-857.38,-2967.61,3855.35,2623.5,9255.65,14599.95,25772.17,39288.09
Borrowings,44741.97,52729.32,52484.37,52834.81,46979.7,55122.55,52430.34,48744,42180.58,34615.56
Other Liabilities,8007.63,15597.03,16027.12,15803.93,13292.61,13422.01,13262.98,14780.13,14011.58,14564.18
Total,58474.22,75794.21,71511.05,69528.07,67984.6,75025,78805.91,81981.02,85821.27,92324.77
Net Block,45079.68,56941.22,54390.93,52137.14,50418.76,55845.81,52851.3,53274.21,51451.38,63015.85
Capital Work in Progress,191.34,87.92,124.61,119.86,350.08,2346.77,6439.42,10269.74,12879.54,925.12
Investments,357.3,0.06,164.33,0.01,2.72,2.8,20.1,183.25,654.05,373.51
Other Assets,12845.9,18765.01,16831.18,17271.06,17213.04,16829.62,19495.09,18253.82,20836.3,28010.29
Total,58474.22,75794.21,71511.05,69528.07,67984.6,75025,78805.91,81981.02,85821.27,92324.77
Receivables,3489.54,12476.6,7704.34,6069.81,8550.99,8366.47,11839.28,9560.92,11529.36,11677.48
Inventory,1629.05,1619.2,1760.41,873.98,1224.08,2522.77,2025.11,2258.27,3075.2,4142.1
Cash & Bank,856.25,868.7,604.17,856.61,915.88,1979.31,1607.32,2364.68,1873.65,7211.76
No. of Equity Shares,2871922100,3333938941,3856938941,3856938941,3856938941,3856938941,3856938941,3856938941,3856938941,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,5823.52,5257.21,4725.2,5101.15,5610.38,5597.55,7014.35,10232.73,8430.53,14170.15
Cash from Investing Activity,-4737.06,-2692.11,-1212.04,-520.43,-984.02,-2303.81,-2187.57,774.46,1544.79,3485.03
Cash from Financing Activity,-1143.98,-2712.95,-3538.93,-4600.11,-4663.44,-2377.18,-5654.84,-10337.86,-10408.46,-16864.03
