COMPANY NAME,TVS HOLDINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,9720.6,,,,,,,,,
Market Capitalization,19695.28,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,11339.71,12464.2,13498.2,17511.74,21547.89,19858.74,20298.73,25590.65,33564.21,40247.58
Raw Material Cost,7837.89,8373.72,9305.36,11732.69,14554.07,12623.9,13253.25,17008.64,21674.09,25210.32
Change in Inventory,114.65,-54.35,34.87,15.5,85.19,-42.64,25.96,333.71,151.76,344.81
Power and Fuel,201.39,192.09,197.2,246.76,262.04,204.73,178.21,234.29,262.47,
Other Mfr. Exp,240.22,256.29,284.54,323.87,315.96,291.65,235.62,290.82,348.76,
Employee Cost,842.09,937.93,1041.73,1404.47,1713.41,1761.02,1879.05,2330.16,3168.98,3538.73
Selling and admin,1167.96,1247.64,1236.41,1600.8,1300.27,1289.76,1054.04,1275.54,1485.59,
Other Expenses,447.47,443.66,463.44,679.85,1144.65,1232.78,1336.32,1793.11,2567.42,6013.06
Other Income,98.2,102.05,171.02,120.53,27.52,-8.46,37.91,22.11,214.97,29.37
Depreciation,238.41,317.14,377.45,446.68,533.9,648.65,642.74,844.58,985.82,1029.99
Interest,98.99,102.27,88.16,371.92,718.56,909.94,929.11,985.13,1424.49,2043.24
Profit before tax,478.14,641.16,709.8,840.73,1117.74,845.21,854.26,1184.2,2013.32,2786.42
Tax,137.24,168.76,162.73,211.95,367.97,218.65,262.17,359.71,680.15,1004.04
Net profit,212.12,291.86,330.2,338.13,432.14,337.12,323.68,440.74,649.65,800.39
Dividend Amount,38.46,82.98,63.76,30.36,72.86,62.74,52.62,89.06,119.42,190.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,6915.62,6901.63,7666.37,8962.55,8475.43,8522.97,9468.18,10473.28,10014.08,10124.63
Expenses,6106.03,6002,6713.64,7827.04,7439.04,7375.83,8232.5,9123.69,8474.03,8587.08
Other Income,30.67,24.1,47.41,37.05,31.1,36.3,116.48,144.76,6.86,9.15
Depreciation,215.09,234.49,222.43,237.8,250.45,275.14,264.6,251.54,244.04,269.81
Interest,245.37,274.6,302.22,350.01,353.84,418.42,476.85,516.87,515.62,533.9
Profit before tax,379.8,414.64,475.49,584.75,463.2,489.88,610.71,725.94,787.25,742.99
Tax,126.59,106.64,149.49,190.47,174.34,165.85,201.3,268.63,254.98,279.13
Net profit,127.32,163.5,160,212.26,123.83,153.56,196.44,227.92,224.28,232.23
Operating Profit,809.59,899.63,952.73,1135.51,1036.39,1147.14,1235.68,1349.59,1540.05,1537.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12
Reserves,1278.45,1512.67,1856.89,2141.32,2463.67,2453.34,2894.47,5069.12,3230.87,2829.95
Borrowings,1497.32,1460.57,1665.03,7593.05,10021.76,12314.13,12853.29,16592.55,25789.19,26232.48
Other Liabilities,2739.58,3233.02,3785.02,5016.49,5674.28,5834.51,7550.76,8662.22,10093.12,15654.2
Total,5525.47,6216.38,7317.06,14760.98,18169.83,20612.1,23308.64,30334.01,39123.3,44726.75
Net Block,2040.35,2468.11,2851.47,3627.16,4030.05,4459.61,4850.34,6339.33,6931.43,6324.92
Capital Work in Progress,102.25,69.02,100.68,395.72,755.62,1017.06,1050.25,560.46,821.27,334.33
Investments,601.32,1054.93,1332.59,607.43,617.76,472.11,672.9,644.15,1022.16,1203.6
Other Assets,2781.55,2624.32,3032.32,10130.67,12766.4,14663.32,16735.15,22790.07,30348.44,36863.9
Total,5525.47,6216.38,7317.06,14760.98,18169.83,20612.1,23308.64,30334.01,39123.3,44726.75
Receivables,576.85,645.77,845.44,1312.7,1725.25,1590.42,1206.55,1367.01,1464.64,1855.4
Inventory,1216.67,1118.56,1396.71,1417,1622.87,1459.47,1668.3,2013.42,2332.08,4035.41
Cash & Bank,30,56.55,52.97,174.99,209.67,1160.13,1705.82,3934.17,3928.65,3170.04
No. of Equity Shares,20232085,20232085,20232085,20232085,20232085,20232085,20232085,20232085,20232085,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,138.15,1074.88,838.39,324.45,-709.96,458.17,1214.61,-1548.12,-4110.64,
Cash from Investing Activity,-461.26,-715.05,-817.57,-1379.41,-1323.95,-1054.76,-979.25,-1705.08,-1439.33,
Cash from Financing Activity,178.92,-373.12,-60.96,1197.81,2084.59,1795.36,260.69,3115.79,5978.59,
