COMPANY NAME,SUN PHARMA ADVANCED RESEARCH COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,212.15,,,,,,,,,
Market Capitalization,6880.04,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,167.03,155.74,161.28,181.02,78.26,182.87,76.81,252.96,137.25,238.78
Raw Material Cost,8.01,10.1,18.87,25.16,26.81,12.53,23.93,18.18,18.27,22.11
Change in Inventory,,,,,,,,,,
Power and Fuel,3.95,4.78,4.49,4.67,4.93,5.08,5.14,4.6,4.62,5.75
Other Mfr. Exp,8.44,119.18,127.48,144.88,126.22,157.99,10.59,17.93,17.06,23.4
Employee Cost,40.4,45.79,56.6,84.3,100.92,81.06,93.09,91.59,98.31,107
Selling and admin,71.45,8.04,11.96,39.64,59.94,68.7,247.28,252.17,183.33,288.9
Other Expenses,1.26,2.92,4.94,4.91,2.03,8.81,6.79,3.47,2.4,5.57
Other Income,9.98,3.01,2.81,13.56,53.9,13.51,9.76,5.41,6.84,10.77
Depreciation,3.57,7.24,7.58,8.24,8.18,7.55,9.48,10.92,10.16,11.77
Interest,5.6,0.22,2.16,1.82,0.12,0.09,2.67,10.65,13.33,7.63
Profit before tax,34.33,-39.52,-69.99,-119.04,-196.99,-145.43,-312.4,-151.14,-203.39,-222.58
Tax,4,,,,,,,,,
Net profit,30.32,-39.52,-69.99,-119.04,-197,-145.43,-312.4,-151.14,-203.4,-222.58
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,27.87,62.15,25.24,28.46,31.54,131.09,47.69,23.95,21.18,13.86
Expenses,82.54,73.42,91.78,106.66,94.14,114.91,137.26,126.13,112.65,116.48
Other Income,5.48,0.34,0.22,0.18,0.06,0.03,10.73,10.19,8.49,6.39
Depreciation,2.54,2.58,2.51,2.7,3,3.13,2.94,3.1,3.18,3.16
Interest,3.41,2.33,2.22,1.63,2.86,2.93,0.21,0.26,0.26,0.26
Profit before tax,-55.14,-15.84,-71.05,-82.35,-68.4,10.15,-81.99,-95.35,-86.42,-99.65
Tax,,,,,,,,,,
Net profit,-55.14,-15.84,-71.05,-82.35,-68.4,10.15,-81.99,-95.35,-86.42,-99.65
Operating Profit,-54.67,-11.27,-66.54,-78.2,-62.6,16.18,-89.57,-102.18,-91.47,-102.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,23.67,23.67,23.67,24.69,25.09,26.21,26.21,26.21,27.19,32.45
Reserves,115.63,76.13,8.13,133.47,159.63,270.03,-44.84,-194.46,-230.22,480.32
Borrowings,5.18,4.22,55.75,3.14,2.28,1.64,66.92,236.38,79.21,15.67
Other Liabilities,39.06,38.65,75.11,111.25,121.81,100.6,224.27,161.56,403.9,301.69
Total,183.54,142.67,162.66,272.55,308.81,398.48,272.56,229.69,280.08,830.13
Net Block,64.49,66.79,69.96,69.16,51.74,57.56,103.86,90.56,91.87,105.75
Capital Work in Progress,0.76,0.02,0.87,1.47,3.27,24.13,32.07,5.23,26.37,27
Investments,6.5,,,9.65,107.57,210.58,8.49,6.43,11.66,290.9
Other Assets,111.79,75.86,91.83,192.27,146.23,106.21,128.14,127.47,150.18,406.48
Total,183.54,142.67,162.66,272.55,308.81,398.48,272.56,229.69,280.08,830.13
Receivables,28,19.89,9.16,38.9,17.56,10.17,16.05,17.58,27.74,32.71
Inventory,,,,,,,,,,
Cash & Bank,6.56,17.34,12.75,70.31,1.32,0.68,0.46,9.31,1.23,111.58
No. of Equity Shares,236704447,236704447,236704447,246895977,250936395,262048506,262047506,262047506,271878966,324521588
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,36.9,-41.17,-44.21,-128.04,-182.77,-171.91,-210.81,-151.9,-208.23,-69.12
Cash from Investing Activity,43.62,53.05,-12.97,-6.63,-104.62,-102.19,155.35,1.56,-29.17,-548.28
Cash from Financing Activity,-80.84,-1.26,50.55,194.25,224.02,274.25,55.46,159.28,229.32,616.76
Net Cash Flow,-0.32,10.62,-6.63,59.58,-63.38,0.15,,8.95,-8.08,-0.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,144.67,488.72,287,316.45,377.35,191.1,96.45,142.15,296.95,179.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,24.69,24.69,24.69,24.69,25.09,26.2,26.2,26.2,27.19,32.45
