COMPANY NAME,THOMAS COOK (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,199.3,,,,,,,,,
Market Capitalization,9408.04,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1287.03,3244.28,6093.93,8762.42,11248.34,6603.25,6832.56,795,1888.25,5047.67
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,6.99,15.6,24.9,40.13,47.68,33.23,32.15,15.79,21.75,30.84
Other Mfr. Exp,39.88,111.19,1979.11,3607.14,4682.83,5124.14,5185.63,391.64,1242.47,3660.45
Employee Cost,951.79,2577.98,3378.8,4144.84,5303.93,774.04,938.08,495.14,583.61,771.34
Selling and admin,129.17,269.68,481.14,584.81,738.82,521.57,484.68,174.08,202.74,312.58
Other Expenses,11.95,26.87,45.57,47.65,103.09,67.3,85.01,70.34,24.76,94.62
Other Income,6.24,40.67,-30.75,84.47,6004.57,167.52,75.97,145.79,55.12,62.17
Depreciation,17.55,41.43,60.59,91.49,136.72,67.23,150.58,148.05,128.67,124.03
Interest,33.68,71.21,92.14,132.22,149,72.97,101.03,62.21,61.58,89.14
Profit before tax,102.26,170.99,0.93,198.61,6090.84,110.29,-68.63,-416.46,-322.21,26.84
Tax,33.54,58.65,59.45,112.51,-40.55,21.45,-50.99,-121.26,-68.31,16.48
Net profit,62.22,90.15,-77.89,43.42,5968.01,84.82,-0.69,-254.11,-229.2,6.46
Dividend Amount,0.09,13.64,13.72,13.76,13.88,13.9,,,,18.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,330.07,748.09,522.06,976.17,1221.93,1536.34,1313.22,1898.98,1843.42,1893.1
Expenses,412.5,737.16,529.56,939.95,1180.29,1472.43,1277.09,1775.01,1740.55,1776.64
Other Income,21.25,2.16,3.74,11.61,13.14,26.04,10.72,32.87,27.92,47.71
Depreciation,32.73,33.06,30.76,30.48,31.38,32.31,29.87,30.17,31.46,33.19
Interest,16.08,16.48,17.25,19.65,18.52,27.81,23.16,25.85,22.73,24.16
Profit before tax,-109.99,-36.45,-51.77,-2.3,4.88,29.83,-6.18,100.82,76.6,106.82
Tax,-24.72,-12.08,-0.48,3.53,4.89,3.48,4.57,28.29,24.15,17.17
Net profit,-74.12,-23.15,-48.5,-5.87,0.82,18.53,-7.02,72.9,47.08,82.39
Operating Profit,-82.43,10.93,-7.5,36.22,41.64,63.91,36.13,123.97,102.87,116.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,24.77,27.27,36.59,36.68,37.02,37.07,37.83,37.83,44.23,47.04
Reserves,663.45,1302.05,1211.07,1949.62,8634.39,8856.35,1626.64,1891.41,1650.98,1666.31
Borrowings,181.25,375.66,1042.01,1403.75,424.71,361.05,761.73,612.14,598.13,538.73
Other Liabilities,653.56,1420.95,2609.11,3574.73,3000.26,3753.49,3066.2,2194.32,2321.37,3404.44
Total,1523.03,3125.93,4898.78,6964.78,12096.38,13007.96,5492.4,4735.7,4614.71,5656.52
Net Block,474.99,1200.23,1903.06,2842.85,1722.8,2403.29,2707.27,2628.35,2579.58,2576.13
Capital Work in Progress,4.79,96.73,52.63,56.02,13.41,7.33,11.9,5.89,13.61,26.39
Investments,208.1,339.57,133.55,219.32,7398.25,7416.99,100.14,130.31,129.17,106.23
Other Assets,835.15,1489.4,2809.54,3846.59,2961.92,3180.35,2673.09,1971.15,1892.35,2947.77
Total,1523.03,3125.93,4898.78,6964.78,12096.38,13007.96,5492.4,4735.7,4614.71,5656.52
Receivables,330.09,644.94,827.7,1001.36,857.42,829.28,474.14,128.38,235.29,567.5
Inventory,0.44,3.03,3.68,8.89,1.09,15.79,22.98,17.6,21.58,30.15
Cash & Bank,159.58,277.73,983.92,1379.01,1092.63,1034.17,1060.82,847.22,547.63,761.08
No. of Equity Shares,247680897,272730827,365880229,366760000,370210000,370730000,378280000,378280000,442280000,470380000
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,219.03,131.43,383.25,272.67,-244.23,252.81,120.32,-581.12,-138.93,648.67
Cash from Investing Activity,-366.23,-607.45,-165.31,-253.29,-457.92,-263.17,-183.93,350.66,-123.49,-179.34
Cash from Financing Activity,88.37,565.08,548.47,161.45,476.74,-167.26,-170.48,335.32,-84.75,-230.31
Net Cash Flow,-58.83,89.07,766.41,180.83,-225.41,-177.62,-234.09,104.85,-347.17,239.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,38.74,95.86,86.59,107.1,130,118.09,23.8,49.1,68.6,56.15
