COMPANY NAME,INDIAN HOTELS CO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,550.65,,,,,,,,,
Market Capitalization,78360.44,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4188.64,4023.02,4020.57,4103.55,4512,4463.14,1575.16,3056.22,5809.91,6768.75
Raw Material Cost,443.09,366.93,363.95,376.44,404.05,370.56,143.82,257.23,472.89,520.83
Change in Inventory,,,,,,,,,,
Power and Fuel,320.43,275.43,258.61,259.11,273.57,269.87,172.85,224.79,303.09,
Other Mfr. Exp,630.77,483.2,607.05,603.49,677.4,808.11,360.13,574.32,1035.4,
Employee Cost,1463.92,1426.85,1368.61,1351.39,1474.19,1498.67,896.13,1153.4,1588.69,1805.21
Selling and admin,702.28,791.18,681.21,704.89,723.09,426.21,263.68,331.02,483.04,
Other Expenses,201.21,67.2,131.52,137.11,129.97,122.19,100.31,110.71,122.24,2285.58
Other Income,-192.56,-42.99,44.16,83.41,89.96,173.37,324.67,170.78,142.19,182.92
Depreciation,291.29,284.82,299.37,301.2,327.85,404.24,409.63,406.05,416.06,454.3
Interest,175.57,375.59,323.83,269.04,190.13,341.12,402.82,427.66,236.05,220.22
Profit before tax,-232.48,-91.17,30.58,184.29,401.71,395.54,-849.54,-258.18,1294.64,1665.53
Tax,114.6,90.63,113.74,121.06,157.12,44.77,-155.33,-35.78,323.21,463.94
Net profit,-378.1,-231.08,-63.2,100.87,286.82,354.42,-720.11,-247.72,1002.59,1259.07
Dividend Amount,,29.68,34.63,47.57,59.46,59.46,47.57,56.82,142.04,249.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1111.22,872.08,1266.07,1232.61,1685.8,1625.43,1466.37,1433.2,1963.84,1905.34
Expenses,789.47,713.1,888.19,938.63,1088.59,1089.94,1056.2,1078.42,1231.46,1245.54
Other Income,12.46,99.16,17.99,37.3,57.81,29.09,49.33,47.67,39.8,46.12
Depreciation,99.87,101.88,102.58,102.57,103.31,107.6,109.05,111.21,114.31,119.73
Interest,124.89,79.18,62.35,60,56.72,56.98,56.51,59.05,53.16,51.5
Profit before tax,109.45,77.08,230.94,168.71,494.99,400,293.94,232.19,604.71,534.69
Tax,23.17,-2.64,64.81,44.33,116.07,98,83.34,72.28,166.72,141.6
Net profit,76.01,74.19,170.05,121.56,382.71,328.27,222.44,166.92,451.95,417.76
Operating Profit,321.75,158.98,377.88,293.98,597.21,535.49,410.17,354.78,732.38,659.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,80.75,98.93,98.93,118.93,118.93,118.93,118.93,142.04,142.04,142.34
Reserves,2146.47,2481.32,2418.76,4062.17,4229.07,4237.88,3529.51,6920.21,7839.92,9314.31
Borrowings,5074.48,4526.09,3382.98,2427.43,2325.98,4500.78,5518.33,3887.87,3139.01,2736.23
Other Liabilities,2582.18,2691.04,2698.4,2705.87,2840.34,2584.17,2267.89,2051.92,2391.07,2662.95
Total,9883.88,9797.38,8599.07,9314.4,9514.32,11441.76,11434.66,13002.04,13512.04,14855.83
Net Block,6299.19,6761.62,5815.39,6162.63,6422.25,8058.85,8437.7,8415.34,8818.53,9335.87
Capital Work in Progress,305.73,289.97,222.67,196.98,116.18,244.08,164.99,193.54,332.05,230.99
Investments,1586.9,1515.24,1243.71,1511.42,1335.14,1426.59,1483.17,1966.8,1891.04,2261.2
Other Assets,1692.06,1230.55,1317.3,1443.37,1640.75,1712.24,1348.8,2426.36,2470.42,3027.77
Total,9883.88,9797.38,8599.07,9314.4,9514.32,11441.76,11434.66,13002.04,13512.04,14855.83
Receivables,299.82,241.98,272.06,328.56,321.38,290.02,219.84,255.34,446.45,476.46
Inventory,102.96,80.24,80.44,85.72,80.4,93.61,92.88,100.83,109.21,116.44
Cash & Bank,503.57,182.55,247.06,270.32,240.94,315.58,153.63,1187.81,1053.43,1485.5
No. of Equity Shares,807472787,989274015,989274015,1189258445,1189258445,1189258445,1189258445,1420457199,1420400342,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,494.77,618.75,534.51,492.05,711.43,823.47,-318.69,671.63,1618.99,1935.14
Cash from Investing Activity,-726.13,340.86,848.32,-521.24,-386.72,-496.56,-118.23,-1641.15,-138.28,-1210.01
Cash from Financing Activity,491.05,-1196.46,-1381.36,95.72,-343.26,-265.38,280.37,1658.78,-1527.85,-984.65
Net Cash Flow,259.69,-236.85,1.47,66.53,-18.55,61.53,-156.55,689.26,-47.14,-259.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
