COMPANY NAME,ALEMBIC PHARMACEUTICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1001.35,,,,,,,,,
Market Capitalization,19721.16,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2018.99,3009.02,2985.9,2945.26,3660.27,4132.55,5066.89,5035.41,5149,5874.06
Raw Material Cost,787.11,907.65,934.18,928.91,1080.49,1222.39,1464.67,1482.36,1587.29,1852.71
Change in Inventory,72.89,95.94,47.9,36.18,80.42,176.5,160.65,-19.85,-72.84,52.36
Power and Fuel,43.29,58.84,64.13,70.21,88.44,97.43,118.31,120.5,151.19,
Other Mfr. Exp,67.02,214.46,220.99,201.31,233.95,291.44,344.44,324.1,357.21,
Employee Cost,296.57,453.32,527.46,582.72,684.45,806.37,976.13,1062.3,1094.82,1335.91
Selling and admin,476.81,485.97,631.72,568.99,762.72,661,848.55,1088.67,1173,
Other Expenses,13.26,2.01,22.1,-3.23,11.97,27.52,26.07,28.82,47.76,1739.28
Other Income,2.6,6.82,2.6,6.67,6.42,124.75,83.9,51.14,2.99,31.32
Depreciation,44.41,71.86,82.9,101.76,105.59,135.67,182.55,284.92,272.95,271.14
Interest,3.14,3.68,3.21,2.22,14.87,25.19,12.98,17.02,49,54.47
Profit before tax,362.87,913.99,549.71,535.22,764.63,1166.79,1337.74,658.01,345.93,704.23
Tax,76.25,215.28,119.08,113.23,153.42,197.39,241.2,114.46,-0.8,37.75
Net profit,286.61,698.71,430.63,421.99,611.21,969.4,1096.54,543.55,346.73,666.48
Dividend Amount,65.98,75.4,75.4,75.4,103.68,188.5,275.17,196.55,157.24,216.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1237.95,1317.67,1177.25,1354.42,1310.21,1307.12,1332.27,1478.84,1588.39,1474.55
Expenses,978.91,1151.68,1151.63,1109.13,1085.98,1137.94,1166.54,1271.38,1251.25,1186.36
Other Income,15.32,11.77,0.54,0.47,0.58,1.96,11.84,8.95,3.3,7.22
Depreciation,55.71,122.1,66.76,66.8,65.85,73.54,65.75,67.18,69.08,69.12
Interest,4.39,6.01,8.79,11.96,14.65,13.59,14.29,15.39,14.66,10.13
Profit before tax,214.26,49.65,-49.39,167,144.31,84.01,97.53,133.84,256.7,216.16
Tax,37.46,8.13,,20.56,25.18,-46.53,,,23.46,14.29
Net profit,176.8,41.52,-49.39,146.44,119.13,130.54,97.53,133.84,233.24,201.87
Operating Profit,259.04,165.99,25.62,245.29,224.23,169.18,165.73,207.46,337.14,288.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,37.7,37.7,37.7,37.7,37.7,37.7,39.31,39.31,39.31,39.31
Reserves,795.86,1493.04,1829.62,2156.94,2674.71,3308.31,5062.5,5251.03,4374.98,4869.6
Borrowings,193.61,,8.28,621.53,1059.28,1687.03,583.61,706.12,709.93,491.99
Other Liabilities,483.99,650.99,633.53,861.72,777.37,845.73,958.05,1077.58,1006.2,997.65
Total,1511.16,2181.73,2509.13,3677.89,4549.06,5878.77,6643.47,7074.04,6130.42,6398.55
Net Block,488.68,697.25,799.01,918.3,1085.44,1276.46,1773.82,1771.1,2377.45,2535.66
Capital Work in Progress,83.14,92.34,347.75,740.64,1106.89,1569.98,2182.53,2304.23,601.28,524.36
Investments,33.33,37.46,103.04,298.89,506.39,833.25,343.09,219.36,229.27,226.68
Other Assets,906.01,1354.68,1259.33,1720.06,1850.34,2199.08,2344.03,2779.35,2922.42,3111.85
Total,1511.16,2181.73,2509.13,3677.89,4549.06,5878.77,6643.47,7074.04,6130.42,6398.55
Receivables,337.94,371.5,467.41,621.66,539.78,784.11,421.86,988.33,1201.2,1340.12
Inventory,382.48,533.72,574.62,669.93,891.41,1073.18,1341.96,1396.83,1275.13,1353.07
Cash & Bank,4.41,284.81,7.21,15.63,150.8,37.13,61.44,21.9,28.46,26.49
No. of Equity Shares,188515914,188515914,188515914,188515914,188515914,188515914,196563124,196563124,196563124,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,180.08,847.52,327.16,304.55,808.79,539.75,1388.48,545.26,730.25,
Cash from Investing Activity,-198.51,-291.9,-510.97,-793.58,-753.66,-821.91,-836.65,-368.72,-460.98,
Cash from Financing Activity,17.5,-276.04,-96.06,497.79,79.67,166.13,-533.76,-216.64,-261.16,
Net Cash Flow,-0.93,279.58,-279.87,8.76,134.8,-116.03,18.07,-40.1,8.11,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
