COMPANY NAME,GREENPANEL INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,293.75,,,,,,,,,
Market Capitalization,3601.57,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,599.11,876.57,1020.76,1625.04,1782.86,1567.25
Raw Material Cost,,,,,298.83,399.01,437.73,671.97,751.37,716.8
Change in Inventory,,,,,42.1,7.11,-25.14,1.06,5.58,26.06
Power and Fuel,,,,,67.48,100.87,99.23,142.29,191.97,
Other Mfr. Exp,,,,,23.36,26.78,26.03,45.52,47.28,
Employee Cost,,,,,80.78,99.09,98.14,128.61,140.32,140.63
Selling and admin,,,,,72.75,89.23,104.4,169.78,196.59,
Other Expenses,,,,0.05,20.57,30.6,23.04,34.57,41.86,489.42
Other Income,,,,,12.61,-8.93,-0.24,6.03,22.92,21.87
Depreciation,,,,,53.03,69.17,68.63,73.36,71.97,72.89
Interest,,,,,24.63,48.29,37.21,17.1,19.04,12.26
Profit before tax,,,,-0.05,12.39,11.71,100.97,348.93,350.96,183.18
Tax,,,,,-22.19,-2.75,32.16,108.47,94.44,40.49
Net profit,,,,-0.05,34.57,14.46,68.81,240.47,256.51,142.68
Dividend Amount,,,,,,,,18.39,18.39,18.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,424.42,470.08,464,457.29,420.16,441.41,386.19,398.73,385.74,396.6
Expenses,313.32,332.25,332.45,340.57,328.13,365.18,320.4,329.65,325.45,345.3
Other Income,2.28,3.67,7.25,13.73,-4.05,8.52,6.37,6.8,1.31,7.39
Depreciation,18.44,18.32,18.25,18.23,18.31,17.19,18.22,18.5,17.93,18.25
Interest,1.33,3.39,2.63,1.79,11.39,3.24,3.96,1.91,6.22,0.17
Profit before tax,93.61,119.79,117.92,110.43,58.28,64.32,49.98,55.47,37.45,40.27
Tax,30.53,39.19,40.32,37.97,20.76,-4.61,12.73,14.47,2.83,10.46
Net profit,63.07,80.59,77.6,72.46,37.53,68.93,37.26,41,34.61,29.81
Operating Profit,111.1,137.83,131.55,116.72,92.03,76.23,65.79,69.08,60.29,51.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,0.1,,12.26,12.26,12.26,12.26,12.26
Reserves,,,,-0.05,633.24,649.38,718.12,939.38,1181.65,1304.86
Borrowings,,,,,586.51,561.06,483.68,315.59,227.63,296.08
Other Liabilities,,,,,238.2,243.12,241.17,275.14,283.29,277.53
Total,,,,0.05,1457.95,1465.82,1455.23,1542.37,1704.83,1890.73
Net Block,,,,,1137.5,1111.1,1074.25,1038.17,991.61,982.11
Capital Work in Progress,,,,,3.79,5.69,3.58,,4.89,312.74
Investments,,,,,,,,,,97.5
Other Assets,,,,0.05,316.66,349.03,377.4,504.2,708.33,498.38
Total,,,,0.05,1457.95,1465.82,1455.23,1542.37,1704.83,1890.73
Receivables,,,,,45.62,70.52,77.76,41.44,44.4,29.04
Inventory,,,,,134.46,153.89,149.36,165.82,152.53,201.56
Cash & Bank,,,,0.05,19.85,11.55,72.51,222.62,377.8,140.36
No. of Equity Shares,,,,1000000,,122627395,122627395,122627395,122627395,
New Bonus Shares,,,,,,,,,,
Face value,,,,1,,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,-0.05,16.94,99.81,213.58,365.65,337.36,134.93
Cash from Investing Activity,,,,,-99.49,-22.34,-70.33,-136.41,-247.83,-158.47
Cash from Financing Activity,,,,0.1,102.06,-85.78,-141.44,-184.93,-133.64,50.32
Net Cash Flow,,,,0.05,19.52,-8.31,1.82,44.31,-44.11,26.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,28.6,160.15,585.45,272.05,314.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,12.26,12.26,12.26,12.26,12.26
