COMPANY NAME,FINOLEX INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,268.4,,,,,,,,,
Market Capitalization,16713.48,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2453.03,2476.15,2481.91,2602.37,2737.79,3091.32,2984.51,3462.27,4647.32,4397.05
Raw Material Cost,1715.26,1755.94,1590.96,1644.07,1797.89,1963.69,2021.15,1922.31,2778.43,2884.14
Change in Inventory,62.92,-53.85,-33.38,58.91,52.26,71.33,108.88,21.48,-32.6,-149.56
Power and Fuel,106.37,112.53,87.17,70.69,88.24,114.35,107.99,97.85,181.83,305.18
Other Mfr. Exp,142.73,159.91,167.82,169.27,201.86,210.5,221.2,189.31,275.87,337.33
Employee Cost,72.13,74.23,93.35,106.3,117.44,135.78,146.93,170.23,195.46,192.15
Selling and admin,74.78,88.42,89.19,100.25,80.97,113.95,99.91,99.81,126.3,170.7
Other Expenses,7.58,19.35,13.01,7.63,19.31,20.03,48.1,14.32,32.22,65.45
Other Income,-26.58,-2.1,61.53,24.32,24.92,13.62,30.17,71.87,458.35,121.38
Depreciation,62.29,58.67,50.57,55.05,60.6,70.08,73.81,77.72,83.4,89.2
Interest,66.37,70.37,44.71,15.38,9.82,12.27,11.28,7.27,14.09,27.23
Profit before tax,241.86,80.78,373.28,516.96,438.84,535.62,393.19,976.8,1385.47,297.49
Tax,71.72,33,118.87,164.79,140.29,185.82,68.99,248.78,332,60.9
Net profit,170.15,47.78,254.41,352.18,298.54,349.8,324.2,728.02,1053.47,236.59
Dividend Amount,86.87,24.82,124.1,142.72,124.1,124.1,124.1,248.2,248.2,92.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1082.57,1004.73,1594.57,1189.81,941.13,1124.76,1141.06,1179.17,883.15,1019.69
Expenses,783.06,762.84,1329.91,1063.9,1083.8,1032.89,923.63,1026.7,780.17,899.79
Other Income,31.82,19.37,400.82,25.07,39.29,27.82,29.2,40.26,62.51,35.12
Depreciation,20.61,21.18,21.55,21.34,21.56,22.5,23.8,34.39,27.38,27.57
Interest,0.41,0.85,8.06,11.33,4.31,5.13,6.46,9.02,12.46,7.66
Profit before tax,310.31,239.23,635.87,118.31,-129.25,92.06,216.37,149.32,125.65,119.79
Tax,75.23,61.46,142.07,18.22,-35.33,19.99,58.02,38.44,31.87,30.58
Net profit,235.08,177.77,493.8,100.09,-93.92,72.07,158.35,110.88,93.78,89.21
Operating Profit,299.51,241.89,264.66,125.91,-142.67,91.87,217.43,152.47,102.98,119.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,123.67
Reserves,665.59,663.3,1445.75,2167.3,2640.47,2404.33,1805.71,2948.78,3739.66,4701.23
Borrowings,713.42,637.06,211.55,94.18,100.71,89.5,282.67,203.85,278.03,540.72
Other Liabilities,433.05,434.69,567.26,569.71,589.24,654.81,602.83,930.13,1119.21,816.67
Total,1936.16,1859.15,2348.66,2955.29,3454.52,3272.74,2815.31,4206.86,5261,6182.29
Net Block,905.22,867.77,849.65,855.13,884.24,950.89,1016.89,1002.35,993.23,1055.17
Capital Work in Progress,32.46,10.4,6.62,21.75,90.34,90.25,7.28,8.15,9.46,43.82
Investments,221.45,179.66,817.21,1222.17,1555.24,1303.03,580.06,1592.2,2633.29,3844.05
Other Assets,777.03,801.32,675.18,856.24,924.7,928.57,1211.08,1604.16,1625.02,1239.25
Total,1936.16,1859.15,2348.66,2955.29,3454.52,3272.74,2815.31,4206.86,5261,6182.29
Receivables,40.99,48.7,17.63,52.49,43.14,74.31,73.17,147.98,334.46,297.54
Inventory,505.95,558.65,447.22,557.4,611.55,620.47,857.81,918.82,1015.47,673.15
Cash & Bank,20.92,12.3,10.41,16.34,23.43,28.04,93.21,336.26,81.04,60.6
No. of Equity Shares,124095381,124095381,124095381,124095381,124095381,124095381,124095381,620476905,620476905,618313905
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,245.46,212.2,569,251.74,338.41,390.97,106.31,940.98,621.99,301.69
Cash from Investing Activity,110.32,18.3,-77.23,34.57,-161.91,-227.84,49.13,-876.57,-440.34,-287.74
Cash from Financing Activity,-343.91,-239.12,-493.66,-282.41,-175.19,-163.43,-104.67,-90.3,-189.5,-28.94
Net Cash Flow,11.87,-8.62,-1.89,3.89,1.31,-0.3,50.77,-25.89,-7.85,-14.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
